scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
Aditya Birla Sun Life Frontline Equity Fund - Growth - Direct Plan,6.9,2.738,3.19,1.8,1.415,0.633,4.802,0.009,-1.831,4.747,-2.898,4.03,2.485,-5.093,-2.541,4.763,-1.381,-0.836,5.528,3.065,-6.693,-3.244,3.81,0.814,-2.029,0.116,7.224,-0.427,2.09,-1.487,-6.693,-0.115,4.396,4.841,1.552,0.665,-0.798,-3.455,-26.091,17.892,5.095,5.834,5.889,5.544,-1.015,1.581,12.423,6.802,2.612,3.665,0.569,-1.45,6.232,2.016,2.964,6.144,2.163,2.878,-4.285,1.278,0.129,-4.857,5.43,-3.267,-2.512,-3.993,1.239,29.925,5.47,0.785
Aditya Birla Sun Life Frontline Equity Fund-DIRECT - IDCW,6.917,2.749,3.183,1.801,1.417,0.623,4.809,0.02,-1.839,4.768,-2.91,4.043,2.475,-5.094,-2.545,4.776,-1.382,-0.829,5.519,3.07,-6.681,-3.253,3.813,0.808,-2.014,0.1,7.238,-0.428,2.084,-1.493,-6.691,-0.119,4.401,4.835,1.55,0.673,-0.813,-3.452,-26.104,17.899,5.093,5.828,5.887,5.547,-1.013,1.564,12.418,6.805,2.605,3.671,0.561,-1.452,6.226,2.014,2.962,6.156,2.153,-2.814,-4.287,1.283,0.128,-4.857,5.43,-3.271,-2.509,-3.998,1.152,30.153,5.491,0.727
Aditya Birla Sun Life Frontline Equity Fund-Growth,6.814,2.647,3.102,1.726,1.325,0.544,4.706,-0.089,-1.92,4.654,-2.993,3.936,2.391,-5.168,-2.625,4.681,-1.465,-0.903,5.454,2.989,-6.749,-3.306,3.742,0.753,-2.094,0.052,7.139,-0.497,2.03,-1.539,-6.741,-0.16,4.351,4.789,1.506,0.613,-0.85,-3.508,-26.117,17.831,5.039,5.765,5.823,5.483,-1.072,1.521,12.362,6.735,2.556,3.616,0.523,-1.501,6.175,1.959,2.908,6.085,2.104,2.816,-4.339,1.22,0.073,-4.903,5.375,-3.321,-2.562,-4.05,1.173,29.872,5.465,0.744
Aditya Birla Sun Life Frontline Equity Fund-Regular - IDCW,6.809,2.646,3.086,1.734,1.332,0.548,4.681,-0.069,-1.928,-3.664,-2.97,3.919,2.407,-5.191,-2.627,4.674,-1.451,-0.92,5.452,3.01,-6.747,-9.944,3.708,0.754,-2.087,0.04,7.154,-0.488,2.047,-1.545,-6.761,-0.16,4.371,-2.309,1.522,0.632,-0.864,-3.49,-26.122,17.88,5.061,5.742,5.844,5.458,-1.043,-4.091,12.386,6.713,2.582,3.616,0.513,-1.498,6.175,1.949,2.932,6.081,2.113,-2.892,-4.321,1.221,0.06,-4.908,5.388,-3.338,-2.558,-4.065,0.67,32.041,5.661,0.41
Aditya Birla Sun Life Equity Advantage Fund - Growth - Direct Plan,10.12,2.289,2.96,4.066,1.444,0.067,6.873,1.625,-1.47,4.151,-2.158,4.024,-2.206,-4.861,-2.35,5.126,-2.684,-1.535,6.893,2.278,-9.693,-4.618,3.184,0.873,-2.98,-0.043,7.439,-0.208,3.175,-1.604,-9.66,0.147,6.467,6.714,2.173,0.52,3.359,-2.985,-30.026,17.22,4.88,6.542,4.706,6.317,2.665,1.556,13.843,6.134,1.26,7.001,0.953,0.834,4.242,3.725,4.358,4.573,3.012,3.266,-3.293,2.631,-3.915,-6.089,3.382,-4.187,-7.344,-5.513,1.207,39.274,6.267,0.667
Aditya Birla Sun Life Equity Advantage Fund - Regular Growth,10.001,2.185,2.848,3.977,1.341,-0.028,6.763,1.516,-1.566,4.042,-2.261,3.908,-2.316,-4.954,-2.444,5.025,-2.786,-1.624,6.792,2.182,-9.761,-4.691,3.106,0.796,-3.055,-0.116,7.383,-0.276,3.097,-1.676,-9.731,0.083,6.397,6.63,2.101,0.448,3.284,-3.051,-30.072,17.133,4.8,6.454,4.622,6.233,2.585,1.478,13.757,6.05,1.184,6.934,0.886,0.762,4.17,3.656,4.291,4.496,2.937,3.188,-3.363,2.557,-3.983,-6.15,3.309,-4.254,-7.41,-5.579,1.125,39.199,6.261,0.622
Aditya Birla Sun Life Equity Advantage Fund -Direct - IDCW,10.114,2.29,2.963,4.061,1.438,0.068,6.873,-8.521,-1.475,4.147,-2.157,4.024,-2.206,-4.861,-2.348,5.125,-2.68,-1.541,6.893,-3.882,-9.696,-4.615,3.186,0.875,-2.979,-0.045,7.435,-0.202,3.173,-1.606,-9.66,0.146,6.469,6.711,2.17,0.522,3.363,-2.988,-30.023,17.21,4.88,6.544,4.711,6.313,2.666,1.557,13.85,6.132,1.256,7.006,0.956,0.83,4.241,3.72,4.36,-1.041,2.999,3.276,-3.293,2.634,-3.911,-6.092,3.381,-4.186,-7.347,-5.51,0.874,40.893,6.395,0.473
Aditya Birla Sun Life Equity Advantage Fund -Regular - IDCW,9.997,2.188,2.848,3.977,1.346,-0.038,6.762,-8.634,-1.561,4.043,-2.263,3.91,-2.32,-4.955,-2.44,5.022,-2.781,-1.623,6.794,-3.973,-9.768,-4.688,3.109,0.798,-3.055,-0.127,7.393,-0.279,3.099,-1.678,-9.735,0.093,6.399,6.627,2.094,0.444,3.28,-3.051,-30.065,17.122,4.809,6.456,4.619,0.174,2.581,1.476,13.763,6.049,1.186,6.927,0.886,0.761,4.163,3.66,4.289,-1.121,2.938,3.188,-3.36,2.559,-3.989,-6.15,3.306,-4.253,-7.412,-5.577,0.701,40.371,6.354,0.382
Aditya Birla Sun Life Midcap Fund - Growth - Direct Plan,7.74,3.302,5.765,4.993,0.007,-0.95,4.315,1.275,-1.403,6.03,-0.443,5.217,-2.98,-4.012,-2.926,5.082,-4.776,-2.86,4.5,2.524,-11.724,0.162,1.514,1.168,-5.32,0.575,8.52,-3.268,2.585,-2.828,-8.264,-2.087,4.6,4.297,0.432,1.161,5.069,-3.996,-28.882,12.378,2.658,9.033,4.713,8.656,1.793,-0.415,12.78,6.295,0.682,8.723,1.524,0.325,5.719,6.712,7.188,1.365,4.279,3.534,-1.777,2.457,-1.084,-6.272,4.006,-0.291,-4.558,-4.113,1.219,36.649,6.054,0.698
Aditya Birla Sun Life Midcap Fund -DIRECT - IDCW,7.744,3.289,5.779,4.965,0.018,-0.947,4.303,-8.874,-1.404,6.032,-0.439,5.22,-2.984,-4.008,-2.934,5.103,-4.779,-2.852,4.504,-3.573,-11.738,0.173,1.514,1.167,-5.327,0.576,8.524,-3.268,2.592,-2.837,-8.255,-2.106,4.602,4.308,0.435,1.176,5.058,-10.916,-28.879,12.358,2.66,9.053,4.697,8.649,1.78,-0.402,12.763,6.3,0.672,8.732,1.516,0.338,5.736,6.697,7.202,-4.169,4.275,3.535,-1.777,2.45,-1.085,-6.274,4.008,-0.285,-4.561,-4.114,0.784,40.643,6.375,0.426
