scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
Axis Bluechip Fund - Direct Plan - Growth,7.34,2.085,3.848,3.409,2.41,-0.043,5.64,1.044,-0.715,3.742,-1.381,3.502,2.256,-3.125,-0.607,5.036,1.502,1.691,5.925,0.523,-6.87,-4.836,6.714,1.008,-0.241,-0.414,5.75,1.539,3.782,Axis Bluechip Fund - Direct Plan - Growth,-4.985,1.846,8.352,1.763,0.646,1.519,0.748,-1.12,-20.368,12.532,2.728,4.447,4.989,4.321,0.206,2.697,11.639,7.596,-0.877,1.888,1.149,-0.951,5.462,2.236,1.559,8.263,0.939,2.559,-3.667,1.001,-2.812,-3.799,4.736,-4.76,-4.322,-4.409
Axis Bluechip Fund - Direct Plan - IDCW,7.338,2.078,-3.808,3.392,2.42,-0.064,5.633,1.019,-0.652,3.743,-1.375,3.484,2.245,-3.128,-12.011,5.07,1.447,1.723,5.961,0.496,-6.874,-4.821,6.692,0.996,-0.232,-0.407,-3.154,1.508,3.812,Axis Bluechip Fund - Direct Plan - IDCW,-4.989,1.85,8.348,1.761,0.649,1.506,0.742,-1.111,-28.065,12.481,2.643,4.472,4.994,4.315,0.24,2.691,11.672,7.592,-0.918,1.951,-3.78,-0.945,5.455,2.231,1.578,8.269,0.965,2.535,-3.648,1.01,-2.83,-3.799,-0.267,-4.779,-4.325,-4.423
Axis Bluechip Fund - Regular Plan - Growth,7.287,2.027,3.875,3.279,2.294,-0.179,5.565,0.844,-0.795,3.651,-1.498,3.411,2.107,-3.192,-0.684,4.902,1.367,1.61,5.791,0.384,-6.982,-4.942,6.587,0.856,-0.332,-0.481,5.657,1.409,3.69,-0.1,-5.046,1.713,8.26,1.681,0.541,1.425,0.656,-1.216,-20.457,12.36,2.6,4.345,4.892,4.188,0.129,2.601,11.544,7.469,-0.989,1.814,1.033,-1.048,5.355,2.126,1.46,8.183,0.845,2.45,-3.755,0.894,-2.914,-3.878,4.627,-4.843,-4.427,-4.486
Axis Bluechip Fund - Regular Plan - IDCW,7.213,2.102,-4.187,3.348,2.268,-0.134,5.537,0.885,-0.815,3.646,-1.516,3.387,2.144,-3.207,-12.831,4.898,1.361,1.598,5.793,0.417,-7.006,-4.894,6.5,0.826,-0.315,-0.506,-4.066,1.457,3.663,-0.062,-5.115,1.775,8.289,1.64,0.538,1.429,0.646,-1.172,-28.205,12.292,2.554,4.377,4.845,4.26,0.067,2.61,11.508,7.522,-0.976,1.807,-7.477,-1.105,5.331,2.113,1.471,8.164,0.888,2.445,-3.771,0.893,-2.904,-3.888,-4.002,-4.827,-4.393,-4.534
Axis Midcap Fund - Direct Plan - Growth,5.413,3.029,4.912,3.168,-0.496,2.888,3.905,0.616,-0.582,4.953,2.185,4.019,-2.631,-0.281,0.254,5.825,-2.135,-2.289,5.827,6.026,-9.39,-1.009,1.928,3.466,-3.847,2.422,4.252,-0.688,2.608,-0.994,-6.197,2.915,6.712,5.673,0.63,0.63,4.634,-0.738,-20.712,12.718,3.767,3.605,4.38,5.225,3.487,0.363,11.438,5.293,0.018,7.548,1.876,0.378,4.749,5.312,4.66,4.657,1.474,3.325,-2.369,1.492,-3.047,-4.93,4.529,-1.948,-3.953,-4.596
Axis Midcap Fund - Direct Plan - IDCW,5.437,3.008,4.923,3.17,-0.5,2.858,3.911,0.609,-0.57,-3.166,2.168,4.027,-2.627,-0.284,0.249,5.808,-2.128,-2.31,5.964,6.021,-9.371,-0.996,1.943,3.444,-3.856,-5.999,4.23,-0.7,2.587,-0.989,-6.198,2.9,6.722,5.689,0.641,0.64,4.61,-8.87,-20.698,12.687,3.753,3.617,4.364,5.207,3.497,0.351,11.441,5.303,0.027,-1.992,1.868,0.405,4.764,5.314,4.658,4.674,1.481,3.305,-2.369,1.49,-3.048,-13.494,4.543,-1.958,-3.941,-4.613
Axis Midcap Fund - Regular Plan - Growth,5.315,2.911,4.904,3.082,-0.626,2.801,3.784,0.488,-0.648,4.856,2.069,3.932,-2.707,-0.329,0.18,5.728,-2.218,-2.383,5.749,5.908,-9.458,-1.08,1.829,3.338,-3.933,2.339,4.143,-0.823,2.504,-1.072,-6.313,2.805,6.612,5.533,0.532,0.506,4.51,-0.804,-20.795,12.629,3.628,3.501,4.234,5.117,3.366,0.234,11.326,5.16,-0.079,7.435,1.758,0.273,4.644,5.198,4.547,4.556,1.359,3.191,-2.471,1.39,-3.15,-5.032,4.404,-2.05,-4.054,-4.702
Axis Midcap Fund - Regular Plan - IDCW,5.302,2.941,4.891,3.129,-0.625,2.787,3.818,0.501,-0.665,-4.613,2.048,3.928,-2.712,-0.338,0.212,5.752,-2.258,-2.392,5.714,5.915,-9.474,-1.071,1.833,3.361,-3.965,-7.845,4.167,-0.817,2.486,-1.092,-6.33,2.812,6.613,5.532,0.516,0.556,4.502,-9.122,-20.786,12.64,3.615,3.489,4.237,5.094,3.355,0.24,11.297,5.182,-0.102,-1.497,1.796,0.271,4.653,5.187,4.564,4.582,1.35,3.181,-2.477,1.405,-3.137,-13.469,4.414,-2.038,-4.057,-4.684
Axis Small Cap Fund - Direct Plan - Growth,4.221,3.102,4.346,2.507,-0.544,2.383,1.66,-1.113,0.263,6.674,2.761,4.728,-3.93,-0.338,-2.307,3.401,-2.818,-4.729,3.654,4.677,-9.836,0.074,2.262,3.185,-3.262,1.088,6.133,-0.304,5.81,0.032,-6.354,5.757,5.08,4.991,-0.208,2.388,8.805,0.246,-29.751,12.807,2.46,4.941,5.405,8.438,4.323,1.188,12.298,5.378,1.299,6.503,4.107,3.779,7.037,6.019,6.707,1.809,3.505,1.051,1.331,3.941,-0.833,-5.921,6.137,-1.714,-3.892,-3.54
Axis Small Cap Fund - Direct Plan - IDCW,4.19,3.112,4.364,2.476,-0.518,2.343,1.635,-1.072,0.25,-1.906,2.787,4.725,-3.923,-0.367,-2.295,3.404,-2.797,-4.712,3.628,4.682,-9.822,0.09,2.239,3.192,-3.263,1.095,6.109,-0.327,5.788,0.078,-6.398,5.8,5.109,5.011,-8.253,2.392,8.809,0.287,-36.746,12.834,2.496,4.972,5.365,8.428,4.328,1.168,12.285,5.346,1.319,6.511,-4.639,3.78,7.037,6.044,6.7,1.816,3.516,1.034,1.34,3.942,-0.823,-5.922,-2.7,-1.69,-3.895,-3.543
Axis Small Cap Fund - Regular Plan - Growth,4.089,3.036,4.246,2.437,-0.605,2.274,1.57,-1.198,0.156,6.576,2.665,4.623,-4.011,-0.425,-2.418,3.318,-2.89,-4.791,3.58,4.559,-9.947,Axis Small Cap Fund - Regular Plan - Growth,2.154,3.1,-3.341,0.998,6.084,-0.43,5.7,-0.034,-6.453,5.693,4.962,4.893,-0.349,2.268,8.651,0.146,-29.847,12.647,2.343,4.767,5.231,8.252,4.186,1.049,12.146,5.216,1.163,6.375,3.972,3.639,6.909,5.873,6.564,1.685,3.368,0.921,1.2,3.808,-0.954,-6.02,6.01,-1.825,-4.003,-3.653
Axis Small Cap Fund - Regular Plan - IDCW,4.087,3.032,4.245,2.391,-0.629,2.306,1.573,-1.205,0.174,-2.425,2.708,4.624,-4.048,-0.43,-2.378,3.287,-2.913,-4.766,3.565,4.604,-9.906,Axis Small Cap Fund - Regular Plan - IDCW,2.142,3.116,-3.338,0.98,6.054,-0.392,5.702,-0.041,-6.473,5.723,4.968,4.854,-8.989,2.253,8.69,0.156,-36.801,12.624,2.328,4.772,5.244,8.3,4.201,1.019,12.175,5.191,1.159,6.393,-4.828,3.65,6.875,5.907,6.57,1.679,3.388,0.909,1.201,3.803,-0.95,-6.039,-2.654,-1.846,-3.985,-3.666
