scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
BNP Paribas Government Securities Fund - Annual dividend option,0.216,-3.341,-9.946,-0.289,2.794,1.642,1.274,0.18,-0.047,-0.438,0.036,-0.32,-0.856,0.667,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option,BNP Paribas Government Securities Fund - Annual dividend option
BNP Paribas Government Securities Fund - Calendar quarterly dividend option,0.217,-3.341,2.071,-0.288,2.794,-0.541,1.274,0.18,-2.868,-0.439,0.037,-0.319,-0.857,0.667,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option,BNP Paribas Government Securities Fund - Calendar quarterly dividend option
BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,0.277,-3.304,-11.004,-0.241,2.853,1.697,1.338,0.248,0.011,-0.375,0.1,-0.255,-0.787,0.696,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option,BNP Paribas Government Securities Fund - Direct Plan - Annual dividend option
BNP Paribas Government Securities Fund - Direct Plan - Growth Option,0.278,-3.304,2.099,-0.241,2.854,1.697,1.338,0.248,0.011,-0.375,0.101,-0.256,-0.786,0.697,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option,BNP Paribas Government Securities Fund - Direct Plan - Growth Option
BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,-0.907,-3.304,2.099,-0.241,2.853,-0.499,0.395,-0.181,-0.016,-0.664,0.099,-0.259,-0.79,0.696,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option,BNP Paribas Government Securities Fund - Direct Plan - Monthly Dividend Option
BNP Paribas Government Securities Fund - Growth Option,0.216,-3.341,2.072,-0.289,2.795,1.641,1.274,0.18,-0.05,-0.438,0.036,-0.32,-0.857,0.667,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option,BNP Paribas Government Securities Fund - Growth Option
BNP Paribas Government Securities Fund - Half yearly dividend option,0.218,-3.333,-1.19,-0.285,2.798,1.642,1.273,0.18,-6.249,-0.435,0.034,-0.318,-0.856,0.667,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option,BNP Paribas Government Securities Fund - Half yearly dividend option
BNP Paribas Government Securities Fund -Monthly dividend option,-0.929,-3.341,2.072,-0.289,2.649,-0.881,0.39,-0.257,-0.051,-0.644,0.036,-0.32,-0.857,0.666,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option,BNP Paribas Government Securities Fund -Monthly dividend option
BNP Paribas MULTI CAP Fund - Direct Plan - Growth Option,8.414,1.957,5.21,4.418,-0.834,1.923,5.607,0.322,0.012,8.874,-2.862,2.709,-0.396,-5.016,-4.319,4.473,-3.467,-2.044,4.72,1.588,-6.18,-2.922,2.807,1.408,-2.161,-0.849,7.668,0.55,4.621,-2.257,-6.504,1.184,7.064,3.477,1.323,2.646,1.784,-4.527,-24.25,15.538,3.67,6.826,3.152,4.83,-0.739,1.507,12.02,6.256,1.349,6.734,1.281,0.233,6.507,4.818,4.536,3.089,2.928,3.807,-3.955,1.62,-0.071,-4.793,0.287,BNP Paribas MULTI CAP Fund - Direct Plan - Growth Option,BNP Paribas MULTI CAP Fund - Direct Plan - Growth Option,BNP Paribas MULTI CAP Fund - Direct Plan - Growth Option
BNP Paribas MULTI CAP Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option,7.693,1.291,4.515,3.801,-1.448,1.308,4.621,-0.58,-0.948,7.904,-3.738,1.803,-1.266,-5.922,-5.288,3.467,-4.437,-3.054,3.659,0.58,-7.309,-4.004,1.924,0.534,-3.028,-1.676,6.825,-0.243,3.827,-2.258,-7.993,0.344,6.218,2.666,0.533,1.858,1.072,-5.241,-25.059,15.544,3.123,6.822,3.151,4.832,-1.215,1.037,11.552,5.843,0.94,6.345,0.911,-0.128,6.146,4.473,4.212,2.773,2.626,3.507,-4.236,1.339,-0.368,-5.082,0.283,BNP Paribas MULTI CAP Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option,BNP Paribas MULTI CAP Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option,BNP Paribas MULTI CAP Fund - Direct Plan - Income Distribution cum Capital Withdrawal Option
