scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
BANK OF INDIA Large & Mid Cap  Equity Fund Regular Plan- Quarterly IDCW,7.324,1.575,3.187,2.32,1.856,0.792,4.517,1.043,-1.77,5.93,0.42,5.087,1.194,-4.849,-2.342,5.325,-2.976,-4.703,6.542,1.012,-15.55,-1.905,2.427,0.473,-4.317,-0.328,6.831,-0.231,3.413,-1.263,-8.653,1.812,7.143,4.598,0.366,0.876,2.677,-1.577,-24.78,16.179,2.368,4.284,5.834,5.495,1.414,1.394,10.967,6.047,-0.797,4.203,-4.745,1.806,6.561,4.618,4.142,2.531,1.058,3.49,-4.143,2.513,-0.775,-6.689,3.688,-1.677,-4.411,-4.18
BANK OF INDIA Large & Mid Cap Equity Fund Direct  Plan- Quarterly IDCW,7.331,1.664,1.981,2.347,1.959,0.881,4.563,1.204,-3.569,6.012,0.503,3.357,1.313,-4.775,-4.011,5.417,-2.937,-6.34,6.569,1.16,-16.619,-1.726,2.546,-8.041,-4.279,-0.194,4.869,-0.093,3.455,-1.161,-8.582,1.877,7.283,4.679,0.438,0.959,2.677,-1.454,-24.716,16.241,2.398,4.379,5.951,5.488,1.499,1.564,11.007,6.149,-0.724,4.376,-5.73,1.779,6.652,4.678,4.21,2.577,1.196,3.546,-4.053,2.558,-0.688,-6.582,3.734,-1.56,-4.345,-4.095
BANK OF INDIA Large & Mid Cap Equity Fund Direct Plan- Bonus,7.38,1.576,3.352,2.385,1.974,0.911,4.586,1.176,-1.691,6.051,0.45,5.232,1.278,-4.769,-2.258,5.416,-2.918,-4.556,6.636,1.101,-14.862,-1.785,2.499,0.609,-4.18,-0.287,6.966,-0.108,3.465,-1.14,-8.595,1.95,7.249,4.737,0.457,0.961,2.756,-1.537,-24.721,16.285,2.48,4.368,5.882,5.505,1.535,1.511,11.188,6.144,-0.713,4.309,1.458,1.836,6.656,4.708,4.183,2.542,1.159,3.565,-4.057,2.594,-0.679,-6.619,3.752,-1.582,-4.316,-4.098
BANK OF INDIA Large & Mid Cap Equity Fund Direct Plan-Growth,7.404,1.601,3.344,2.378,1.986,0.914,4.576,1.191,-1.669,6.044,0.492,5.208,1.274,-4.742,-2.235,5.427,-2.897,-4.588,6.6,1.139,-14.861,-1.76,2.526,0.601,-4.209,-0.238,6.905,-0.056,3.47,-1.152,-8.588,1.926,7.227,4.704,0.473,0.941,2.745,-1.512,-24.692,16.238,2.47,4.362,5.934,5.521,1.533,1.51,11.074,6.171,-0.694,4.302,1.445,1.837,6.661,4.698,4.181,2.578,1.148,3.587,-4.066,2.583,-0.67,-6.617,3.775,-1.585,-4.326,-4.094
BANK OF INDIA Large & Mid Cap Equity Fund Direct Plan-Regular IDCW,7.334,1.637,-3.852,2.384,1.97,0.897,4.61,0.907,-1.606,5.992,0.486,5.203,1.265,-4.77,-8.169,5.411,-2.861,-4.574,6.601,1.176,-14.917,-1.732,2.496,-13.948,-4.239,-0.174,-2.0,BANK OF INDIA Large & Mid Cap Equity Fund Direct Plan-Regular IDCW,3.479,-1.195,-8.549,1.889,7.143,4.737,0.503,1.0,2.723,-1.552,-24.708,16.186,2.493,4.377,5.871,5.511,1.516,1.494,11.093,6.167,-0.761,4.321,-5.411,1.836,6.68,-1.743,4.139,2.615,1.153,3.539,-4.056,2.597,-0.64,-6.62,3.79,-1.582,-4.348,-4.091
BANK OF INDIA Large & Mid Cap Equity Fund Eco Plan- Growth,7.402,1.575,3.263,2.391,1.936,0.89,4.547,1.115,-1.682,6.006,0.444,5.147,1.261,-4.785,-2.256,5.403,-2.926,-4.61,6.59,1.101,-14.878,-1.809,2.496,0.579,-4.261,-0.271,6.876,-0.113,3.435,-1.195,-8.633,1.896,7.19,4.667,0.427,0.93,2.686,-1.539,-24.733,16.218,2.42,4.322,5.902,5.489,1.483,1.461,11.047,6.115,-0.731,4.264,1.392,1.816,6.591,4.657,4.136,2.519,1.109,3.527,-4.108,2.533,-0.721,-6.67,3.704,-1.648,-4.366,-4.125
BANK OF INDIA Large & Mid Cap Equity Fund Eco Plan-Bonus,7.367,1.609,3.263,2.36,1.936,0.89,4.547,1.115,-1.682,6.006,0.444,5.147,1.261,-4.785,-2.282,5.403,-2.926,-4.61,6.564,1.127,-14.878,-1.809,2.496,0.579,-4.261,-0.271,6.876,-0.113,3.435,-1.168,-8.633,1.896,7.192,4.697,0.427,0.93,2.686,-1.539,-24.713,16.183,2.453,4.322,5.902,5.489,1.456,1.488,11.047,6.115,-0.754,4.288,1.392,1.795,6.613,4.657,4.136,2.537,1.109,3.527,-4.125,2.534,-0.721,-6.67,3.722,-1.648,-4.366,-4.144
BANK OF INDIA Large & Mid Cap Equity Fund Eco Plan-Quarterly IDCW,7.425,1.526,3.36,2.379,1.902,0.893,4.625,1.067,-3.544,6.023,0.437,3.336,1.263,-4.782,-4.076,5.432,-2.916,-6.374,6.609,1.107,-16.691,-1.757,2.504,-8.282,-4.278,-0.298,6.474,-0.187,3.484,-1.171,-8.66,1.896,7.256,4.634,0.443,0.97,2.707,-1.557,-24.757,16.216,2.429,4.33,5.83,5.472,1.521,1.41,11.092,6.084,-0.662,4.219,-5.114,1.796,6.647,4.658,4.123,2.543,1.089,3.531,-4.104,2.532,-0.697,-6.671,3.725,-1.643,-4.351,-4.159
BANK OF INDIA Large & Mid Cap Equity Fund Eco Plan-Regular IDCW,7.325,1.58,-3.89,2.411,1.993,0.837,4.524,1.115,-1.686,5.99,0.491,5.134,1.279,-4.822,-8.263,5.416,-2.896,-4.632,6.551,1.129,-14.872,-1.827,2.532,-14.151,-4.227,-0.265,-2.124,-0.181,3.458,-1.568,-8.673,1.841,7.239,4.68,0.43,0.942,2.714,-1.595,-24.721,16.192,2.462,4.304,5.854,5.495,1.476,1.454,11.018,6.136,-0.714,4.242,-5.655,1.754,6.633,4.615,0.959,2.563,1.097,3.496,-4.077,2.489,-0.703,-6.663,3.753,-1.655,-4.383,-4.126
BANK OF INDIA Large & Mid Cap Equity Fund Regular Plan- Growth,7.329,1.536,3.228,2.329,1.859,0.835,4.5,1.047,-1.756,5.932,0.382,5.088,1.191,-4.862,-2.313,5.319,-2.97,-4.685,6.51,1.027,-14.936,-1.876,2.444,0.52,-4.317,-0.35,6.824,-0.179,3.365,-1.238,-8.686,1.819,7.125,4.602,0.397,0.876,2.635,-1.583,-24.773,16.163,2.379,4.283,5.826,5.41,1.413,1.45,10.987,6.045,-0.784,4.214,1.332,1.768,6.593,4.628,4.106,2.482,1.083,3.503,-4.156,2.507,-0.741,-6.684,3.683,-1.665,-4.385,-4.171
BANK OF INDIA Large & Mid Cap Equity Fund Regular Plan- Regular IDCW,7.361,1.505,-0.988,2.312,1.932,0.79,4.503,1.04,-1.765,5.987,0.349,5.073,1.19,-4.837,-9.135,5.337,-2.979,-4.678,6.471,1.085,-14.943,-1.858,2.41,-7.976,-4.288,-0.381,3.923,-0.184,3.336,-1.243,-8.633,1.772,7.164,4.579,0.35,0.872,2.593,-1.628,-24.803,16.2,2.306,4.303,5.894,5.441,1.423,1.491,11.044,6.061,-0.806,4.21,-5.174,1.719,6.565,4.586,2.487,2.52,1.045,3.528,-4.172,2.514,-0.71,-6.73,3.663,-1.674,-4.37,-4.172
