scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,0.867,0.351,0.589,0.505,0.745,0.715,0.879,0.703,0.309,0.455,0.225,0.125,0.236,0.382,1.072,-0.229,0.148,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option,HDFC Regular Savings Fund - Direct Option - Normal Dividend Option
HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,0.814,0.3,0.524,0.462,0.689,0.66,0.824,0.644,0.255,0.399,0.17,0.071,0.178,0.328,1.02,-0.282,0.135,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option,HDFC Regular Savings Fund - Regular Option - Normal Dividend Option
HDFC Regular Savings Fund -Direct Plan - Growth Option,0.867,0.351,0.589,0.505,0.745,0.716,0.88,0.704,0.309,0.454,0.226,0.125,0.237,0.381,1.072,-0.229,0.148,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option,HDFC Regular Savings Fund -Direct Plan - Growth Option
HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,-0.044,-0.143,0.108,-0.252,0.088,-0.171,0.131,0.02,-0.07,-0.129,-0.065,0.048,-0.226,0.046,0.314,-0.566,0.149,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option,HDFC Regular Savings Fund -Direct Plan - Monthly Dividend Option
HDFC Regular Savings Fund-GROWTH,0.814,0.301,0.525,0.462,0.688,0.66,0.823,0.644,0.255,0.398,0.17,0.071,0.177,0.328,1.02,-0.282,0.135,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH,HDFC Regular Savings Fund-GROWTH
HDFC Regular Savings Fund-Monthly Dividend Option,0.006,-0.134,0.103,-0.241,0.086,-0.165,0.13,0.025,-0.069,-0.126,-0.059,0.05,-0.226,0.051,0.318,-0.556,0.135,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option,HDFC Regular Savings Fund-Monthly Dividend Option
HDFC Index Fund Sensex Plus Plan-Direct Plan,6.087,2.627,2.662,1.265,3.491,-0.655,4.666,-1.445,-2.353,7.64,-2.258,2.99,4.531,-5.946,-3.553,5.075,-0.902,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan,HDFC Index Fund Sensex Plus Plan-Direct Plan
HDFC Index Fund-Sensex Plus( FV-Rs32.161),6.064,2.607,2.639,1.248,3.469,-0.675,4.642,-1.466,-2.372,7.619,-2.278,2.968,4.508,-6.001,-3.571,5.055,-0.918,HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161),HDFC Index Fund-Sensex Plus( FV-Rs32.161)
HDFC Balanced Fund - Dividend Option,5.042,1.585,1.187,2.074,2.38,-1.242,3.716,-0.873,-3.166,5.0,-0.924,1.279,1.287,-3.072,-3.991,2.454,-1.942,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option,HDFC Balanced Fund - Dividend Option
HDFC Balanced Fund - Growth Option,5.046,1.582,2.936,2.073,2.378,0.397,3.714,-0.872,-1.586,4.999,-0.926,2.848,1.288,-3.071,-1.788,2.456,-1.942,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option,HDFC Balanced Fund - Growth Option
