scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
HSBC Dividend Yield Equity Fund - Dividend,6.985,3.791,2.876,1.055,2.815,-0.337,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend,HSBC Dividend Yield Equity Fund - Dividend
HSBC Dividend Yield Equity Fund - Growth,6.985,3.791,2.876,1.055,2.815,-0.337,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth,HSBC Dividend Yield Equity Fund - Growth
HSBC Dividend Yield Equity Fund-Dividend Direct,7.046,3.851,2.937,1.103,2.874,-0.282,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct,HSBC Dividend Yield Equity Fund-Dividend Direct
HSBC Dividend Yield Equity Fund-Growth Direct,7.046,3.851,2.937,1.103,2.874,-0.282,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct,HSBC Dividend Yield Equity Fund-Growth Direct
HSBC Large Cap Equity Fund - Growth,7.481,2.32,3.522,1.673,1.524,0.053,5.82,-0.958,-2.015,3.787,-2.752,3.525,5.279,-5.717,-3.107,5.96,-1.074,-0.696,5.257,2.963,-7.193,-5.215,3.691,-0.199,-0.409,-0.445,8.211,0.492,2.161,-0.97,-5.468,1.056,4.411,4.347,2.131,0.627,-0.294,-3.587,-24.406,17.192,5.487,5.764,5.21,4.099,0.092,2.435,10.882,7.441,2.597,2.104,0.288,-2.92,6.785,1.502,0.821,6.603,0.995,3.067,-4.357,2.676,-0.874,-6.036,5.39,-3.998,-3.046,-3.894
HSBC Large Cap Equity Fund - Growth Direct,7.543,2.384,3.583,1.722,1.582,0.108,5.879,-0.899,-1.962,3.851,-2.693,3.587,5.35,-5.665,-3.052,6.017,-1.018,-0.642,5.318,3.023,-7.142,-5.156,3.752,-0.143,-0.349,-0.388,8.279,0.558,2.234,-0.901,-5.393,1.132,4.488,4.431,2.205,0.705,-0.216,-3.524,-24.346,17.279,5.563,5.845,5.293,4.178,0.17,2.511,10.965,7.527,2.678,2.178,0.37,-2.849,6.864,1.582,0.896,6.685,1.073,3.15,-4.284,2.756,-0.799,-5.969,5.474,-3.93,-2.972,-3.819
HSBC Large cap Equity Fund - IDCW,7.481,2.321,3.522,1.673,1.524,0.053,5.82,-0.958,-2.014,3.786,-2.752,-7.354,5.279,-5.717,-3.107,5.96,-1.074,-0.696,5.257,2.963,-7.193,-5.215,3.691,-7.176,-0.409,-0.445,8.211,0.492,2.161,-0.971,-5.469,1.056,4.41,4.348,2.131,-6.65,-0.294,-3.587,-24.406,17.192,5.487,5.764,5.21,4.099,0.092,2.435,10.882,7.441,2.596,2.104,0.288,-2.92,6.785,1.502,0.821,6.603,0.995,3.067,-4.357,2.676,-0.874,-6.036,5.39,-3.998,-3.046,-3.894
HSBC Large cap Equity Fund - IDCW Direct Plan,7.543,2.384,3.583,1.722,1.582,0.108,5.879,-0.899,-1.962,3.851,-2.693,-6.813,5.35,-5.665,-3.052,6.017,-1.018,-0.642,5.318,3.023,-7.142,-5.156,3.752,-7.555,-0.349,-0.388,8.279,0.558,2.234,-0.901,-5.394,1.131,4.487,4.431,2.204,-6.895,-0.217,-3.525,-24.347,17.278,5.562,5.844,5.292,4.177,0.169,2.51,10.964,-0.075,2.677,2.176,0.369,-2.85,6.862,1.581,0.895,6.684,1.071,3.148,-4.285,-4.857,-0.801,-5.971,5.472,-3.931,-2.973,-3.82
HSBC Small Cap Equity Fund - Growth,10.292,4.207,3.951,4.345,-1.669,2.235,2.983,-0.711,-0.202,9.641,1.802,7.677,-3.507,-3.063,-5.271,7.024,-7.818,-8.738,3.016,1.599,-14.725,1.593,1.301,1.396,-5.39,-0.727,10.696,-3.907,3.299,-4.087,-11.912,-0.008,4.842,1.987,-2.816,0.852,8.398,-4.745,-29.196,10.664,8.288,7.283,4.887,8.692,5.594,0.472,13.263,5.776,1.981,9.981,1.9,2.011,5.79,8.545,7.731,-0.1,5.875,1.238,0.424,5.257,-3.269,-9.03,4.639,-3.172,-7.237,-7.266
HSBC Small Cap Equity Fund - Growth Direct,10.355,4.279,4.014,4.395,-1.612,2.291,3.041,-0.652,-0.148,9.722,1.872,7.746,-3.444,-3.003,-5.215,7.082,-7.765,-8.689,3.075,1.658,-14.677,1.659,1.36,1.453,-5.334,-0.67,10.767,-3.821,3.405,-3.991,-11.815,0.099,4.952,2.104,-2.716,0.965,8.521,-4.649,-29.107,10.788,8.404,7.406,5.01,8.816,5.717,0.586,13.39,5.903,2.104,10.101,2.026,2.126,5.909,8.673,7.854,0.018,6.0,1.361,0.543,5.383,-3.157,-8.931,4.769,-3.066,-7.129,-7.151
