scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
IDBI India Top 100 Equity Fund Growth,8.015,1.358,3.349,3.455,2.3,-1.427,4.77,-0.041,-3.23,2.419,-2.362,2.674,2.646,-5.799,-2.009,3.723,-1.051,-1.402,5.618,1.637,-9.643,-3.184,5.373,0.79,-1.786,-0.399,6.456,-0.795,3.214,-1.175,-5.615,1.52,7.012,3.744,0.432,0.859,-0.077,-2.952,-22.766,16.323,4.68,4.608,5.19,4.111,0.846,1.878,10.776,6.473,1.595,4.349,0.564,-0.935,7.352,2.722,2.251,5.77,3.158,2.581,-4.662,2.044,-0.3,-4.937,5.426,-2.952,-3.262,-4.937
IDBI India Top 100 Equity Fund Growth Direct,8.167,1.51,3.487,3.575,2.443,-1.255,4.943,0.08,-3.111,2.614,-2.229,2.85,2.85,-5.658,-1.877,3.876,-0.88,-1.291,5.779,1.821,-9.537,-3.048,5.546,0.95,-1.678,-0.25,6.594,-0.705,3.32,-1.059,-5.541,1.618,7.134,3.859,0.51,0.942,IDBI India Top 100 Equity Fund Growth Direct,-2.842,-22.717,16.455,4.628,4.76,5.308,4.173,0.964,1.984,10.907,6.589,1.675,4.432,0.688,-0.883,7.432,2.831,2.364,5.882,3.253,2.713,-4.567,2.158,-0.181,-4.874,5.529,-2.961,-3.158,-4.819
IDBI India Top 100 Equity Fund IDCW,8.033,1.405,3.291,3.391,-3.043,-1.432,4.749,-0.053,-3.217,2.434,-2.323,2.649,2.633,-5.798,-10.24,3.733,-1.052,-1.418,5.589,1.651,-9.69,-3.182,5.412,0.794,-1.817,-0.37,6.44,-9.482,3.222,-1.173,-5.621,1.522,7.039,3.784,0.418,0.833,-0.059,-2.939,-22.761,16.345,4.658,4.659,5.183,4.092,0.86,1.949,10.746,6.469,1.62,4.335,0.573,-10.399,7.305,2.763,2.256,5.77,3.168,2.559,-4.657,2.05,-0.253,-4.941,5.424,-2.934,-3.254,-4.955
IDBI India Top 100 Equity Fund IDCW Direct,8.17,1.476,3.525,3.548,-2.733,-1.273,4.936,0.101,-3.082,2.587,-2.219,2.837,2.859,-5.705,-9.669,3.918,-0.936,-1.278,5.813,1.813,-9.494,-3.03,5.469,0.91,-1.635,-0.287,6.609,-8.733,3.316,-1.076,-5.552,1.636,7.104,3.912,0.491,0.922,IDBI India Top 100 Equity Fund IDCW Direct,-2.838,-22.725,16.459,4.62,4.732,5.301,4.167,0.944,1.981,10.889,6.563,1.688,4.441,0.687,-9.428,7.432,2.846,2.341,5.892,3.23,2.714,-4.55,2.153,-0.185,-4.868,5.556,-2.986,-3.129,-4.864
IDBI Equity Advantage Fund - Growth Direct,5.639,1.551,5.481,3.815,0.409,2.362,1.219,-0.311,-0.546,4.926,1.565,3.448,0.319,-1.52,-2.477,7.288,-1.5,-3.253,1.645,5.593,-8.372,-1.718,3.682,1.547,-4.252,-1.628,5.681,-1.282,1.89,-2.511,-5.223,3.33,8.886,4.442,-1.154,2.178,0.754,-4.93,-21.022,11.029,3.485,3.406,0.189,3.628,1.823,1.612,10.751,6.556,0.478,4.191,0.143,-1.425,5.538,2.678,2.236,4.933,2.155,4.147,-5.293,2.892,-0.047,-4.959,5.678,-2.816,-3.991,-5.19
IDBI Equity Advantage Fund - Growth Regular,5.539,1.406,5.36,3.668,0.295,2.187,1.058,-0.443,-0.687,4.752,1.435,3.287,0.148,-1.626,-2.63,7.148,-1.646,-3.348,1.506,5.415,-8.49,-1.855,3.545,1.412,-4.366,-1.771,5.529,-1.367,1.746,-2.646,-5.318,3.198,8.769,4.327,-1.205,2.056,0.671,-5.002,-21.095,10.882,3.418,3.305,0.123,3.525,1.702,1.557,10.66,6.445,0.358,4.087,0.062,-1.495,5.428,2.574,2.13,4.851,2.044,4.033,-5.397,2.812,-0.154,-5.04,5.563,-2.882,-4.072,-5.278
IDBI Equity Advantage Fund - IDCW Direct,5.701,1.541,5.474,3.785,0.444,2.308,1.186,-0.328,-7.573,4.924,1.597,3.429,0.276,-1.469,-10.019,7.245,-1.487,-3.262,1.61,5.594,-8.388,-1.698,3.715,1.519,-4.239,-1.667,5.72,-6.212,1.885,-2.514,-5.212,3.345,8.889,4.439,-1.124,2.134,0.777,-4.901,-21.026,10.997,3.481,3.422,0.224,3.639,1.837,1.645,10.757,6.554,0.487,4.183,0.127,-9.878,5.514,2.702,2.242,4.954,2.142,4.155,-5.332,2.915,-0.038,-4.979,5.665,-2.814,-3.998,-5.145
IDBI Equity Advantage Fund - IDCW Regular,5.569,1.361,5.372,3.702,0.306,2.189,1.084,-0.487,-7.982,4.78,1.419,3.248,0.194,-1.643,-10.609,7.147,-1.631,-3.368,1.501,5.441,-8.463,-1.871,3.589,1.413,-4.341,-1.793,5.533,-6.703,1.752,-2.673,-5.319,3.21,8.717,4.343,-1.227,2.063,0.691,-5.003,-21.114,10.946,3.43,3.316,0.062,3.516,1.728,1.523,10.681,6.468,0.343,4.102,0.047,-10.877,5.462,2.54,2.186,4.833,2.059,4.035,-5.396,2.807,-0.171,-5.006,5.563,-2.894,-4.057,-5.297
IDBI Liquid Fund Bonus Direct,0.553,0.501,0.548,0.504,0.549,0.526,0.553,0.556,0.502,0.532,0.529,0.543,0.562,0.524,0.581,0.556,0.579,0.646,0.622,0.448,0.609,0.648,0.648,0.659,0.616,0.542,0.657,0.57,0.618,0.551,0.596,0.508,0.474,0.511,0.456,0.437,0.444,0.434,0.625,0.444,0.444,0.345,0.322,0.308,0.292,0.292,0.272,0.274,0.259,0.26,0.297,0.277,0.28,0.298,0.291,0.289,0.251,0.273,0.314,0.299,0.299,0.291,0.32,0.306,0.301,0.405
IDBI Liquid Fund Bonus Regular,0.546,0.494,0.54,0.496,0.54,0.514,0.54,0.545,0.494,0.522,0.519,0.533,0.549,0.513,0.573,0.546,0.569,0.637,0.612,0.592,0.601,0.639,0.638,0.648,0.606,0.533,0.647,0.56,0.608,0.542,0.28,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular,IDBI Liquid Fund Bonus Regular
IDBI Liquid Fund Growth Direct,0.553,0.501,0.548,0.504,0.549,0.526,0.553,0.556,0.502,0.532,0.529,0.543,0.562,0.524,0.581,0.556,0.579,0.646,0.622,0.602,0.611,0.649,0.647,0.658,0.615,0.542,0.657,0.569,0.618,0.551,0.594,0.507,0.474,0.509,0.453,0.434,0.441,0.431,0.622,0.441,0.443,0.344,0.321,0.306,0.29,0.292,0.27,0.272,0.259,0.259,0.295,0.276,0.279,0.297,0.29,0.288,0.249,0.271,0.313,0.297,0.297,0.29,0.318,0.304,0.299,0.404
IDBI Liquid Fund- Monthly IDCW,0.014,-0.086,0.052,-0.02,0.021,-0.068,0.032,-0.052,0.002,-0.004,-0.053,0.036,0.019,-0.059,0.003,-0.042,0.025,IDBI Liquid Fund- Monthly IDCW,0.006,-0.041,0.074,-0.027,-0.039,0.021,0.006,-0.057,0.101,-0.077,-0.003,0.017,0.007,-0.032,0.035,-0.008,-0.022,-0.008,-0.014,-0.006,0.46,-0.507,0.039,0.012,-0.02,0.015,0.008,-0.022,-0.004,-0.005,0.028,-0.044,0.048,-0.033,0.028,-0.004,-0.009,0.005,-0.028,0.026,-0.004,-0.003,0.017,-0.031,0.046,-0.035,0.041,-0.024
IDBI Liquid Fund- Monthly IDCW Direct,0.015,-0.087,0.052,-0.02,0.022,-0.068,0.032,-0.054,0.002,-0.004,-0.054,0.034,0.023,-0.072,0.003,-0.042,0.025,IDBI Liquid Fund- Monthly IDCW Direct,0.006,-0.042,0.074,-0.027,-0.039,0.021,0.007,-0.058,0.102,-0.078,-0.003,0.018,0.007,-0.032,0.034,-0.006,-0.025,-0.007,-0.015,-0.006,0.46,-0.507,0.039,0.011,-0.019,0.016,0.009,-0.025,-0.004,-0.005,0.029,-0.045,0.049,-0.033,0.028,-0.004,-0.009,0.005,-0.029,0.027,-0.005,-0.003,0.018,-0.032,0.047,-0.035,0.041,-0.024
IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,0.014,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW,IDBI Liquid Fund-Daily IDCW
IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,0.032,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct,IDBI Liquid Fund-Daily IDCW Direct
IDBI Liquid Fund-Growth,0.546,0.494,0.54,0.496,0.54,0.514,0.54,0.545,0.494,0.522,0.519,0.533,0.549,0.513,0.573,0.546,0.569,0.637,0.612,0.592,0.601,0.639,0.638,0.648,0.606,0.533,0.647,0.56,0.608,0.542,0.584,0.497,0.465,0.503,0.45,0.43,0.438,0.428,0.619,0.438,0.439,0.341,0.317,0.303,0.287,0.288,0.267,0.269,0.255,0.256,0.292,0.273,0.276,0.294,0.286,0.284,0.246,0.268,0.309,0.294,0.294,0.287,0.315,0.301,0.296,0.401
IDBI Liquid Fund-Weekly IDCW,0.052,IDBI Liquid Fund-Weekly IDCW,0.052,IDBI Liquid Fund-Weekly IDCW,0.438,0.093,0.035,0.052,0.003,0.054,0.032,0.337,0.359,0.513,0.004,IDBI Liquid Fund-Weekly IDCW,0.096,-0.096,0.06,0.058,-0.1,0.066,0.045,-0.081,0.048,IDBI Liquid Fund-Weekly IDCW,-0.096,0.037,0.079,-0.096,0.053,0.032,-0.049,0.017,-0.073,0.042,0.046,-0.088,0.089,-0.068,-0.01,0.025,0.022,-0.039,0.034,-0.053,0.005,0.044,-0.039,-0.005,0.029,0.017,-0.032,0.027,-0.046,0.026,0.013,-0.031,0.02,0.035,-0.044,-0.001,0.045,-0.063,0.04,0.037
IDBI Liquid Fund-Weekly IDCW Direct,0.053,IDBI Liquid Fund-Weekly IDCW Direct,0.052,IDBI Liquid Fund-Weekly IDCW Direct,0.071,0.004,0.035,0.053,0.003,0.055,0.033,-0.07,0.055,0.001,0.003,IDBI Liquid Fund-Weekly IDCW Direct,0.098,-0.096,0.061,0.059,-0.101,0.067,0.046,-0.082,0.049,IDBI Liquid Fund-Weekly IDCW Direct,-0.083,0.038,0.08,-0.098,0.054,0.032,-0.051,0.017,-0.073,0.042,0.046,-0.088,0.089,0.003,-0.011,0.025,0.023,-0.039,0.034,-0.053,0.004,0.045,-0.039,-0.006,0.029,0.017,-0.032,0.027,-0.047,0.027,0.013,-0.031,0.02,0.035,-0.044,-0.001,0.045,-0.064,0.04,0.038
IDBI UST Bonus Direct,0.538,0.351,0.573,0.392,0.562,0.591,0.686,0.626,0.444,0.662,0.427,0.329,0.45,0.419,0.846,0.331,0.456,0.635,0.649,0.537,0.406,0.597,0.753,0.769,0.593,0.559,0.839,0.469,-1.123,-2.375,0.747,0.462,5.043,0.67,0.618,0.454,0.518,0.511,0.402,-0.377,0.811,0.49,0.653,0.42,0.331,0.417,0.482,0.389,0.317,0.33,0.218,0.222,0.316,0.301,0.295,0.339,0.823,0.284,0.333,0.299,0.036,IDBI UST Bonus Direct,IDBI UST Bonus Direct,IDBI UST Bonus Direct,IDBI UST Bonus Direct,IDBI UST Bonus Direct
IDBI UST Bonus Regular,0.473,0.288,0.505,0.338,0.495,0.52,0.599,0.536,0.361,0.581,0.348,0.255,0.369,0.373,0.797,0.288,0.403,0.585,0.596,0.484,0.356,0.545,0.709,0.725,0.545,0.512,0.791,0.431,-1.162,-2.413,0.704,0.422,5.003,0.631,0.586,0.421,0.484,0.483,0.37,-0.407,0.78,0.456,0.62,0.388,0.298,0.387,0.457,0.362,0.29,0.305,0.192,0.2,0.29,0.275,0.269,0.313,0.797,0.256,0.306,0.273,0.227,0.289,0.316,0.2,0.098,0.386
IDBI UST Daily IDCW,IDBI UST Daily IDCW,-0.002,0.179,IDBI UST Daily IDCW,IDBI UST Daily IDCW,IDBI UST Daily IDCW,0.093,IDBI UST Daily IDCW,IDBI UST Daily IDCW,IDBI UST Daily IDCW,IDBI UST Daily IDCW,IDBI UST Daily IDCW,-0.043,0.039,0.004,IDBI UST Daily IDCW,IDBI UST Daily IDCW,IDBI UST Daily IDCW,IDBI UST Daily IDCW,IDBI UST Daily IDCW,IDBI UST Daily IDCW,IDBI UST Daily IDCW,IDBI UST Daily IDCW,IDBI UST Daily IDCW,-0.047,0.047,IDBI UST Daily IDCW,IDBI UST Daily IDCW,-1.323,-2.413,0.704,0.422,2.521,IDBI UST Daily IDCW,IDBI UST Daily IDCW,IDBI UST Daily IDCW,IDBI UST Daily IDCW,-0.007,IDBI UST Daily IDCW,-0.54,0.375,0.028,IDBI UST Daily IDCW,IDBI UST Daily IDCW,IDBI UST Daily IDCW,IDBI UST Daily IDCW,IDBI UST Daily IDCW,IDBI UST Daily IDCW,IDBI UST Daily IDCW,IDBI UST Daily IDCW,IDBI UST Daily IDCW,-0.014,IDBI UST Daily IDCW,IDBI UST Daily IDCW,-0.01,IDBI UST Daily IDCW,IDBI UST Daily IDCW,IDBI UST Daily IDCW,IDBI UST Daily IDCW,IDBI UST Daily IDCW,-0.01,0.01,IDBI UST Daily IDCW,IDBI UST Daily IDCW,IDBI UST Daily IDCW,IDBI UST Daily IDCW
IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,-0.041,0.041,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,-0.044,0.044,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,-1.294,-2.375,0.747,0.462,2.357,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,-0.006,IDBI UST Daily IDCW Direct,-0.534,0.368,0.022,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,-0.012,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,-0.01,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,-0.009,0.009,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct,IDBI UST Daily IDCW Direct
IDBI UST Growth,0.473,0.288,0.505,0.339,0.495,0.52,0.598,0.536,0.359,0.581,0.348,0.255,0.369,0.373,0.797,0.284,0.403,0.585,0.596,0.484,0.356,0.545,0.709,0.725,0.545,0.512,0.791,0.43,-1.163,-2.413,0.704,0.422,5.003,0.631,0.586,0.42,0.485,0.482,0.37,-0.407,0.78,0.456,0.62,0.388,0.298,0.387,0.457,0.362,0.29,0.305,0.192,0.2,0.29,0.275,0.269,0.313,0.797,0.256,0.306,0.273,0.227,0.289,0.316,0.2,0.098,0.386
