scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
L&T Tax Saver Fund- Regular Plan - Dividend,7.23,1.742,4.133,3.797,2.24,0.1,2.534,-0.706,-1.228,6.213,-1.324,5.772,-0.147,-3.575,-2.757,4.276,-0.33,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend,L&T Tax Saver Fund- Regular Plan - Dividend
L&T Tax Saver Fund-Regular Plan - Growth,7.208,1.754,4.149,3.772,2.27,0.085,2.539,-0.688,-1.247,6.166,-1.294,5.75,-0.152,-3.571,-2.732,4.254,-0.309,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth,L&T Tax Saver Fund-Regular Plan - Growth
L&T Flexicap Fund-Direct Plan-Growth,8.839,2.317,2.974,2.422,2.196,-1.38,3.341,0.184,-1.503,5.149,-1.196,4.198,3.862,-4.826,-2.596,5.339,-1.613,-1.995,4.335,1.192,-7.121,-2.008,2.72,0.248,-2.648,-0.325,7.31,-0.929,2.934,-1.834,-6.616,0.342,4.137,4.553,0.306,0.575,0.019,-3.614,-26.254,19.202,4.189,6.744,7.11,3.412,0.853,0.796,9.337,6.508,0.839,4.626,1.258,-0.129,5.836,2.585,1.008,3.768,2.683,3.219,-3.136,0.345,-0.97,-5.142,5.331,-2.225,-3.744,-3.982
L&T Flexicap Fund-Direct Plan-IDCW,1.34,2.317,2.976,2.422,2.196,-1.38,3.343,0.183,-1.504,5.148,-1.196,4.198,-2.463,-4.826,-2.596,5.338,-1.613,-1.997,4.336,1.19,-7.119,-2.01,2.723,0.249,-9.717,-0.325,7.311,-0.932,2.935,-1.832,-6.616,0.342,4.139,4.553,0.305,0.574,-7.919,-3.615,-26.256,19.204,4.191,6.744,7.109,3.413,0.851,0.799,9.339,6.507,0.837,-2.902,1.256,-0.128,5.837,2.584,1.009,3.767,2.682,3.219,-3.136,0.347,-7.586,-5.142,5.332,-2.226,-3.743,-3.983
L&T Flexicap Fund-Regular Plan-Growth,8.774,2.26,2.914,2.373,2.134,-1.435,3.282,0.123,-1.558,5.088,-1.256,4.134,3.793,-4.881,-2.653,5.28,-1.672,-2.05,4.273,1.129,-7.174,-2.066,2.663,0.189,-2.712,-0.389,7.233,-0.99,2.874,-1.887,-6.667,0.276,4.087,4.496,0.255,0.519,-0.029,-3.65,-26.29,19.146,4.127,6.678,7.045,3.352,0.791,0.738,9.279,6.448,0.782,4.573,1.2,-0.189,5.773,2.521,0.947,3.704,2.62,3.153,-3.194,0.289,-1.026,-5.191,5.27,-2.28,-3.802,-4.04
L&T Flexicap Fund-Regular Plan-IDCW,0.585,2.26,2.913,2.373,2.135,-1.435,3.281,0.121,-1.557,5.087,-1.257,4.134,-3.213,-4.881,-2.652,5.28,-1.671,-2.051,4.272,1.129,-7.174,-2.068,2.665,0.189,-10.657,-0.387,7.233,-0.99,2.876,-1.887,-6.682,0.278,4.086,4.496,0.257,0.518,-7.991,-3.652,-26.289,19.148,4.127,6.678,7.046,3.349,0.794,0.736,9.28,6.446,0.783,-3.037,1.2,-0.189,5.773,2.519,0.95,3.704,2.619,3.153,-3.192,0.287,-7.76,-5.192,5.27,-2.279,-3.802,-4.041
L&T India Large Cap Fund - Direct Plan - Growth,9.196,0.584,3.212,2.956,1.42,-0.726,5.115,-0.635,-2.642,4.833,-2.275,3.199,3.992,-4.442,-2.623,4.896,-2.045,-0.625,6.151,1.614,-6.472,-3.751,4.56,-0.175,-0.931,-0.279,7.631,0.924,3.523,-1.332,-6.996,0.826,5.957,4.572,0.532,0.781,-0.085,-3.254,-25.272,17.813,4.468,4.325,6.801,4.311,0.111,1.559,10.702,6.67,1.488,4.069,0.596,-1.395,6.161,1.648,2.342,5.911,1.725,2.655,-4.597,1.888,-1.035,-4.895,5.965,-3.584,-3.567,-4.319
L&T India Large Cap Fund - Direct Plan- IDCW,9.192,0.587,3.214,2.956,1.423,-0.729,5.109,-0.63,-2.643,4.832,-2.272,-4.66,3.999,-4.444,-2.623,4.894,-2.041,-0.626,6.149,1.613,-6.47,-3.753,4.562,-7.843,-0.928,-0.279,7.628,0.928,3.521,-1.332,-6.992,0.823,5.957,4.573,0.528,-6.482,-0.083,-3.253,-25.274,17.816,4.466,4.322,6.808,4.311,0.111,1.557,10.706,0.311,1.49,4.069,0.593,-1.393,6.164,1.649,2.34,5.91,1.725,2.658,-4.598,-4.341,-1.036,-4.892,5.965,-3.584,-3.565,-4.318
L&T India Large Cap Fund - Regular Plan - Growth,9.129,0.528,3.154,2.906,1.36,-0.782,5.048,-0.699,-2.699,4.772,-2.34,3.125,3.923,-4.504,-2.687,4.829,-2.107,-0.688,6.084,1.546,-6.534,-3.816,4.496,-0.241,-1.006,-0.347,7.551,0.864,3.464,-1.391,-7.057,0.736,5.896,4.505,0.472,0.713,-0.159,-3.314,-25.329,17.725,4.396,4.24,6.725,4.235,0.037,1.483,10.627,6.591,1.412,3.998,0.521,-1.47,6.083,1.567,2.265,5.829,1.646,2.575,-4.673,1.806,-1.112,-4.959,5.881,-3.663,-3.645,-4.4
L&T India Large Cap Fund - Regular Plan - IDCW,9.126,0.531,3.15,2.906,1.362,-0.786,5.046,-0.698,-2.696,4.771,-2.341,-5.194,3.92,-4.505,-2.682,4.83,-2.107,-0.687,6.083,1.545,-6.538,-3.813,4.499,-7.885,-1.003,-0.344,7.545,0.862,3.467,-1.391,-7.052,0.734,5.896,4.505,0.469,-6.58,-0.163,-3.318,-25.332,17.728,4.394,4.246,6.72,4.235,0.038,1.482,10.626,0.227,1.414,3.994,0.52,-1.468,6.083,1.57,2.263,5.828,1.644,2.573,-4.673,-4.351,-1.109,-4.964,5.884,-3.666,-3.645,-4.398
