scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
LIC MF Large Cap Fund-Direct Plan-Growth,7.446,1.167,2.145,2.079,3.693,-1.15,5.505,-0.683,-1.58,4.147,-2.656,2.863,2.007,-3.8,-2.476,4.882,-0.638,0.115,5.148,1.948,-7.393,-4.15,6.811,1.304,-1.78,-1.126,6.406,0.601,3.626,-0.23,-6.418,1.791,7.757,3.189,0.783,2.13,0.696,-1.985,-23.678,12.626,3.269,5.172,4.412,4.602,-0.84,2.247,12.527,7.124,0.467,1.388,1.043,-0.924,5.66,2.357,1.741,8.065,1.78,3.214,-3.599,1.312,-1.339,-3.574,4.221,-3.997,-3.587,-4.698
LIC MF Large Cap Fund-Direct Plan-IDCW,7.445,1.167,2.144,2.079,3.143,-1.151,4.838,-0.685,-2.341,4.146,-3.524,2.861,1.015,-3.802,-5.029,4.88,-1.212,0.113,4.417,1.945,-8.197,-4.153,5.743,1.301,-2.948,-1.126,4.894,0.599,2.847,-0.231,-7.282,1.789,6.685,3.187,-0.306,2.128,-0.504,-1.986,-23.679,12.628,3.272,5.171,4.411,4.601,-0.841,2.246,12.526,7.123,0.466,0.775,1.041,-0.925,5.66,1.38,1.74,8.064,0.917,3.214,-3.6,0.435,-1.34,-3.574,3.296,-3.998,-3.588,-5.651
LIC MF Large Cap Fund-Regular Plan-Growth,7.348,1.071,2.041,1.992,3.588,-1.248,5.401,-0.789,-1.675,4.043,-2.757,2.754,1.897,-3.893,-2.557,4.802,-0.729,0.019,5.041,1.845,-7.48,-4.243,6.732,1.216,-1.869,-1.205,6.309,0.515,3.539,-0.311,-6.503,1.705,7.681,3.109,0.821,2.049,0.607,-2.058,-23.742,12.535,3.187,5.083,4.323,4.517,-0.924,2.166,12.421,7.017,0.36,1.262,0.901,-1.055,5.521,2.217,1.607,7.933,1.662,3.091,-3.71,1.195,-1.433,-3.674,4.101,-4.097,-3.688,-4.785
LIC MF Large Cap Fund-Regular Plan-IDCW,7.348,1.071,2.04,1.992,2.978,-1.248,4.652,-0.79,-2.522,4.044,-3.726,2.754,0.786,-3.892,-5.427,4.802,-1.375,0.019,4.215,1.844,-8.392,-4.24,5.515,1.216,-3.221,-1.205,4.571,0.516,2.641,-0.311,-7.501,1.705,6.439,3.108,-0.446,2.049,-0.791,-2.058,-23.742,12.535,3.186,5.083,4.323,4.517,-0.924,2.165,12.42,7.017,0.36,1.261,0.901,-1.052,5.521,2.218,1.607,7.933,1.662,3.091,-3.71,1.196,-1.433,-3.673,4.101,-4.098,-3.688,-4.786
LIC MF Large & Mid Cap Fund-Direct Plan-Growth,6.706,2.545,5.344,3.536,2.144,-0.332,3.849,-0.038,-1.905,6.116,-0.641,5.624,-1.421,-1.118,-3.348,6.275,-5.201,-2.541,6.054,5.113,-10.135,-0.754,3.095,2.478,-3.976,-0.272,6.259,-0.639,2.667,-0.078,-6.018,2.406,6.298,3.356,1.841,1.621,2.351,-1.284,-26.079,12.866,3.253,5.464,5.075,6.074,2.174,0.872,11.09,6.106,-0.843,5.375,1.321,0.366,4.506,4.222,3.144,5.756,3.016,2.688,-2.156,2.183,-0.099,-5.453,5.05,-1.995,-3.561,-4.577
LIC MF Large & Mid Cap Fund-Direct Plan-IDCW,6.704,2.542,5.345,3.535,2.141,-0.334,3.846,-0.04,-5.391,6.114,-0.643,5.623,-1.422,-1.12,-7.698,6.274,-5.202,-2.542,6.051,5.108,-13.727,-0.735,3.091,2.476,-3.977,-0.272,6.258,-0.641,2.666,-0.079,-6.019,2.405,4.44,3.354,1.842,1.62,2.35,-1.285,-26.079,12.865,3.253,5.465,5.072,6.073,2.173,0.872,11.089,6.105,-0.844,5.374,1.32,0.366,4.506,2.924,3.143,5.756,2.332,2.687,-2.156,1.062,-0.1,-5.454,3.868,-1.995,-3.561,-5.77
LIC MF Large & Mid Cap Fund-Regular Plan-Growth,6.563,2.412,5.2,3.419,2.002,-0.466,3.709,-0.175,-2.034,5.973,-0.779,5.428,-1.614,-1.294,-3.503,6.109,-5.369,-2.691,5.947,5.005,-10.221,-0.848,3.018,2.391,-4.075,-0.365,6.15,-0.734,2.568,-0.171,-6.115,2.307,6.224,3.276,1.783,1.495,2.192,-1.417,-26.195,12.699,3.105,5.306,4.94,5.945,2.045,0.749,10.955,5.973,-0.974,5.244,1.179,0.233,4.368,4.08,3.008,5.617,2.883,2.553,-2.281,2.052,-0.206,-5.562,4.913,-2.111,-3.684,-4.694
LIC MF Large & Mid Cap Fund-Regular Plan-IDCW,6.563,2.411,5.199,3.417,2.002,-0.466,3.709,-0.183,-5.604,5.973,-0.78,5.427,-1.615,-1.294,-8.009,6.111,-5.369,-2.693,5.947,5.005,-13.981,-0.847,3.017,2.39,-4.075,-0.365,6.149,-0.734,2.568,-0.17,-6.115,2.307,6.224,3.276,1.783,1.494,2.192,-1.417,-26.193,12.698,3.104,5.306,4.939,5.944,2.044,0.749,10.954,5.972,-0.974,5.244,1.178,0.234,4.368,4.08,3.008,5.618,2.157,2.553,-2.281,0.856,-0.206,-5.563,3.649,-2.111,-3.684,-5.979
LIC MF Banking and Financial Services Fund-Direct Plan-Growth,10.848,2.349,4.222,8.804,-2.367,-2.808,6.372,-5.444,-4.204,17.347,-3.027,0.124,-1.985,-10.387,-4.387,5.539,-1.56,-2.405,3.751,4.444,-14.681,-0.504,5.625,2.855,-1.127,-1.247,10.293,0.118,6.497,-0.943,-8.413,0.129,7.512,2.516,4.377,1.951,-1.924,-3.051,-33.864,17.474,2.799,6.356,-0.967,9.646,-3.936,5.363,17.871,4.006,2.948,4.841,-3.419,-1.514,7.535,-1.21,0.68,5.339,0.464,6.23,-7.607,-2.468,4.472,-7.501,5.649,-3.021,-1.394,-4.061
LIC MF Banking and Financial Services Fund-Direct Plan-IDCW,10.852,2.346,4.22,8.802,-2.373,-2.811,6.367,-5.45,-4.209,17.338,-3.035,0.116,-1.991,-10.392,-4.389,5.534,-1.566,-2.41,3.74,4.435,-14.683,-0.508,5.619,2.846,-1.135,-1.252,10.287,0.112,6.491,-0.949,-8.419,0.123,7.507,2.509,4.371,1.946,-1.931,-3.057,-33.868,17.468,2.792,6.347,-0.974,9.64,-3.942,5.355,17.867,3.994,2.939,4.832,-3.429,-1.523,7.524,-1.22,0.671,5.329,0.454,6.219,-7.617,-2.478,4.462,-7.51,5.637,-3.029,-1.402,-4.07
