scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
Motilal Oswal Midcap 30 Fund (MOF30)-Direct Plan-Growth Option,6.38,1.625,4.289,5.136,-2.443,-0.509,2.161,-0.439,-0.673,1.091,4.196,5.008,-6.32,-3.136,-0.417,3.899,-2.374,-0.759,5.297,4.818,-11.994,-2.732,0.351,4.05,-4.586,1.055,7.894,-0.85,0.719,-0.901,-8.779,4.017,8.132,3.585,1.288,1.315,6.023,-2.632,-31.252,10.384,5.101,5.968,4.457,7.586,2.852,-0.09,12.135,4.824,1.503,9.064,0.696,-0.842,5.231,3.702,6.214,4.329,6.481,4.319,0.838,3.491,-1.576,-5.388,4.002,3.65,-4.078,-4.423
Motilal Oswal Midcap 30 Fund (MOF30)-Regular Plan-Growth Option,6.274,1.53,4.154,5.026,-2.551,-0.611,2.054,-0.552,-0.774,0.98,4.076,4.885,-6.428,-3.241,-0.517,3.791,-2.484,-0.866,5.171,4.697,-12.09,-2.844,0.252,3.949,-4.684,0.97,7.802,-0.936,0.631,-0.985,-8.868,3.921,8.036,3.487,1.201,1.222,5.925,-2.706,-31.336,10.316,5.006,5.861,4.352,7.481,2.747,-0.201,12.011,4.703,1.386,8.95,0.58,-0.932,5.127,3.599,6.11,4.223,6.374,4.212,0.74,3.397,-1.661,-5.464,3.908,3.562,-4.165,-4.519
Motilal Oswal Midcap 30 Fund Direct - IDCW Payout/Reinvestment,6.38,1.625,2.074,5.137,-2.444,-0.509,2.161,-0.439,-0.673,1.091,4.197,5.008,-6.32,-3.136,-9.218,3.9,-2.374,-0.759,5.297,4.818,-11.994,-2.732,0.351,4.05,-4.587,1.055,-2.06,-0.849,0.719,-0.901,-8.779,4.017,8.132,3.584,1.288,1.315,6.022,-2.632,-36.064,10.385,5.1,5.969,4.457,7.586,2.852,-0.09,12.135,4.824,1.503,9.064,-14.266,-0.842,5.231,3.702,6.215,4.329,6.481,4.319,0.838,3.491,-1.576,-5.388,-2.933,3.65,-4.077,-4.423
Motilal Oswal Midcap 30 Fund Regular - IDCW Payout/Reinvestment,6.274,1.53,1.869,5.026,-2.551,-0.611,2.054,-0.552,-0.774,0.98,4.077,4.885,-6.428,-3.241,-9.796,3.791,-2.484,-0.866,5.172,4.697,-12.09,-2.845,0.252,3.949,-4.683,0.97,-2.889,-0.935,0.631,-0.985,-8.868,3.92,8.036,3.487,1.201,1.222,5.925,-2.706,-31.482,10.315,5.006,5.861,4.352,7.481,2.747,-0.201,12.011,4.704,1.386,8.95,-13.991,-0.932,5.128,3.599,6.11,4.224,6.375,4.212,0.74,3.397,-1.661,-5.464,-3.041,3.562,-4.165,-4.519
Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,8.423,1.04,3.647,5.397,0.288,0.651,4.319,1.122,-2.654,1.672,-0.86,4.211,2.834,-4.514,-2.652,4.805,-0.227,-1.035,5.289,0.123,-7.524,-4.795,6.498,0.09,-2.651,-0.681,6.824,1.31,3.58,-0.811,-7.327,2.366,9.947,2.891,0.792,2.647,0.518,-1.996,-22.588,17.754,3.688,4.753,4.209,3.284,0.186,4.128,11.453,5.595,1.127,2.851,0.557,-1.473,6.467,1.232,-0.048,5.026,1.002,1.161,-4.617,-0.139,-1.617,-6.059,5.715,-2.726,0.402,-4.993
Motilal Oswal Focused 25 Fund (MOF25)- Regular Plan Growth Option,8.305,0.937,3.507,5.277,0.174,0.546,4.204,1.001,-2.756,1.56,-0.975,4.089,2.714,-4.619,-2.749,4.697,-0.338,-1.139,5.167,0.012,-7.62,-4.9,6.394,-0.006,-2.749,-0.766,6.73,1.221,3.489,-0.895,-7.41,2.28,9.859,2.789,0.7,2.546,0.419,-2.079,-22.678,17.631,3.58,4.633,4.089,3.169,0.071,4.03,11.35,5.493,1.03,2.761,0.46,-1.567,6.366,1.129,-0.148,4.917,0.898,1.053,-4.713,-0.234,-1.707,-6.139,5.618,-2.814,0.31,-5.084
Motilal Oswal Focused 25 Fund Direct - IDCW Payout/Reinvestment,8.423,1.039,0.586,5.397,0.288,0.651,4.319,1.122,-2.654,1.672,-0.861,4.212,2.833,-4.514,-12.297,4.805,-0.227,-1.035,5.289,0.123,-7.525,-4.795,6.498,0.09,-2.651,-0.681,3.793,1.31,3.58,-0.811,-7.327,2.366,9.947,2.891,0.791,2.647,0.518,-1.996,-27.857,17.753,3.688,4.753,4.209,3.284,0.186,4.127,11.453,5.595,1.128,2.851,-14.248,-1.473,6.467,1.232,-0.048,5.025,1.003,1.161,-4.617,-0.139,-1.617,-6.059,-1.437,-2.729,0.402,-4.993
Motilal Oswal Focused 25 Fund Regular - IDCW Payout/Reinvestment,8.305,0.936,0.282,5.277,0.174,0.546,4.203,1.001,-2.756,1.56,-0.974,4.089,2.715,-4.619,-13.122,4.697,-0.337,-1.139,5.167,0.012,-7.62,-4.9,6.394,-0.006,-2.749,-0.767,3.4,1.221,3.488,-0.895,-7.409,2.279,9.859,2.789,0.7,2.546,0.419,-2.078,-26.487,17.631,3.58,4.633,4.089,3.17,0.071,4.03,11.35,5.493,1.029,2.761,-14.432,-1.567,6.366,1.129,-0.148,4.917,0.898,1.053,-4.714,-0.234,-1.707,-6.139,-1.524,-2.814,0.31,-5.085
Motilal Oswal Long Term Equity Fund (MOFLTE) - Direct Plan - Growth Option,8.871,2.043,5.149,4.13,2.242,0.247,5.815,0.861,-1.849,1.715,0.979,5.057,2.044,-3.043,-0.291,3.32,-1.457,-2.341,4.264,-0.772,-7.951,-4.155,4.281,0.77,-4.384,1.169,6.527,-0.931,2.547,-0.316,-7.338,3.264,8.22,4.825,0.65,1.578,2.883,-2.51,-28.753,14.253,4.129,6.133,3.206,4.766,-1.269,2.218,11.956,7.723,2.84,5.184,1.154,-1.359,5.693,4.617,5.132,4.992,-0.864,1.752,-2.744,1.512,-0.136,-7.217,2.223,-1.377,-2.783,-4.64
Motilal Oswal Long Term Equity Fund (MOFLTE) - Regular Plan - Growth Option,8.739,1.929,5.034,4.015,2.126,0.141,5.702,0.748,-1.947,1.607,0.866,4.935,1.927,-3.145,-0.378,3.237,-1.546,-2.43,4.158,-0.871,-8.037,-4.251,4.18,0.679,-4.475,1.074,6.403,-1.043,2.431,-0.425,-7.444,3.154,8.11,4.714,0.552,1.471,2.774,-2.594,-28.827,14.133,4.017,6.007,3.083,4.645,-1.386,2.107,11.835,7.603,2.725,5.078,1.041,-1.457,5.584,4.506,5.023,4.879,-0.97,1.641,-2.845,1.412,-0.228,-7.295,2.126,-1.47,-2.876,-4.737
