scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
Parag Parikh Flexi Cap Fund - Direct Plan - Growth,3.734,3.338,1.099,1.755,2.063,1.25,2.647,1.707,2.241,2.859,0.806,2.512,2.552,-2.397,-4.578,4.294,1.314,0.923,4.115,3.825,-5.045,-4.687,1.319,-0.251,2.321,1.134,2.916,1.517,0.013,1.258,-3.864,0.975,3.523,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,Parag Parikh Flexi Cap Fund - Direct Plan - Growth,1.393,2.281,-3.81,-20.575,15.949,9.59,6.526,8.315,5.809,1.822,-1.15,9.461,4.504,1.749,3.848,3.022,3.931,4.012,3.89,6.691,4.622,2.659,3.465,-1.375,2.652,-2.342,-5.626,5.963,-4.049,-1.099,-5.274
Parag Parikh Flexi Cap Fund - Regular Plan - Growth,3.233,2.979,1.259,1.662,1.851,1.418,2.767,1.068,1.78,2.554,0.814,2.525,2.662,-1.896,-3.577,3.725,1.385,0.119,3.955,3.962,-4.771,-5.577,0.797,-0.665,0.842,0.858,2.938,1.85,0.078,0.608,-2.875,0.374,3.839,Parag Parikh Flexi Cap Fund - Regular Plan - Growth,Parag Parikh Flexi Cap Fund - Regular Plan - Growth,1.12,2.347,-1.039,-19.381,13.25,8.366,4.962,7.375,5.712,1.59,-2.214,9.168,4.266,0.872,2.594,1.76,3.902,4.418,3.634,6.75,4.139,3.302,2.145,-1.218,1.707,-3.902,-6.249,5.185,-4.218,-0.895,-5.317
Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,0.001,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,0.02,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Daily Reinvestment of IDCW
Parag Parikh Liquid Fund- Direct Plan- Growth,Parag Parikh Liquid Fund- Direct Plan- Growth,Parag Parikh Liquid Fund- Direct Plan- Growth,Parag Parikh Liquid Fund- Direct Plan- Growth,Parag Parikh Liquid Fund- Direct Plan- Growth,Parag Parikh Liquid Fund- Direct Plan- Growth,Parag Parikh Liquid Fund- Direct Plan- Growth,Parag Parikh Liquid Fund- Direct Plan- Growth,Parag Parikh Liquid Fund- Direct Plan- Growth,Parag Parikh Liquid Fund- Direct Plan- Growth,Parag Parikh Liquid Fund- Direct Plan- Growth,Parag Parikh Liquid Fund- Direct Plan- Growth,Parag Parikh Liquid Fund- Direct Plan- Growth,Parag Parikh Liquid Fund- Direct Plan- Growth,Parag Parikh Liquid Fund- Direct Plan- Growth,Parag Parikh Liquid Fund- Direct Plan- Growth,Parag Parikh Liquid Fund- Direct Plan- Growth,0.285,0.494,0.525,0.523,0.51,0.562,0.517,0.528,0.539,0.48,0.533,0.486,0.499,0.472,0.548,0.467,0.418,Parag Parikh Liquid Fund- Direct Plan- Growth,Parag Parikh Liquid Fund- Direct Plan- Growth,0.404,0.383,0.381,0.431,0.325,0.29,0.26,0.23,0.261,0.251,0.269,0.253,0.245,0.227,0.253,0.26,0.219,0.255,0.27,0.274,0.285,0.241,0.259,0.287,0.28,0.27,0.278,0.296,0.261,0.282,0.373
Parag Parikh Liquid Fund- Direct Plan- Monthly IDCW,Parag Parikh Liquid Fund- Direct Plan- Monthly IDCW,Parag Parikh Liquid Fund- Direct Plan- Monthly IDCW,Parag Parikh Liquid Fund- Direct Plan- Monthly IDCW,Parag Parikh Liquid Fund- Direct Plan- Monthly IDCW,Parag Parikh Liquid Fund- Direct Plan- Monthly IDCW,Parag Parikh Liquid Fund- Direct Plan- Monthly IDCW,Parag Parikh Liquid Fund- Direct Plan- Monthly IDCW,Parag Parikh Liquid Fund- Direct Plan- Monthly IDCW,Parag Parikh Liquid Fund- Direct Plan- Monthly IDCW,Parag Parikh Liquid Fund- Direct Plan- Monthly IDCW,Parag Parikh Liquid Fund- Direct Plan- Monthly IDCW,Parag Parikh Liquid Fund- Direct Plan- Monthly IDCW,Parag Parikh Liquid Fund- Direct Plan- Monthly IDCW,Parag Parikh Liquid Fund- Direct Plan- Monthly IDCW,Parag Parikh Liquid Fund- Direct Plan- Monthly IDCW,Parag Parikh Liquid Fund- Direct Plan- Monthly IDCW,0.283,0.041,-0.07,0.038,0.016,-0.07,0.017,-0.084,0.047,0.002,0.054,-0.106,0.049,0.008,-0.012,-0.039,-0.085,Parag Parikh Liquid Fund- Direct Plan- Monthly IDCW,Parag Parikh Liquid Fund- Direct Plan- Monthly IDCW,-0.06,0.024,0.001,-0.064,-0.007,-0.024,-0.008,0.007,-0.035,0.021,0.013,-0.048,0.042,0.021,-0.005,-0.042,-0.014,-0.039,0.022,0.021,-0.034,0.012,0.017,-0.03,0.029,-0.053,-0.002,0.025,-0.007,-0.032,0.033
Parag Parikh Liquid Fund- Direct Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Weekly Reinvestment of IDCW,0.085,0.039,-0.07,0.038,-0.107,0.053,0.017,-0.084,0.047,0.002,0.054,-0.106,0.049,-0.1,0.096,-0.039,-0.085,Parag Parikh Liquid Fund- Direct Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Direct Plan- Weekly Reinvestment of IDCW,-0.06,0.024,0.001,-0.064,-0.007,-0.056,0.024,0.007,-0.035,0.021,0.013,-0.048,0.042,-0.042,Parag Parikh Liquid Fund- Direct Plan- Weekly Reinvestment of IDCW,0.016,-0.014,-0.039,0.022,0.021,-0.034,0.012,-0.03,0.017,0.029,-0.053,-0.002,0.025,-0.007,-0.032,0.033
Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,0.001,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,0.02,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Daily Reinvestment of IDCW
Parag Parikh Liquid Fund- Regular Plan- Growth,Parag Parikh Liquid Fund- Regular Plan- Growth,Parag Parikh Liquid Fund- Regular Plan- Growth,Parag Parikh Liquid Fund- Regular Plan- Growth,Parag Parikh Liquid Fund- Regular Plan- Growth,Parag Parikh Liquid Fund- Regular Plan- Growth,Parag Parikh Liquid Fund- Regular Plan- Growth,Parag Parikh Liquid Fund- Regular Plan- Growth,Parag Parikh Liquid Fund- Regular Plan- Growth,Parag Parikh Liquid Fund- Regular Plan- Growth,Parag Parikh Liquid Fund- Regular Plan- Growth,Parag Parikh Liquid Fund- Regular Plan- Growth,Parag Parikh Liquid Fund- Regular Plan- Growth,Parag Parikh Liquid Fund- Regular Plan- Growth,Parag Parikh Liquid Fund- Regular Plan- Growth,Parag Parikh Liquid Fund- Regular Plan- Growth,Parag Parikh Liquid Fund- Regular Plan- Growth,0.279,0.484,0.515,0.512,0.501,0.552,0.509,0.52,0.531,0.473,0.525,0.477,0.491,0.463,0.539,0.459,0.41,Parag Parikh Liquid Fund- Regular Plan- Growth,Parag Parikh Liquid Fund- Regular Plan- Growth,0.395,0.375,0.374,0.423,0.317,0.282,0.252,0.221,0.253,0.243,0.26,0.245,0.237,0.218,0.245,0.252,0.212,0.247,0.262,0.265,0.276,0.233,0.251,0.279,0.272,0.262,0.271,0.288,0.253,0.273,0.365
Parag Parikh Liquid Fund- Regular Plan- Monthly IDCW,Parag Parikh Liquid Fund- Regular Plan- Monthly IDCW,Parag Parikh Liquid Fund- Regular Plan- Monthly IDCW,Parag Parikh Liquid Fund- Regular Plan- Monthly IDCW,Parag Parikh Liquid Fund- Regular Plan- Monthly IDCW,Parag Parikh Liquid Fund- Regular Plan- Monthly IDCW,Parag Parikh Liquid Fund- Regular Plan- Monthly IDCW,Parag Parikh Liquid Fund- Regular Plan- Monthly IDCW,Parag Parikh Liquid Fund- Regular Plan- Monthly IDCW,Parag Parikh Liquid Fund- Regular Plan- Monthly IDCW,Parag Parikh Liquid Fund- Regular Plan- Monthly IDCW,Parag Parikh Liquid Fund- Regular Plan- Monthly IDCW,Parag Parikh Liquid Fund- Regular Plan- Monthly IDCW,Parag Parikh Liquid Fund- Regular Plan- Monthly IDCW,Parag Parikh Liquid Fund- Regular Plan- Monthly IDCW,Parag Parikh Liquid Fund- Regular Plan- Monthly IDCW,Parag Parikh Liquid Fund- Regular Plan- Monthly IDCW,0.279,0.044,-0.068,0.038,0.016,-0.069,0.017,-0.083,0.046,0.002,0.053,-0.105,0.048,0.008,-0.011,-0.039,-0.083,Parag Parikh Liquid Fund- Regular Plan- Monthly IDCW,Parag Parikh Liquid Fund- Regular Plan- Monthly IDCW,-0.059,0.023,0.001,-0.063,-0.007,-0.024,-0.007,0.007,-0.034,0.021,0.012,-0.046,0.041,0.02,-0.004,-0.041,-0.013,-0.038,0.022,0.02,-0.032,0.012,0.017,-0.029,0.028,-0.051,-0.002,0.025,-0.007,-0.031,0.032
Parag Parikh Liquid Fund- Regular Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Weekly Reinvestment of IDCW,0.085,0.039,-0.068,0.038,-0.105,0.052,0.017,-0.083,0.046,0.002,0.053,-0.105,0.048,-0.098,0.095,-0.039,-0.083,Parag Parikh Liquid Fund- Regular Plan- Weekly Reinvestment of IDCW,Parag Parikh Liquid Fund- Regular Plan- Weekly Reinvestment of IDCW,-0.059,0.023,0.001,-0.063,-0.007,-0.054,0.023,0.007,-0.034,0.021,0.012,-0.046,0.041,-0.041,Parag Parikh Liquid Fund- Regular Plan- Weekly Reinvestment of IDCW,0.016,-0.014,-0.038,0.022,0.02,-0.032,0.012,-0.029,0.017,0.028,-0.051,-0.002,0.025,-0.007,-0.031,0.032
