scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
Quantum Long Term Equity Value Fund - Direct Plan Growth Option,6.475,1.042,1.999,0.722,2.245,-1.836,4.398,-1.262,-0.177,4.461,-2.472,2.823,2.876,-4.194,-3.847,3.947,-1.599,0.229,2.679,3.896,-2.396,-2.566,1.08,1.362,-2.153,0.94,4.584,-0.499,1.421,-2.047,-6.449,-1.432,-0.177,5.468,0.168,0.901,-1.562,-5.805,-25.435,18.515,5.176,4.523,6.861,4.748,0.749,2.43,12.904,4.815,4.626,4.438,1.182,-0.887,7.043,1.38,1.746,3.026,1.423,2.986,-5.587,1.072,0.866,-5.524,6.241,-2.135,-1.428,-3.864
Quantum Long Term Equity Value Fund - Direct Plan IDCW,6.465,1.054,1.982,0.716,2.226,-1.821,4.401,-1.27,-0.175,4.462,-2.488,2.838,2.87,-4.194,-3.833,3.952,-1.623,0.246,2.676,3.9,-2.412,-2.563,1.09,1.369,-2.171,0.951,4.582,-0.495,1.426,-2.047,-6.465,-1.42,-0.195,5.481,0.167,0.893,-1.549,-5.794,-25.442,18.495,5.207,4.507,6.87,4.75,0.742,2.45,12.91,4.825,4.619,4.431,1.187,-0.894,7.041,1.368,1.745,3.041,1.424,2.973,-5.577,1.063,0.872,-5.527,6.242,-2.142,-1.442,-3.858
Quantum Tax Saving Fund - Direct Plan Growth Option,6.596,1.117,1.997,0.708,2.308,-1.894,4.462,-1.332,-0.199,4.781,-2.734,2.985,3.068,-4.419,-3.974,4.14,-1.724,0.212,2.858,4.131,-2.482,-2.824,1.051,1.318,-2.119,0.949,4.551,-0.45,1.507,-2.082,-6.47,-1.387,-0.199,5.416,0.151,0.833,-1.503,-5.735,-24.948,18.387,5.181,4.457,6.849,4.458,0.772,2.42,12.792,4.791,4.572,4.372,1.19,-0.655,6.746,1.46,1.841,3.003,1.235,2.854,-5.588,1.069,0.926,-5.223,6.012,-1.981,-1.264,-3.773
Quantum Tax Saving Fund - Direct Plan IDCW,6.574,1.139,1.997,0.708,2.308,-1.894,4.462,-1.332,-0.199,4.781,-2.734,2.985,3.068,-4.419,-3.974,4.14,-1.724,0.212,2.858,4.131,-2.482,-2.824,1.051,1.318,-2.119,0.949,4.551,-0.45,1.507,-2.082,-6.47,-1.387,-0.199,5.416,0.151,0.833,-1.503,-5.735,-24.948,18.387,5.18,4.432,6.849,4.458,0.772,2.42,12.792,4.774,4.59,4.372,1.19,-0.655,6.746,1.46,1.841,3.003,1.235,2.867,-5.587,1.055,0.926,-5.223,6.012,-1.981,-1.277,-3.773
Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,0.004,0.002,-0.006,-0.002,0.003,0.01,Quantum Liquid Fund - Direct Plan Daily IDCW,0.031,-0.031,0.016,-0.016,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,0.035,0.003,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,-0.013,-0.002,-0.019,0.022,-0.022,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,0.002,0.009,-0.011,Quantum Liquid Fund - Direct Plan Daily IDCW,0.008,-0.004,-0.004,Quantum Liquid Fund - Direct Plan Daily IDCW,0.001,Quantum Liquid Fund - Direct Plan Daily IDCW,0.014,-0.005,0.066,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,Quantum Liquid Fund - Direct Plan Daily IDCW,-0.051,0.005
Quantum Liquid Fund - Direct Plan Growth Option,0.508,0.449,0.522,0.465,0.505,0.476,0.494,0.497,0.471,0.487,0.473,0.493,0.498,0.46,0.588,0.48,0.508,0.545,0.528,0.55,0.537,0.565,0.563,0.577,0.553,0.493,0.616,0.485,0.6,0.499,0.526,0.473,0.432,0.442,0.407,0.4,0.396,0.392,0.433,0.315,0.285,0.272,0.233,0.27,0.252,0.265,0.257,0.244,0.231,0.253,0.262,0.251,0.26,0.27,0.271,0.287,0.239,0.262,0.282,0.285,0.274,0.276,0.318,0.282,0.291,0.375
Quantum Liquid Fund - Direct Plan Monthly IDCW,0.011,-0.08,0.06,-0.003,0.028,-0.065,0.037,-0.049,0.031,0.012,-0.045,0.047,0.003,-0.064,0.102,-0.044,0.008,0.001,-0.001,-0.027,0.052,-0.009,-0.023,0.023,Quantum Liquid Fund - Direct Plan Monthly IDCW,-0.06,0.109,-0.08,0.018,-0.005,0.02,-0.007,-0.013,0.011,-0.017,-0.012,-0.019,-0.004,0.097,-0.089,-0.006,0.022,-0.039,0.027,-0.006,-0.008,0.015,-0.021,0.017,-0.016,0.023,-0.024,0.02,-0.008,Quantum Liquid Fund - Direct Plan Monthly IDCW,0.022,-0.049,0.02,0.007,-0.004,0.011,-0.003,0.041,-0.031,0.057,-0.028
Quantum Dynamic Bond Fund - Direct Plan Growth Option,0.088,-2.415,1.56,0.294,2.185,1.795,1.096,0.64,-0.323,-0.388,0.079,-0.62,-0.909,-0.157,1.339,-0.94,0.009,0.573,0.699,0.229,0.499,0.638,0.928,0.626,0.335,1.01,1.54,-0.65,2.534,0.852,1.979,0.58,-0.174,0.595,0.603,0.693,0.764,1.6,0.54,1.762,0.413,0.648,0.255,1.012,-0.143,0.909,0.352,0.662,-0.448,-0.345,0.725,0.548,0.152,-0.005,0.382,0.686,0.626,-0.137,0.657,-0.078,-0.456,0.885,0.407,-0.154,-0.275,0.522
Quantum Dynamic Bond Fund - Direct Plan Monthly IDCW,-1.15,-2.415,1.56,0.293,1.456,0.302,-0.019,-0.213,-0.871,-0.455,-0.013,-0.619,-0.908,-0.155,1.34,-0.938,0.011,0.574,0.701,-0.454,0.501,0.216,0.151,-0.153,-0.27,0.284,0.841,-1.312,1.777,-0.46,1.077,-0.424,-0.67,-0.145,-0.009,0.206,-0.077,0.726,-0.229,0.694,-0.691,0.07,-0.302,0.482,-0.885,0.161,-0.391,0.151,-0.842,-0.735,0.075,-0.087,-0.259,-0.331,0.037,0.353,-0.024,-0.409,0.296,-0.394,-0.767,0.448,0.072,-0.546,-0.588,0.199
Quantum Gold Fund,4.442,1.842,-3.403,0.783,0.986,-1.507,1.444,3.745,-0.164,-0.918,-0.211,0.45,2.884,0.049,1.968,1.227,-0.015,-1.952,-2.143,1.743,1.49,4.507,-5.531,3.328,4.927,-0.906,-4.049,0.371,2.119,5.295,3.613,12.5,-5.713,2.532,-2.393,3.747,3.891,4.068,3.099,7.282,1.065,3.099,9.107,-2.003,-4.105,-0.424,-5.397,4.327,-1.9,-7.203,-1.998,4.167,5.091,-5.084,3.12,-1.64,-1.801,2.833,-0.255,Quantum Gold Fund,-1.122,6.438,0.737,-0.021,-1.166,3.671
