scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
Shriram Hybrid Equity Fund- Direct Growth,5.957,1.781,2.655,2.585,0.754,-0.531,4.114,-0.757,-1.094,3.535,-1.213,2.152,1.71,-2.625,-1.035,3.255,-1.183,0.201,3.617,2.283,-4.249,-2.454,2.472,1.03,-1.024,-0.461,5.689,-1.103,3.035,-1.31,-4.543,0.78,4.598,4.538,0.241,0.476,-0.467,-0.855,-16.599,9.948,2.74,5.482,4.087,2.972,-0.505,1.48,8.716,5.097,0.204,1.597,1.033,-0.558,4.076,1.184,0.875,5.404,1.878,0.673,Shriram Hybrid Equity Fund- Direct Growth,Shriram Hybrid Equity Fund- Direct Growth,-0.712,Shriram Hybrid Equity Fund- Direct Growth,5.013,-1.875,-2.135,-2.99
Shriram Hybrid Equity Fund- Direct- IDCW,5.941,1.768,2.639,2.572,0.738,-0.544,4.098,-0.774,-1.107,3.52,-1.228,2.137,1.694,-2.638,-1.049,3.24,-1.197,0.186,3.612,2.266,-4.264,-2.469,2.462,1.027,-1.027,-0.463,5.686,-1.104,3.033,-1.312,-4.545,0.778,4.596,4.536,0.239,0.474,-0.469,-0.857,-16.601,9.946,2.738,5.479,4.084,2.968,-0.508,1.477,8.713,5.093,0.201,1.594,1.03,-0.561,4.073,1.181,0.872,5.401,1.875,0.67,Shriram Hybrid Equity Fund- Direct- IDCW,Shriram Hybrid Equity Fund- Direct- IDCW,-0.715,Shriram Hybrid Equity Fund- Direct- IDCW,5.009,-1.877,-2.138,-2.993
Shriram Hybrid Equity Fund- Growth,5.903,1.733,2.602,2.54,0.702,-0.58,4.061,-0.811,-1.142,3.482,-1.265,2.096,1.655,-2.673,-1.083,3.204,-1.234,0.151,3.562,2.228,-4.297,-2.509,2.385,0.887,-1.175,-0.598,5.53,-1.232,2.91,-1.426,-4.666,0.661,4.478,4.404,0.127,0.352,-0.589,-0.955,-16.703,9.818,2.622,5.348,3.95,2.848,-0.632,1.356,8.589,4.962,0.076,1.48,0.904,-0.678,3.951,1.057,0.754,5.273,1.752,0.545,Shriram Hybrid Equity Fund- Growth,Shriram Hybrid Equity Fund- Growth,-0.831,Shriram Hybrid Equity Fund- Growth,4.883,-1.988,-2.256,-3.11
Shriram Hybrid Equity Fund- Regular-IDCW,4.638,1.672,2.441,2.689,0.615,-0.984,3.746,-1.266,-1.373,2.901,-0.718,2.543,1.665,-2.132,-0.802,2.782,-0.658,-0.797,3.387,1.893,-4.525,-2.507,2.385,0.887,-1.174,-0.597,5.529,-1.232,2.91,-1.425,-4.665,0.661,4.478,4.404,0.126,0.353,-0.589,-0.957,-16.703,9.817,2.621,5.347,3.949,2.847,-0.632,1.356,8.588,4.963,0.076,1.481,0.903,-0.677,3.951,1.057,0.754,5.273,1.751,0.545,Shriram Hybrid Equity Fund- Regular-IDCW,Shriram Hybrid Equity Fund- Regular-IDCW,-0.831,Shriram Hybrid Equity Fund- Regular-IDCW,4.883,-1.988,-2.256,-3.11
Shriram Flexi Cap Fund - Direct Growth,Shriram Flexi Cap Fund - Direct Growth,Shriram Flexi Cap Fund - Direct Growth,Shriram Flexi Cap Fund - Direct Growth,Shriram Flexi Cap Fund - Direct Growth,Shriram Flexi Cap Fund - Direct Growth,Shriram Flexi Cap Fund - Direct Growth,Shriram Flexi Cap Fund - Direct Growth,Shriram Flexi Cap Fund - Direct Growth,Shriram Flexi Cap Fund - Direct Growth,Shriram Flexi Cap Fund - Direct Growth,Shriram Flexi Cap Fund - Direct Growth,Shriram Flexi Cap Fund - Direct Growth,Shriram Flexi Cap Fund - Direct Growth,Shriram Flexi Cap Fund - Direct Growth,Shriram Flexi Cap Fund - Direct Growth,Shriram Flexi Cap Fund - Direct Growth,Shriram Flexi Cap Fund - Direct Growth,Shriram Flexi Cap Fund - Direct Growth,Shriram Flexi Cap Fund - Direct Growth,Shriram Flexi Cap Fund - Direct Growth,Shriram Flexi Cap Fund - Direct Growth,1.064,2.088,0.728,-1.538,0.002,6.445,-0.461,3.127,-1.108,-8.026,0.957,5.536,5.752,-0.768,0.981,0.264,-1.968,-21.469,13.199,3.63,6.093,5.305,3.591,-0.467,1.297,10.201,6.179,-0.137,2.976,0.96,-1.841,5.362,1.636,2.027,5.127,2.217,4.157,Shriram Flexi Cap Fund - Direct Growth,Shriram Flexi Cap Fund - Direct Growth,0.284,Shriram Flexi Cap Fund - Direct Growth,4.476,-2.182,-2.416,-4.484
Shriram Flexi Cap Fund - Direct-IDCW,Shriram Flexi Cap Fund - Direct-IDCW,Shriram Flexi Cap Fund - Direct-IDCW,Shriram Flexi Cap Fund - Direct-IDCW,Shriram Flexi Cap Fund - Direct-IDCW,Shriram Flexi Cap Fund - Direct-IDCW,Shriram Flexi Cap Fund - Direct-IDCW,Shriram Flexi Cap Fund - Direct-IDCW,Shriram Flexi Cap Fund - Direct-IDCW,Shriram Flexi Cap Fund - Direct-IDCW,Shriram Flexi Cap Fund - Direct-IDCW,Shriram Flexi Cap Fund - Direct-IDCW,Shriram Flexi Cap Fund - Direct-IDCW,Shriram Flexi Cap Fund - Direct-IDCW,Shriram Flexi Cap Fund - Direct-IDCW,Shriram Flexi Cap Fund - Direct-IDCW,Shriram Flexi Cap Fund - Direct-IDCW,Shriram Flexi Cap Fund - Direct-IDCW,Shriram Flexi Cap Fund - Direct-IDCW,Shriram Flexi Cap Fund - Direct-IDCW,Shriram Flexi Cap Fund - Direct-IDCW,Shriram Flexi Cap Fund - Direct-IDCW,1.018,2.05,0.714,-1.549,-0.009,6.432,-0.467,3.12,-1.115,-8.032,0.951,5.525,5.743,-0.776,0.972,0.256,-1.975,-21.476,13.19,3.621,6.084,5.297,3.582,-0.475,1.287,10.193,6.169,-0.146,2.968,0.951,-1.85,5.353,1.627,2.018,5.118,2.208,4.148,Shriram Flexi Cap Fund - Direct-IDCW,Shriram Flexi Cap Fund - Direct-IDCW,0.276,Shriram Flexi Cap Fund - Direct-IDCW,4.467,-2.191,-2.425,-4.493
Shriram Flexi Cap Fund - Regular Growth,Shriram Flexi Cap Fund - Regular Growth,Shriram Flexi Cap Fund - Regular Growth,Shriram Flexi Cap Fund - Regular Growth,Shriram Flexi Cap Fund - Regular Growth,Shriram Flexi Cap Fund - Regular Growth,Shriram Flexi Cap Fund - Regular Growth,Shriram Flexi Cap Fund - Regular Growth,Shriram Flexi Cap Fund - Regular Growth,Shriram Flexi Cap Fund - Regular Growth,Shriram Flexi Cap Fund - Regular Growth,Shriram Flexi Cap Fund - Regular Growth,Shriram Flexi Cap Fund - Regular Growth,Shriram Flexi Cap Fund - Regular Growth,Shriram Flexi Cap Fund - Regular Growth,Shriram Flexi Cap Fund - Regular Growth,Shriram Flexi Cap Fund - Regular Growth,Shriram Flexi Cap Fund - Regular Growth,Shriram Flexi Cap Fund - Regular Growth,Shriram Flexi Cap Fund - Regular Growth,Shriram Flexi Cap Fund - Regular Growth,Shriram Flexi Cap Fund - Regular Growth,0.978,1.965,0.575,-1.696,-0.146,6.273,-0.616,2.971,-1.24,-8.173,0.809,5.387,5.586,-0.911,0.828,0.112,-2.091,-21.591,13.039,3.487,5.933,5.167,3.442,-0.614,1.152,10.044,6.019,-0.293,2.835,0.802,-1.986,5.21,1.484,1.879,4.971,2.063,3.995,Shriram Flexi Cap Fund - Regular Growth,Shriram Flexi Cap Fund - Regular Growth,0.139,Shriram Flexi Cap Fund - Regular Growth,4.322,-2.318,-2.562,-4.627
Shriram Flexi Cap Fund - Regular-IDCW,Shriram Flexi Cap Fund - Regular-IDCW,Shriram Flexi Cap Fund - Regular-IDCW,Shriram Flexi Cap Fund - Regular-IDCW,Shriram Flexi Cap Fund - Regular-IDCW,Shriram Flexi Cap Fund - Regular-IDCW,Shriram Flexi Cap Fund - Regular-IDCW,Shriram Flexi Cap Fund - Regular-IDCW,Shriram Flexi Cap Fund - Regular-IDCW,Shriram Flexi Cap Fund - Regular-IDCW,Shriram Flexi Cap Fund - Regular-IDCW,Shriram Flexi Cap Fund - Regular-IDCW,Shriram Flexi Cap Fund - Regular-IDCW,Shriram Flexi Cap Fund - Regular-IDCW,Shriram Flexi Cap Fund - Regular-IDCW,Shriram Flexi Cap Fund - Regular-IDCW,Shriram Flexi Cap Fund - Regular-IDCW,Shriram Flexi Cap Fund - Regular-IDCW,Shriram Flexi Cap Fund - Regular-IDCW,Shriram Flexi Cap Fund - Regular-IDCW,Shriram Flexi Cap Fund - Regular-IDCW,Shriram Flexi Cap Fund - Regular-IDCW,0.797,1.829,0.275,-1.945,-0.802,5.923,-0.55,3.152,-1.583,-7.167,0.087,6.387,5.61,-0.318,0.627,0.108,0.475,-19.98,10.843,1.562,4.994,4.998,2.768,-1.543,1.487,9.191,5.674,-4.133,1.612,-0.199,-0.416,5.465,1.51,1.33,4.828,2.451,2.251,Shriram Flexi Cap Fund - Regular-IDCW,Shriram Flexi Cap Fund - Regular-IDCW,-1.225,Shriram Flexi Cap Fund - Regular-IDCW,3.652,-1.575,-2.631,-4.448
Shriram Long Term Equity Fund - Direct Growth,Shriram Long Term Equity Fund - Direct Growth,Shriram Long Term Equity Fund - Direct Growth,Shriram Long Term Equity Fund - Direct Growth,Shriram Long Term Equity Fund - Direct Growth,Shriram Long Term Equity Fund - Direct Growth,Shriram Long Term Equity Fund - Direct Growth,Shriram Long Term Equity Fund - Direct Growth,Shriram Long Term Equity Fund - Direct Growth,Shriram Long Term Equity Fund - Direct Growth,Shriram Long Term Equity Fund - Direct Growth,Shriram Long Term Equity Fund - Direct Growth,Shriram Long Term Equity Fund - Direct Growth,Shriram Long Term Equity Fund - Direct Growth,Shriram Long Term Equity Fund - Direct Growth,Shriram Long Term Equity Fund - Direct Growth,Shriram Long Term Equity Fund - Direct Growth,Shriram Long Term Equity Fund - Direct Growth,Shriram Long Term Equity Fund - Direct Growth,Shriram Long Term Equity Fund - Direct Growth,Shriram Long Term Equity Fund - Direct Growth,Shriram Long Term Equity Fund - Direct Growth,Shriram Long Term Equity Fund - Direct Growth,Shriram Long Term Equity Fund - Direct Growth,Shriram Long Term Equity Fund - Direct Growth,Shriram Long Term Equity Fund - Direct Growth,-0.001,5.41,-0.129,1.954,-0.909,-6.272,3.109,5.34,5.886,-0.413,1.208,0.427,-1.233,-19.507,13.3,3.259,6.118,5.466,3.431,-0.261,1.282,9.628,5.433,-0.311,2.282,0.347,-1.101,3.704,3.014,1.302,6.755,3.159,2.542,Shriram Long Term Equity Fund - Direct Growth,Shriram Long Term Equity Fund - Direct Growth,-0.171,Shriram Long Term Equity Fund - Direct Growth,5.12,-1.518,-2.551,-4.267
Shriram Long Term Equity Fund - Direct- IDCW,Shriram Long Term Equity Fund - Direct- IDCW,Shriram Long Term Equity Fund - Direct- IDCW,Shriram Long Term Equity Fund - Direct- IDCW,Shriram Long Term Equity Fund - Direct- IDCW,Shriram Long Term Equity Fund - Direct- IDCW,Shriram Long Term Equity Fund - Direct- IDCW,Shriram Long Term Equity Fund - Direct- IDCW,Shriram Long Term Equity Fund - Direct- IDCW,Shriram Long Term Equity Fund - Direct- IDCW,Shriram Long Term Equity Fund - Direct- IDCW,Shriram Long Term Equity Fund - Direct- IDCW,Shriram Long Term Equity Fund - Direct- IDCW,Shriram Long Term Equity Fund - Direct- IDCW,Shriram Long Term Equity Fund - Direct- IDCW,Shriram Long Term Equity Fund - Direct- IDCW,Shriram Long Term Equity Fund - Direct- IDCW,Shriram Long Term Equity Fund - Direct- IDCW,Shriram Long Term Equity Fund - Direct- IDCW,Shriram Long Term Equity Fund - Direct- IDCW,Shriram Long Term Equity Fund - Direct- IDCW,Shriram Long Term Equity Fund - Direct- IDCW,Shriram Long Term Equity Fund - Direct- IDCW,Shriram Long Term Equity Fund - Direct- IDCW,Shriram Long Term Equity Fund - Direct- IDCW,Shriram Long Term Equity Fund - Direct- IDCW,-0.013,5.395,-0.141,1.942,-0.915,-6.284,3.098,5.33,5.875,-0.423,1.198,0.417,-1.241,-19.516,13.29,3.25,6.109,5.455,3.423,-0.267,1.273,9.618,5.424,-0.319,2.275,0.339,-1.109,3.696,3.006,1.294,6.747,3.151,2.534,Shriram Long Term Equity Fund - Direct- IDCW,Shriram Long Term Equity Fund - Direct- IDCW,-0.177,Shriram Long Term Equity Fund - Direct- IDCW,5.113,-1.524,-2.557,-4.274
