scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth,Taurus Investor Education Pool - Unclaimed Dividend - Growth
Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth,Taurus Investor Education Pool - Unclaimed Redemption - Growth
Taurus Unclaimed Dividend - Growth,0.483,0.443,0.453,0.409,0.474,0.469,0.472,0.476,0.426,0.45,0.447,0.411,0.474,0.417,0.412,0.38,0.469,0.44,0.491,0.488,0.463,0.516,0.493,0.5,0.54,0.472,0.516,0.479,0.459,0.422,0.475,0.413,0.391,0.411,0.367,0.38,0.371,0.351,0.278,0.185,0.212,0.223,0.25,0.23,0.245,0.24,0.168,0.177,0.242,0.156,0.213,0.259,0.188,0.195,0.265,0.187,0.158,0.284,0.172,0.201,0.302,0.174,0.199,0.329,0.204,0.271
Taurus Unclaimed Redemption - Growth,0.483,0.443,0.453,0.409,0.474,0.468,0.473,0.475,0.426,0.451,0.447,0.41,0.474,0.417,0.412,0.379,0.469,0.44,0.491,0.488,0.463,0.516,0.493,0.5,0.539,0.472,0.516,0.479,0.459,0.422,0.474,0.413,0.391,0.41,0.362,0.38,0.39,0.35,0.277,0.185,0.211,0.224,0.249,0.23,0.246,0.241,0.168,0.178,0.242,0.156,0.212,0.259,0.188,0.195,0.265,0.187,0.158,0.284,0.171,0.201,0.302,0.174,0.198,0.33,0.205,0.27
Taurus Largecap Equity Fund - Direct Plan - Growth,7.016,1.922,2.12,1.636,2.207,-1.53,4.07,-0.277,-2.496,4.581,-2.839,4.138,0.241,-5.129,-3.324,4.658,-3.2,0.352,5.448,3.958,-4.665,-5.495,4.54,-0.438,-0.426,-1.365,6.118,0.601,1.326,-1.144,-6.89,0.878,5.663,3.28,0.763,1.368,-3.706,-2.97,-24.192,16.487,3.732,4.368,6.691,3.155,0.918,2.121,9.094,6.667,1.377,1.774,0.527,-0.953,6.994,0.856,1.468,4.188,1.565,2.352,-4.75,0.322,1.07,-5.183,7.274,-0.603,-5.161,-6.97
Taurus Largecap Equity Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option,7.021,1.914,-25.265,1.631,2.195,-1.528,-6.44,-0.27,-2.495,4.59,-26.795,4.144,-7.613,-5.139,-3.329,4.632,-3.211,0.369,5.439,3.964,-4.666,-5.607,4.525,-0.422,-0.423,-1.367,6.129,0.58,1.332,-1.129,-6.908,0.889,5.671,3.284,0.767,1.356,-3.679,-2.98,-24.183,16.482,3.738,4.358,6.708,3.145,0.936,2.124,9.091,6.667,1.386,1.765,0.513,-0.948,6.998,0.869,1.451,4.166,1.574,2.346,-4.747,0.322,1.077,-5.204,7.3,-0.622,-5.156,-6.961
Taurus Largecap Equity Fund - Regular Plan - Growth,6.976,1.881,2.058,1.591,2.127,-1.587,3.995,-0.328,-2.565,4.525,-2.899,4.086,0.172,-5.186,-3.368,4.604,-3.258,0.297,5.396,3.897,-4.723,-5.574,4.482,-0.487,-0.461,-1.362,6.106,0.59,1.325,-1.161,-6.917,0.865,5.633,3.256,0.736,1.347,-3.742,-2.99,-24.202,16.468,3.729,4.359,6.677,3.148,0.924,2.108,9.1,6.658,1.368,1.764,0.521,-0.958,6.981,0.849,1.462,4.175,1.56,2.343,-4.749,0.309,1.059,-5.191,7.264,-0.607,-5.168,-6.979
Taurus Largecap Equity Fund - Regular Plan - Payout of Income Distribution cum Capital Withdrawal option,6.985,1.879,-25.957,1.567,2.148,-1.587,-6.768,-0.342,-2.571,4.537,-27.603,4.035,-8.061,-5.152,-3.367,4.606,-3.249,0.291,5.399,3.896,-4.707,-5.564,4.469,-0.476,-0.447,-1.378,6.108,0.582,1.314,-1.161,-6.9,0.841,5.661,3.252,0.72,1.313,-3.712,-2.999,-24.216,16.52,3.729,4.357,6.681,3.164,0.927,2.089,9.097,6.659,1.387,1.763,0.517,-0.952,6.995,0.847,1.465,4.177,1.554,2.351,-4.768,0.319,1.029,-5.183,7.264,-0.616,-5.154,-6.981
Taurus Discovery (Midcap) Fund - Direct Plan - Growth,9.273,2.763,3.704,6.181,-1.561,-0.372,4.352,1.06,-1.306,6.538,-0.353,4.32,Taurus Discovery (Midcap) Fund - Direct Plan - Growth,-1.423,-1.573,4.844,-4.323,-1.157,4.594,3.077,-10.776,-1.874,1.485,2.39,-3.875,-1.226,7.709,-2.77,1.578,-1.982,-9.95,1.463,6.522,5.319,0.808,0.963,3.659,0.193,-23.15,15.202,3.434,5.041,5.145,5.627,2.911,-1.445,11.05,4.948,0.21,10.213,1.587,1.187,4.746,4.868,3.775,-1.333,4.296,1.774,-4.225,0.412,0.131,-7.548,8.036,1.176,-7.56,-5.036
Taurus Discovery (Midcap) Fund - Direct Plan - Payout of Income Distribution cum Capital Withdrawal option,9.255,2.792,3.673,6.189,-1.564,-0.362,4.343,1.06,-1.312,6.536,-0.373,4.338,-0.024,-1.41,-1.552,4.843,-4.324,-1.155,4.62,2.96,-10.767,-1.876,1.487,2.378,-3.88,-1.221,7.688,-2.771,1.571,-1.981,-9.954,1.478,6.553,5.298,0.809,0.958,3.672,0.193,-23.116,15.191,3.473,5.02,5.144,5.648,2.906,-1.468,11.037,4.97,0.197,10.219,1.59,1.178,4.737,4.87,3.778,-1.335,4.304,1.764,-4.226,0.419,0.132,-7.541,8.045,1.177,-7.561,-5.037
