scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022
UTI - CRTS 81 - Dividend Option,2.281,0.655,1.303,0.618,0.925,0.7,-2.678,0.345,-0.48,2.016,-0.152,-3.296,0.535,-1.087,0.424,0.702,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option,UTI - CRTS 81 - Dividend Option
UTI - CRTS 81 - Dividend Option- Direct,2.335,0.708,1.357,0.668,0.976,0.753,-2.532,0.408,-0.425,2.075,-0.093,-3.134,0.598,-1.021,0.485,0.737,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct,UTI - CRTS 81 - Dividend Option- Direct
UTI - CRTS 81 - Growth Option,2.281,0.655,1.303,0.618,0.925,0.7,1.571,0.345,-0.48,2.016,-0.152,0.997,0.535,-1.087,0.424,0.702,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option,UTI - CRTS 81 - Growth Option
UTI - CRTS 81 - Growth Option- Direct,2.335,0.708,1.357,0.668,0.976,0.753,1.628,0.408,-0.425,2.075,-0.093,1.052,0.598,-1.021,0.485,0.737,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct,UTI - CRTS 81 - Growth Option- Direct
UTI - MIS-Growth,1.524,-0.806,1.518,0.532,1.137,0.806,1.815,0.555,-0.189,1.025,-0.283,0.209,0.155,-0.927,1.072,-0.538,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth,UTI - MIS-Growth
UTI - MIS-Growth-Direct,1.56,-0.769,1.559,0.566,1.179,0.846,1.855,0.596,-0.152,1.063,-0.245,0.246,0.196,-0.89,1.109,-0.506,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct,UTI - MIS-Growth-Direct
UTI - MIS-Income,0.871,-1.454,0.861,0.533,0.486,0.158,1.167,-0.085,-0.829,0.381,-0.284,-0.44,-0.497,-1.582,0.407,-0.538,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income,UTI - MIS-Income
UTI - MIS-Income-Direct,0.925,-1.4,0.921,0.566,0.547,0.217,1.227,-0.024,-0.772,0.44,-0.245,-0.382,-0.434,-1.522,0.467,-0.506,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct,UTI - MIS-Income-Direct
UTI Smart Woman Savings Plan - Dividend Option,2.321,1.028,1.832,0.551,0.484,0.877,2.133,0.247,0.093,0.724,0.273,0.736,-0.005,-1.051,0.994,0.745,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option,UTI Smart Woman Savings Plan - Dividend Option
UTI Smart Woman Savings Plan - Dividend Option- Direct,2.353,1.059,1.871,0.58,0.522,0.912,2.177,0.298,0.138,0.771,0.326,0.785,0.045,-0.989,1.053,0.778,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct,UTI Smart Woman Savings Plan - Dividend Option- Direct
