scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
Baroda BNP Paribas MULTI CAP FUND - Direct Plan - Growth Option,8.066,2.879,3.599,4.36,0.518,-1.637,4.26,0.07,-0.586,5.274,-1.453,4.356,-1.009,-4.355,-2.122,4.897,-3.112,-2.326,5.476,2.899,-9.645,-3.333,2.652,1.213,0.533,-0.571,6.855,-0.326,3.432,-1.293,-7.558,0.836,4.282,4.886,-0.132,1.2,1.195,-2.137,-23.86,14.88,4.671,3.967,6.72,5.552,-0.333,1.355,13.54,6.036,1.139,8.286,0.537,0.549,5.555,4.05,5.95,3.208,5.328,4.456,-3.595,4.441,-1.794,-6.964,8.272,-4.822,-5.475,-4.489,1.353,30.799,5.55,0.844
Baroda BNP Paribas MULTI CAP FUND - Direct Plan - IDCW Option,8.066,2.884,-3.757,4.335,0.514,-1.618,4.258,0.082,-0.603,5.285,-1.456,4.355,-1.012,-4.343,-11.512,4.898,-3.134,-2.315,5.484,2.889,-9.635,-3.346,2.653,1.201,0.562,-0.59,-2.187,-0.319,3.424,-1.302,-7.535,0.815,4.287,4.9,-0.125,1.196,1.213,-2.124,-32.843,14.905,4.704,3.952,6.723,5.572,-0.359,1.369,13.556,6.047,1.14,8.268,-7.076,0.546,5.487,4.037,5.964,3.211,5.326,4.453,-3.599,4.444,-1.812,-6.951,4.507,-5.325,-5.946,-4.963,0.632,41.687,6.457,0.339
Baroda BNP Paribas MULTI CAP FUND - Regular Plan - Growth Option,7.979,2.787,3.483,4.286,0.43,-1.712,4.172,-0.021,-0.662,5.178,-1.526,4.279,-1.083,-4.439,-2.211,4.823,-3.184,-2.4,5.394,2.808,-9.719,-3.434,2.538,1.116,0.454,-0.646,6.786,-0.365,3.378,-1.36,-7.604,0.768,4.229,4.791,-0.2,1.136,1.133,-2.187,-23.92,14.826,4.617,3.907,6.66,5.485,-0.397,1.298,13.467,5.961,1.055,8.222,0.456,0.492,5.487,3.989,5.88,3.124,5.25,4.373,-3.675,4.368,-1.863,-7.024,8.192,-4.89,-5.554,-4.574,1.279,30.786,5.548,0.799
Baroda BNP Paribas MULTI CAP FUND - Regular Plan - IDCW Option,7.989,2.778,-3.755,4.267,0.422,-1.708,4.146,1.734,-0.677,5.175,-1.52,4.264,-1.079,-4.438,-11.545,4.809,-3.175,-2.393,5.404,2.794,-9.701,-3.435,2.523,1.108,0.469,-0.654,-2.289,-0.353,3.376,-1.371,-7.612,0.786,4.214,4.806,-0.19,1.144,1.131,-2.21,-32.967,14.817,4.594,3.927,6.623,5.508,-0.402,1.283,13.441,5.972,1.044,8.233,-7.334,0.5,5.474,3.997,5.871,3.119,5.25,4.391,-3.678,4.367,-1.866,-7.029,5.058,-5.387,-6.037,-5.035,0.59,41.826,6.467,0.316
Baroda BNP Paribas Banking and Financial Services Fund - Direct - Growth Option,11.805,4.478,3.968,5.482,-0.674,-1.453,7.636,-2.956,-2.577,4.458,-1.56,0.839,4.993,-6.737,-1.464,5.344,2.319,-2.0,5.15,2.297,-11.016,-0.145,5.403,2.474,-1.386,-0.725,11.187,-0.37,5.989,1.045,-8.311,-1.88,7.395,4.536,4.921,2.113,-1.742,-1.251,-34.03,14.437,0.724,9.011,-0.101,10.202,-4.182,5.199,17.666,5.17,4.188,6.781,-2.946,-4.621,6.55,-1.47,0.102,5.674,1.47,6.047,-9.207,-2.224,4.501,-6.149,4.359,-2.864,-1.421,-5.022,1.294,49.016,7.001,0.64
Baroda BNP Paribas Banking and Financial Services Fund - Direct - IDCW Option,11.827,4.516,-4.719,5.536,-0.677,-1.476,7.631,-2.985,-2.582,4.438,-1.56,0.82,4.986,-6.763,-11.185,5.338,2.367,-2.023,5.16,2.312,-11.037,-0.188,5.399,2.504,-1.338,-0.767,-0.178,-0.357,5.988,1.01,-8.273,-1.937,7.44,4.519,4.941,2.149,-1.736,-1.264,-34.007,14.371,0.726,8.974,-0.074,10.21,-4.155,5.188,17.636,5.219,4.169,6.738,-10.204,-4.598,6.525,-1.466,0.106,5.661,1.452,6.071,-9.214,-2.204,4.497,-6.161,-2.081,-2.864,-1.421,-5.022,0.635,51.573,7.181,0.306
Baroda BNP Paribas Banking and Financial Services Fund - Regular - Growth Option,11.742,4.455,3.827,5.41,-0.747,-1.556,7.563,-3.02,-2.628,4.382,-1.574,0.727,4.957,-6.786,-1.525,5.274,2.277,-2.087,5.093,2.219,-11.071,-0.202,5.303,2.448,-1.406,-0.808,11.164,-0.431,5.944,0.976,-8.337,-1.977,7.326,4.437,4.902,2.073,-1.801,-1.322,-34.043,14.33,0.648,8.953,-0.161,10.154,-4.235,5.099,17.56,5.088,4.105,6.696,-3.033,-4.639,6.494,-1.534,0.036,5.596,1.402,5.968,-9.259,-2.314,4.409,-6.2,4.296,-2.918,-1.493,-5.098,1.229,48.895,6.992,0.609
Baroda BNP Paribas Banking and Financial Services Fund - Regular - IDCW Option,11.728,4.42,-5.056,5.439,-0.762,-1.536,7.522,-2.998,-2.633,4.394,-1.627,0.799,4.924,-6.796,-11.69,5.287,2.24,-2.069,5.122,2.198,-11.111,-0.198,5.368,2.456,-1.475,-0.749,-0.88,-0.444,5.935,1.017,-8.353,-2.004,7.345,4.457,4.868,2.071,-1.804,-1.355,-34.076,14.429,0.693,8.95,-0.158,10.178,-4.252,5.13,17.606,5.09,4.103,6.678,-10.877,-4.663,6.505,-1.541,2.033,5.607,1.423,5.936,-9.272,-2.302,4.426,-6.223,-2.145,-2.919,-1.493,-5.098,0.573,52.104,7.218,0.275
Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - GROWTH OPTION,0.566,0.514,0.566,0.52,0.559,0.525,0.549,0.551,0.494,0.527,0.508,0.526,0.562,0.516,0.685,0.545,0.589,0.63,0.635,0.594,0.575,0.653,0.609,0.63,0.609,0.537,0.664,0.588,0.612,0.56,0.562,0.507,0.483,0.491,0.44,0.45,0.437,0.417,0.666,0.402,0.34,0.28,0.253,0.286,0.272,0.28,0.26,0.257,0.253,0.256,0.302,0.274,0.278,0.286,0.295,0.292,0.259,0.275,0.3,0.306,0.303,0.278,0.33,0.306,0.332,0.406,0.449,0.02,0.141,11.031
Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - WEEKLY IDCW OPTION,-0.073,0.005,0.051,0.002,-0.074,0.001,-0.07,-0.376,0.002,-0.087,0.017,0.015,-0.064,0.001,0.145,-0.031,-0.1,0.059,-0.089,0.026,0.025,-0.08,0.024,-0.079,0.025,-0.014,0.124,-0.161,0.072,-0.023,-0.061,0.032,-0.071,0.041,0.027,-0.062,0.041,0.009,-0.009,0.025,-0.009,-0.038,-0.021,-0.036,0.024,0.024,0.02,-0.041,0.028,0.001,-0.038,0.025,-0.04,0.024,0.024,-0.034,0.012,0.025,-0.043,0.037,-0.045,-0.001,0.044,0.005,-0.033,0.04,-0.012,0.005,0.069,-0.602
