scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
JM Large Cap Fund (Direct) - Annual IDCW,5.391,2.298,2.178,0.632,2.704,-0.515,4.083,-0.989,-1.631,4.185,-2.994,2.361,4.449,-3.886,-2.027,2.307,0.256,0.277,2.776,1.302,-1.927,-2.185,1.931,-0.101,-0.275,-0.223,2.859,0.614,1.191,-1.265,-2.631,0.481,2.218,2.013,0.659,0.574,-0.534,-1.431,-10.467,7.913,3.766,4.026,4.522,3.408,-0.198,1.489,8.175,4.649,1.333,2.15,0.287,-0.85,4.773,1.688,2.986,4.23,2.803,3.832,-3.543,1.85,-0.523,-6.153,7.313,-3.883,-2.945,-3.752,0.97,10.574,3.252,1.033
JM Large Cap Fund (Direct) - Growth Option,5.303,2.247,2.154,0.633,2.705,-0.515,4.084,-0.989,-1.631,4.185,-2.991,2.362,4.45,-3.885,-2.077,2.309,0.258,0.28,2.779,1.304,-1.929,-2.182,1.932,0.255,-0.273,-0.221,2.861,0.614,1.19,-1.266,-2.632,0.48,2.216,2.011,0.658,0.574,-0.535,-1.432,-10.467,7.913,3.765,4.025,4.521,3.408,-0.198,1.489,8.175,4.649,1.333,2.15,0.287,-0.85,4.773,1.688,2.986,4.23,2.803,3.832,-3.543,1.85,-0.523,-6.153,7.313,-3.883,-2.945,-3.752,0.972,10.554,3.249,1.036
JM Large Cap Fund (Direct) - Half Yearly IDCW ,5.289,2.239,2.151,0.632,2.705,-0.515,4.084,-0.989,-1.631,4.185,-2.991,2.362,4.45,-3.885,-2.026,2.308,0.258,0.28,2.779,1.304,-1.926,-2.182,1.932,-0.102,-0.273,-0.221,2.861,0.614,1.19,-1.266,-2.632,0.48,2.217,2.011,0.658,0.574,-0.535,-1.432,-10.467,7.912,3.766,4.025,4.521,3.408,-0.198,1.489,8.175,4.649,1.333,2.151,0.287,-0.85,4.773,1.688,2.986,4.23,2.803,3.832,-3.543,1.85,-0.523,-6.153,7.313,-3.883,-2.945,-3.752,0.967,10.556,3.249,1.031
JM Large Cap Fund (Direct) - IDCW,5.196,2.185,2.127,0.633,2.704,-0.515,4.084,-0.989,-1.631,4.185,-2.991,2.362,4.45,-3.885,-2.027,2.308,0.258,0.28,2.779,1.304,-1.926,-2.182,1.932,-0.108,-0.273,-0.221,2.861,0.614,1.19,-1.266,-2.632,0.48,2.217,2.011,0.658,0.573,-0.534,-1.432,-10.468,7.913,3.766,4.025,4.521,3.408,-0.198,1.489,8.175,4.649,1.333,2.15,0.287,-0.85,4.773,1.688,2.986,4.23,2.803,3.832,-3.543,1.85,-0.523,-6.153,7.313,-3.883,-2.945,-3.752,0.964,10.542,3.247,1.028
JM Large Cap Fund (Direct) - Monthly IDCW ,5.391,2.298,2.178,0.632,2.704,-0.515,4.083,-0.989,-1.631,4.185,-2.994,2.361,4.45,-3.885,-2.059,2.307,0.256,0.278,2.778,1.302,-1.927,-2.184,1.931,-0.101,-0.275,-0.222,1.968,0.615,1.19,-1.265,-2.632,0.479,2.216,2.011,0.658,0.574,-0.535,-1.432,-10.467,7.912,3.765,4.026,4.521,3.408,-0.198,1.489,8.175,4.649,1.333,2.15,0.287,-0.85,4.773,1.688,2.986,4.23,2.803,3.832,-3.543,1.85,-0.523,-6.153,7.313,-3.883,-2.945,-3.752,0.956,10.537,3.246,1.02
JM Large Cap Fund (Direct) - Quarterly IDCW,5.391,2.298,2.178,0.632,2.704,-0.515,4.083,-0.989,-1.631,4.186,-2.99,2.362,4.45,-3.885,-2.026,2.308,0.258,0.28,2.779,1.304,-1.926,-2.182,1.932,-0.099,-0.273,-0.221,2.861,0.614,1.19,-1.266,-2.632,0.48,2.217,2.011,0.658,0.574,-0.535,-1.432,-10.467,7.912,3.766,4.025,4.521,3.408,-0.198,1.489,8.175,4.649,1.333,2.15,0.287,-0.85,4.773,1.688,2.986,4.23,2.803,3.832,-3.543,1.85,-0.523,-6.153,7.313,-3.883,-2.945,-3.752,0.97,10.573,3.252,1.033
JM Large Cap Fund (Regular) - Annual IDCW,5.376,2.231,2.041,0.562,2.674,-0.556,4.041,-1.033,-1.689,4.148,-3.04,2.322,4.359,-4.003,-2.171,2.15,0.136,0.203,2.694,1.221,-2.001,-2.265,1.851,0.174,-0.357,-0.298,-42.762,0.535,1.11,-1.341,-2.715,0.4,2.138,1.925,0.598,0.509,-0.599,-1.498,-23.306,7.818,3.678,3.931,4.426,3.317,-0.288,1.4,8.08,4.551,1.238,2.064,0.194,-0.936,4.681,1.596,2.896,4.136,2.71,3.735,-3.63,1.763,-0.605,-6.207,7.276,-3.944,-3.011,-3.809,0.012,46.029,6.784,0.006
JM Large Cap Fund (Regular) - Growth Option,5.179,2.115,1.989,0.562,2.674,-0.559,4.041,-1.033,-1.689,4.147,-3.04,2.322,4.359,-4.003,-2.171,2.15,0.136,0.203,2.694,1.221,-2.001,-2.265,1.851,0.174,-0.357,-0.298,2.774,0.535,1.11,-1.341,-2.715,0.4,2.138,1.925,0.598,0.509,-0.598,-1.498,-10.548,7.818,3.678,3.931,4.427,3.318,-0.288,1.4,8.081,4.551,1.239,2.064,0.194,-0.936,4.681,1.596,2.896,4.136,2.71,3.735,-3.63,1.763,-0.604,-6.208,7.275,-3.944,-3.011,-3.81,0.89,10.524,3.244,0.95
JM Large Cap Fund (Regular) - Half Yearly IDCW,5.179,2.115,-23.44,0.561,2.674,-0.56,4.041,-1.032,-1.689,4.147,-3.04,2.322,4.358,-4.002,-10.756,2.15,0.136,0.203,2.695,1.221,-2.001,-2.265,1.851,-0.767,-0.357,-0.297,2.773,0.534,1.11,-1.341,-2.715,0.401,2.139,1.925,0.598,0.509,-0.598,-1.498,-10.548,7.819,3.678,3.931,4.426,3.318,-0.288,1.4,8.081,4.551,1.238,2.065,0.193,-0.936,4.681,1.597,2.896,4.137,2.71,3.735,-3.63,1.763,-0.605,-6.207,7.275,-3.944,-3.011,-3.81,0.361,21.304,4.616,0.271
JM Large Cap Fund (Regular) - IDCW ,5.179,2.115,1.989,0.561,2.674,-0.559,4.041,-1.032,-1.689,4.147,-3.04,2.322,4.359,-4.003,-2.17,2.151,0.137,0.203,2.695,1.22,-2.001,-2.266,1.851,-0.208,-0.357,-0.298,2.774,0.535,1.11,-1.341,-2.715,0.4,2.138,1.925,-16.876,0.509,-0.598,-1.498,-48.174,7.818,3.678,3.931,4.427,3.318,-0.288,1.4,8.081,4.551,1.239,2.064,0.194,-0.936,4.681,1.596,2.896,4.136,2.71,3.735,-3.63,1.763,-0.605,-6.208,7.275,-3.944,-3.011,-3.81,0.05,49.694,7.049,0.025
