scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
Kotak Bluechip Fund - Growth,6.595,2.74,2.483,2.102,2.269,-0.59,3.764,-1.131,-1.836,5.153,-1.896,3.629,3.474,-5.285,-2.512,4.193,-0.77,-1.103,7.13,2.336,-7.209,-5.175,4.546,1.092,-1.127,0.346,6.808,0.435,2.187,-1.731,-7.061,1.434,6.403,4.831,1.737,1.257,-0.202,-3.911,-25.025,17.188,5.192,6.445,6.478,4.351,0.999,1.585,11.283,6.436,2.259,4.027,1.194,-1.551,6.18,2.794,1.489,6.011,2.074,2.202,-3.825,1.144,-0.641,-5.81,5.997,-3.014,-2.278,-4.216,1.278,29.168,5.401,0.82
Kotak Bluechip Fund - Growth - Direct,6.719,2.848,2.567,2.201,2.367,-0.497,3.88,-1.023,-1.738,5.261,-1.776,3.76,3.584,-5.198,-2.415,4.295,-0.671,-1.022,7.225,2.428,-7.132,-5.089,4.636,1.177,-1.039,0.427,6.908,0.532,2.276,-1.651,-6.972,1.52,6.486,4.922,1.815,1.345,-0.117,-3.842,-24.941,17.295,5.285,6.543,6.577,4.447,1.093,1.677,11.384,6.54,2.363,4.124,1.3,-1.456,6.28,2.895,1.587,6.116,2.173,2.31,-3.726,1.251,-0.544,-5.72,6.104,-2.921,-2.173,-4.117,1.375,29.215,5.405,0.881
Kotak Bluechip Fund - Payout of Income Distribution cum capital withdrawal option - Direct,6.72,2.847,2.566,2.201,2.367,-4.304,3.877,-1.022,-1.737,5.262,-1.776,0.904,3.584,-5.196,-11.677,4.297,-0.67,-1.023,7.227,2.427,-7.135,-5.089,4.638,-1.814,-1.039,0.427,6.909,0.531,2.274,-1.651,-6.973,1.519,6.501,4.923,1.816,-6.596,-0.117,-3.84,-24.942,17.297,5.286,6.545,6.578,4.448,1.092,1.676,11.384,2.364,2.364,4.123,1.3,-1.456,6.281,2.894,1.587,6.117,2.173,2.311,-3.726,1.251,-0.543,-5.72,6.102,-2.92,-2.173,-4.118,0.905,32.492,5.7,0.55
Kotak Bluechip Fund - Payout of Income Distribution cumcapital withdrawal option,6.596,2.738,2.484,2.103,2.269,-4.613,3.763,-1.132,-1.834,5.152,-1.896,-0.376,3.475,-5.287,-12.449,4.193,-0.77,-1.103,7.129,2.337,-7.21,-5.174,4.545,-1.895,-1.127,0.347,6.806,0.435,2.186,-1.73,-7.06,1.433,6.406,4.832,1.736,-6.679,-0.2,-3.913,-25.025,17.189,5.193,6.446,6.478,4.352,0.998,1.587,11.283,2.261,2.26,4.028,1.193,-1.553,6.18,2.793,1.489,6.01,2.075,2.203,-3.825,1.143,-0.642,-5.808,5.996,-3.012,-2.278,-4.214,0.778,32.763,5.724,0.471
Kotak Equity Opportunities Fund - Growth,7.836,1.819,4.029,3.716,1.212,-1.02,4.452,0.17,-2.322,5.185,-1.791,3.566,0.907,-4.607,-2.799,3.345,-1.758,-1.424,6.022,1.546,-7.47,-2.446,3.504,1.247,-1.494,0.431,7.662,0.182,2.511,-2.655,-6.572,1.068,5.0,4.702,2.409,1.37,3.851,-4.455,-25.512,16.266,5.203,6.059,5.025,3.767,1.688,1.026,13.063,4.637,1.57,6.138,2.214,-0.515,4.612,3.958,3.044,3.507,1.004,1.868,-3.689,2.2,0.874,-5.386,6.273,-1.432,-3.795,-4.194,1.309,28.702,5.357,0.846
Kotak Equity Opportunities Fund - Growth - Direct,7.943,1.92,4.131,3.815,1.32,-0.916,4.565,0.282,-2.218,5.306,-1.674,3.694,1.029,-4.513,-2.683,3.46,-1.65,-1.344,6.114,1.638,-7.394,-2.359,3.59,1.329,-1.413,0.509,7.764,0.271,2.597,-2.573,-6.486,1.151,5.076,4.787,2.484,1.454,3.935,-4.387,-25.42,16.363,5.297,6.162,5.127,3.866,1.785,1.12,13.166,4.739,1.674,6.24,2.324,-0.42,4.711,4.059,3.145,3.612,1.106,1.976,-3.592,2.304,0.972,-5.3,6.382,-1.34,-3.696,-4.096,1.406,28.734,5.36,0.909
Kotak Equity Opportunities Fund - Payout of Income Distribution cum capital withdrawal option,7.836,-1.277,4.029,3.715,-1.867,-1.021,4.451,-2.849,-2.321,5.187,-4.708,3.567,0.905,-7.504,-2.8,3.348,-4.713,-1.426,6.023,1.547,-10.251,-2.449,0.82,1.245,-1.493,-2.59,7.666,0.178,0.557,-2.656,-6.571,-0.963,5.0,4.701,0.309,1.368,3.85,-6.417,-25.512,16.263,3.124,6.058,5.025,1.74,1.688,1.026,10.918,4.639,1.569,4.015,2.215,-0.517,4.612,3.959,3.044,3.507,1.004,1.867,-3.688,2.198,0.874,-5.387,6.272,-1.431,-3.793,-4.195,0.659,30.519,5.524,0.413
Kotak Equity Opportunities Fund - Payout of Income Distribution cum capital withdrawal option - Direct,7.942,-1.046,4.128,3.815,-1.624,-0.916,4.565,-2.587,-2.217,5.309,-4.431,3.69,1.029,-7.237,-2.682,3.46,-4.587,-1.347,6.115,1.637,-10.149,-2.36,0.89,1.329,-1.413,-2.511,7.765,0.27,0.642,-2.572,-6.487,-0.88,5.079,4.786,0.383,1.454,3.934,-6.346,-25.433,16.364,3.216,6.159,5.127,1.839,1.785,1.118,11.019,4.74,1.673,4.117,2.325,-0.421,4.71,4.058,3.144,3.611,1.106,1.975,-3.592,2.304,0.972,-5.3,6.383,-1.342,-3.694,-4.096,0.768,30.45,5.518,0.482
Kotak Emerging Equity Scheme - Growth,8.334,4.027,5.083,3.101,-0.363,0.141,1.691,0.231,-0.438,6.505,1.74,4.295,-2.348,-2.685,-2.21,4.878,-4.182,-3.793,4.093,2.078,-11.504,-0.46,2.336,2.364,-3.481,1.442,6.981,-2.028,3.449,-0.825,-8.274,0.075,6.112,4.982,1.874,1.28,6.517,-3.54,-29.001,15.234,4.544,6.233,5.8,6.782,2.516,0.766,14.956,4.391,2.853,11.168,1.651,0.062,5.094,6.623,3.813,1.458,1.822,1.765,-0.568,1.718,-0.785,-5.439,5.456,0.652,-4.679,-4.779,1.479,36.174,6.014,0.852
Kotak Emerging Equity Scheme - Growth - Direct,8.479,4.142,5.178,3.207,-0.239,0.261,1.812,0.353,-0.341,6.605,1.846,4.404,-2.248,-2.599,-2.117,4.97,-4.09,-3.72,4.174,2.158,-11.436,-0.37,2.448,2.475,-3.376,1.544,7.115,-1.92,3.547,-0.726,-8.173,0.171,6.208,5.086,1.96,1.381,6.616,-3.457,-28.904,15.356,4.649,6.346,5.91,6.89,2.617,0.866,15.07,4.497,2.963,11.277,1.762,0.168,5.197,6.736,3.914,1.56,1.927,1.874,-0.469,1.823,-0.689,-5.351,5.571,0.748,-4.579,-4.68,1.581,36.242,6.02,0.91
