scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
PGIM India Large Cap Fund - Direct Plan - Dividend,7.024,2.655,2.343,1.897,2.832,-3.025,4.979,-1.405,-4.41,5.378,-2.992,0.363,4.338,-4.851,-10.605,4.927,-2.116,0.344,3.684,1.516,-6.5,-6.247,4.03,-2.545,1.812,-1.885,5.016,0.508,3.041,-0.682,-6.133,0.366,4.822,4.752,1.062,-0.526,-0.817,-3.409,-24.756,17.201,4.042,4.944,6.394,4.579,0.967,1.765,11.785,4.671,1.785,3.048,-1.661,2.371,6.402,0.505,0.309,5.822,1.726,-2.156,-4.155,1.772,-1.381,-6.548,3.522,-2.057,-2.592,-5.946,0.635,30.566,5.529,0.398
PGIM India Large Cap Fund - Direct Plan - Growth,7.01,2.687,3.424,1.865,2.847,-0.752,4.957,-1.376,-1.749,5.36,-3.009,3.084,4.333,-4.821,-3.402,4.92,-2.117,0.348,6.26,1.552,-4.11,-6.228,3.995,0.065,1.818,-1.85,7.716,0.495,3.046,-0.66,-6.167,0.391,4.849,4.756,1.05,1.092,-0.778,-3.409,-24.757,17.167,4.069,4.913,6.403,4.587,0.981,1.75,11.789,6.795,1.76,3.076,0.49,0.025,6.444,2.607,0.309,5.82,1.722,-0.152,-4.137,1.768,-1.383,-6.511,5.401,-2.063,-2.581,-4.155,1.206,28.48,5.337,0.783
PGIM India Large Cap Fund - Dividend,6.866,2.581,-2.141,1.741,2.721,-3.481,4.797,-1.475,-4.491,5.161,-3.119,0.317,4.156,-4.899,-10.462,4.807,-2.19,0.23,3.103,1.449,-6.992,-6.384,3.888,-3.146,1.656,-1.942,4.409,0.367,2.934,-3.706,-6.231,0.261,1.455,4.694,0.934,-1.482,-0.94,-3.484,-24.832,17.054,3.929,4.784,6.259,4.482,-1.072,1.626,11.639,4.733,1.602,2.984,-1.586,-0.111,6.302,0.577,0.209,5.713,1.607,-2.108,-4.258,1.687,-1.468,-6.626,3.393,-2.205,-2.703,-6.066,0.265,30.442,5.517,0.166
PGIM India Large Cap Fund - Growth,6.853,2.55,3.275,1.747,2.703,-0.871,4.815,-1.514,-1.879,5.212,-3.15,2.932,4.186,-4.937,-3.492,4.795,-2.241,0.227,6.119,1.419,-4.227,-6.346,3.863,-0.045,1.686,-1.934,7.627,0.393,2.942,-0.755,-6.242,0.301,4.747,4.645,0.95,0.977,-0.895,-3.485,-24.843,17.029,3.948,4.782,6.277,4.463,0.86,1.623,11.658,6.659,1.631,2.953,0.361,-0.098,6.315,2.482,0.185,5.688,1.597,-0.285,-4.252,1.65,-1.491,-6.615,5.273,-2.172,-2.701,-4.271,1.086,28.384,5.328,0.706
PGIM India Midcap Opportunities Fund - Direct Plan - Dividend Option - Payout,7.918,5.027,4.657,3.204,-0.416,-0.179,1.249,-1.703,-0.717,6.239,0.452,5.621,-3.3,-1.981,-3.425,6.861,-3.946,-2.195,2.142,2.891,-12.562,0.823,0.314,0.625,-2.919,0.064,3.069,-2.667,3.913,-2.698,-10.775,-0.212,6.83,5.787,0.382,2.61,7.01,0.176,-25.812,17.755,6.845,7.662,10.0,5.784,5.941,0.05,13.932,7.137,4.387,9.261,1.887,3.076,5.908,5.865,7.498,2.717,3.563,4.092,-3.13,5.066,-1.099,-7.607,5.191,-2.813,-1.638,-4.216,1.75,38.321,6.19,0.979
PGIM India Midcap Opportunities Fund - Direct Plan - Growth Option,7.859,5.036,4.681,3.278,-0.414,-0.156,1.296,-1.74,-0.677,6.276,0.492,5.632,-3.245,-1.917,-3.42,6.866,-3.902,-2.202,2.216,2.956,-12.548,0.825,0.382,0.651,-2.859,0.056,7.436,-2.634,3.9,-2.755,-10.756,-0.235,6.857,5.804,0.369,2.64,6.996,0.195,-25.808,17.756,6.784,7.667,10.02,5.809,5.926,0.041,13.887,7.143,4.377,9.29,1.889,3.071,5.933,5.839,7.514,2.735,3.557,4.083,-3.113,5.056,-1.093,-7.615,5.195,-2.819,-1.62,-4.229,1.826,38.736,6.224,1.016
PGIM India Midcap Opportunities Fund - Regular Plan - Dividend Option - Payout,7.808,4.974,2.439,3.121,-0.524,-2.237,1.139,-1.788,-2.832,6.09,0.391,3.509,-3.39,-2.079,-12.541,6.716,-4.028,-2.283,-0.303,2.816,-14.944,0.699,0.26,-2.076,-3.004,-0.091,4.467,-2.705,3.794,-5.44,-10.868,-0.307,6.764,5.653,0.185,2.403,6.859,0.086,-25.926,17.558,6.708,5.706,9.881,5.648,3.695,-0.076,13.809,4.933,4.193,9.146,-0.391,2.973,5.751,3.848,7.312,2.598,3.376,3.911,-3.267,4.917,-1.214,-7.743,-2.413,-2.93,-1.752,-4.386,0.979,41.61,6.451,0.526
PGIM India Midcap Opportunities Fund - Regular Plan - Growth Option,7.792,4.94,4.592,3.175,-0.475,-0.265,1.165,-1.832,-0.8,6.166,0.354,5.486,-3.387,-2.123,-3.532,6.687,-4.043,-2.284,2.04,2.768,-12.675,0.688,0.228,0.511,-2.994,-0.058,7.284,-2.77,3.825,-2.851,-10.853,-0.311,6.751,5.674,0.224,2.466,6.893,0.104,-25.901,17.548,6.696,7.507,9.875,5.646,5.767,-0.044,13.741,6.937,4.191,9.129,1.731,2.93,5.762,5.679,7.338,2.566,3.385,3.938,-3.287,4.909,-1.251,-7.713,5.057,-2.935,-1.749,-4.351,1.692,38.586,6.212,0.944
PGIM India ELSS Tax Saver Fund - Direct Plan - Dividend Option,7.985,3.609,-0.935,3.504,1.56,-1.698,3.429,-0.158,-3.478,4.642,-0.311,2.108,0.841,-4.094,-12.569,5.08,-1.624,-0.695,2.548,1.799,-7.614,-5.037,4.05,0.372,0.371,-1.477,3.28,3.142,3.005,-1.053,-7.092,0.382,4.937,4.889,-0.792,0.444,0.265,-3.902,-24.573,18.742,5.094,6.533,6.133,4.139,-1.536,1.376,12.781,5.906,2.261,5.306,-1.26,0.567,7.654,0.457,3.182,3.189,2.97,2.354,-1.38,2.682,1.457,-6.298,-0.475,-2.862,-3.891,-3.535,0.859,31.615,5.623,0.529
PGIM India ELSS Tax Saver Fund - Direct Plan - Growth Option,7.89,3.7,4.673,3.476,1.632,0.229,3.485,-0.073,-1.538,4.734,-0.282,4.108,0.884,-4.113,-2.672,5.125,-1.569,-0.693,4.765,1.873,-5.607,-4.962,4.044,0.355,0.424,-1.407,7.709,5.384,3.059,-1.024,-7.05,0.348,5.297,4.829,-0.704,0.452,0.257,-3.892,-24.552,18.739,5.068,6.508,6.183,4.098,-1.575,1.467,12.81,7.995,2.307,5.296,0.847,0.543,7.681,2.317,3.153,3.251,2.983,2.333,-1.376,2.71,1.494,-6.304,7.137,-2.839,-3.918,-3.507,1.576,30.071,5.484,0.996
PGIM India ELSS Tax Saver Fund - Regular Plan - Dividend Option,7.854,3.552,-1.115,3.457,1.412,-1.802,3.311,-0.24,-3.534,4.553,-0.475,1.989,0.78,-4.257,-9.378,5.013,-1.772,-0.859,2.437,1.699,-7.389,-5.077,3.916,0.185,0.276,-1.561,7.649,-0.173,2.875,-1.345,-7.155,0.183,4.198,4.655,-0.855,-1.295,0.175,-3.957,-24.67,18.625,4.956,6.401,6.114,4.034,-1.623,1.283,12.68,5.906,2.185,5.236,-1.191,0.426,7.525,0.523,3.058,3.137,2.92,2.246,-1.503,2.641,1.412,-6.403,-0.659,-2.954,-4.063,-3.583,0.797,30.893,5.558,0.497
PGIM India ELSS Tax Saver Fund - Regular Plan - Growth Option,7.854,3.552,4.631,3.429,1.493,0.155,3.377,-0.223,-1.637,4.59,-0.432,3.902,0.695,-4.213,-2.812,5.048,-1.825,-0.786,4.559,1.73,-5.742,-5.149,3.976,0.221,0.295,-1.542,7.532,-0.139,2.857,-1.142,-7.138,0.22,5.134,4.742,-0.878,0.273,0.136,-3.989,-24.615,18.562,4.97,6.449,6.058,4.012,-1.683,1.355,12.666,7.888,2.245,5.18,0.749,0.478,7.534,2.254,3.067,3.141,2.866,2.264,-1.49,2.593,1.372,-6.399,7.014,-2.968,-4.06,-3.608,1.373,29.832,5.462,0.871
PGIM India Liquid Fund - Direct Plan - Daily Dividend,,,,,,,,,,,,,,,,,,,,,,,,,,0.44,0.653,0.587,0.641,0.583,0.576,0.104,0.106,0.108,0.11,0.113,0.115,0.117,0.119,0.121,0.123,0.126,0.128,0.13,0.132,0.134,0.136,0.139,0.141,0.143,0.145,0.276,0.276,0.289,0.282,0.292,0.251,0.268,0.303,0.296,0.291,0.29,0.321,0.297,0.32,0.153,0.248,0.026,0.161,5.336
PGIM India Liquid Fund - Direct Plan - Growth,0.562,0.506,0.564,0.518,0.558,0.524,0.546,0.548,0.492,0.526,0.505,0.513,0.557,0.513,0.643,0.554,0.584,0.625,0.631,0.605,0.591,0.645,0.622,0.649,0.624,0.56,0.654,0.587,0.642,0.583,0.576,0.494,0.479,0.506,0.438,0.455,0.446,0.413,0.509,0.441,0.467,0.356,0.283,0.292,0.258,0.281,0.27,0.255,0.247,0.263,0.286,0.276,0.276,0.289,0.282,0.292,0.25,0.269,0.303,0.296,0.291,0.29,0.321,0.298,0.321,0.401,0.45,0.019,0.138,11.296
PGIM India Liquid Fund - Direct Plan - Monthly Dividend,0.041,-0.014,0.043,0.04,0.038,0.525,0.027,0.029,0.492,0.007,-0.014,-0.005,0.039,-0.006,0.124,0.037,0.067,0.108,0.115,0.089,0.076,0.13,0.108,0.135,0.111,0.047,0.141,0.075,0.13,0.073,0.066,-0.016,-0.032,0.06,-0.007,0.01,0.002,-0.031,0.064,-0.003,0.023,-0.088,-0.134,-0.043,-0.077,0.011,-0.002,-0.015,-0.023,-0.006,0.016,0.007,0.007,0.02,0.011,0.021,-0.021,-0.003,0.032,0.025,0.048,0.049,0.08,0.057,0.08,0.16,0.048,0.01,0.1,1.663
PGIM India Liquid Fund - Direct Plan - Weekly Dividend,0.046,0.018,0.031,0.015,0.055,0.022,0.033,0.069,-0.015,0.036,0.016,0.003,0.072,-0.016,-0.046,-0.029,0.067,-0.102,0.063,-0.085,0.043,0.065,-0.107,0.071,0.049,-0.003,-0.08,0.035,-0.073,0.039,0.076,-0.102,0.049,0.033,-0.086,0.049,-0.063,0.019,0.075,-0.095,0.017,0.027,-0.048,0.028,0.024,-0.036,0.001,0.053,-0.05,-0.004,-0.016,0.006,0.029,0.025,-0.043,0.027,0.01,-0.027,0.016,-0.036,0.029,0.0,-0.029,0.011,0.043,0.034,0.005,0.002,0.049,0.353
PGIM India Liquid Fund - Growth,0.557,0.503,0.56,0.514,0.553,0.52,0.542,0.544,0.487,0.521,0.501,0.509,0.553,0.508,0.636,0.55,0.58,0.621,0.626,0.6,0.587,0.64,0.618,0.644,0.62,0.556,0.649,0.582,0.637,0.579,0.572,0.494,0.474,0.496,0.425,0.438,0.429,0.398,0.492,0.424,0.45,0.339,0.272,0.28,0.247,0.269,0.258,0.242,0.234,0.252,0.274,0.268,0.268,0.281,0.273,0.284,0.242,0.26,0.295,0.287,0.281,0.282,0.311,0.288,0.311,0.391,0.442,0.02,0.14,10.937
PGIM India Liquid Fund - Monthly Dividend,0.081,0.027,0.084,0.039,0.078,0.52,0.068,0.07,0.487,0.048,0.028,0.037,0.081,0.036,0.163,0.079,0.11,0.151,0.157,0.132,0.119,0.172,0.152,0.179,0.155,0.092,0.185,0.119,0.174,0.117,0.11,0.034,0.014,0.063,-0.007,0.006,-0.003,-0.035,0.059,-0.008,0.018,-0.093,-0.115,-0.043,-0.076,0.011,-0.003,-0.017,-0.025,-0.007,0.015,0.01,0.009,0.022,0.011,0.021,-0.02,-0.003,0.032,0.024,0.039,0.042,0.072,0.049,0.071,0.152,0.066,0.011,0.103,2.22
PGIM India Liquid Fund - Weekly Dividend,0.045,0.018,0.031,0.015,0.054,0.022,0.033,0.068,-0.015,0.036,0.016,0.003,0.072,-0.016,-0.046,-0.029,0.066,-0.101,0.063,-0.085,0.043,0.064,-0.106,0.07,0.049,-0.003,-0.08,0.035,-0.072,0.039,0.075,-0.1,0.047,0.032,-0.085,0.048,-0.06,0.018,0.074,-0.093,0.016,0.026,-0.046,0.027,0.023,-0.035,0.008,0.051,-0.048,-0.004,-0.015,0.006,0.028,0.024,-0.042,0.026,0.01,-0.026,0.016,-0.035,0.028,0.0,-0.028,0.011,0.042,0.034,0.005,0.002,0.049,0.353
