scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
Sundaram Large and Midcap Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),2.765,3.889,4.417,-0.151,0.908,-0.257,1.261,-0.634,-0.383,3.692,-0.115,4.211,-0.23,-3.4,-11.349,6.08,-1.663,-1.202,2.703,5.067,-9.242,-4.036,3.558,1.282,-5.065,-0.119,6.679,-0.301,0.245,-1.096,-10.555,1.458,8.136,4.16,0.612,-0.085,0.14,-2.081,-29.582,14.191,5.157,5.642,5.884,6.207,0.046,-0.035,11.94,5.622,2.954,7.599,0.569,-2.265,5.561,-3.037,5.794,5.533,1.641,3.622,-2.176,2.61,-1.707,-5.4,4.821,-2.823,-4.297,-4.563,0.739,35.892,5.991,0.427
Sundaram Large and Midcap Fund Direct Plan - Growth,5.589,3.889,4.424,2.335,0.908,-0.257,3.689,-0.633,-0.383,6.157,-0.115,4.212,1.995,-3.4,-2.169,6.079,-1.663,-1.202,5.354,5.067,-9.242,-1.364,3.558,1.282,-2.507,-0.121,6.679,-0.301,2.833,-1.095,-8.055,1.457,8.136,5.789,0.612,-0.085,1.768,-2.081,-29.582,14.188,5.158,5.642,5.885,6.207,0.046,-0.035,11.941,5.621,2.955,7.598,0.569,-2.268,5.561,4.095,5.794,5.533,1.641,3.622,-2.175,2.609,-1.708,-5.4,4.821,-2.822,-4.297,-4.562,1.421,33.182,5.76,0.855
Sundaram Large and Midcap Fund Regular Plan - Growth,5.576,3.837,4.359,2.289,0.849,-0.313,3.626,-0.718,-0.465,6.065,-0.259,4.04,1.824,-3.545,-2.31,6.004,-1.741,-1.282,5.259,4.976,-9.311,-1.446,3.494,1.207,-2.587,-0.19,6.599,-0.377,2.759,-1.16,-8.125,1.384,8.063,5.693,0.529,-0.175,1.675,-2.17,-29.66,14.05,5.042,5.52,5.765,6.091,-0.066,-0.144,11.819,5.503,2.852,7.503,0.473,-2.366,5.453,3.988,5.686,5.423,1.535,3.51,-2.278,2.499,-1.799,-5.485,4.719,-2.911,-4.392,-4.653,1.327,33.124,5.755,0.799
Sundaram Large and Midcap Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),2.684,3.836,4.358,-0.262,0.849,-0.314,1.129,-0.718,-0.465,3.522,-0.258,4.04,-0.482,-3.545,-11.863,6.004,-1.741,-1.282,2.477,4.976,-9.312,-4.263,3.495,1.206,-5.291,-0.19,6.599,-0.377,0.008,-1.16,-10.79,1.384,8.063,3.949,0.529,-0.176,-0.074,-2.17,-29.66,14.05,5.042,5.52,5.764,6.091,-0.066,-0.144,11.819,5.503,2.852,7.503,0.473,-2.363,5.453,-3.138,5.686,5.423,1.535,3.51,-2.278,2.499,-1.798,-5.485,4.719,-2.911,-4.392,-4.654,0.62,36.061,6.005,0.358
Sundaram Mid Cap Fund Direct Plan - Growth,7.457,2.541,3.073,5.615,-1.01,-0.47,2.821,-0.079,0.056,5.185,2.124,5.123,-2.902,-2.705,-3.586,6.061,-4.424,-3.494,2.083,2.67,-11.706,-1.278,1.64,3.283,-4.578,-0.03,6.855,-2.488,3.706,-2.763,-9.411,0.246,4.882,5.045,0.601,1.22,5.227,-1.662,-30.071,11.19,3.966,7.103,2.186,8.594,1.712,-0.443,13.191,6.136,3.078,8.676,-0.349,-1.142,4.833,5.642,4.774,2.682,2.364,2.116,-2.811,1.878,-1.365,-4.604,4.156,-0.445,-4.763,-3.81,1.052,35.117,5.926,0.615
Sundaram Mid Cap Fund Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),5.698,2.541,3.073,5.616,-1.494,-0.946,2.338,-0.561,-0.421,4.702,1.674,4.677,-3.316,-3.143,-10.505,5.551,-4.905,-3.989,1.547,2.144,-12.2,-1.88,1.041,2.695,-5.147,-0.649,6.24,-3.052,3.106,-3.338,-9.987,-0.309,4.332,4.49,0.058,0.668,4.659,-2.205,-30.55,11.19,3.966,7.103,2.186,8.594,1.713,-0.443,13.191,6.136,3.078,8.676,-0.349,-1.142,4.833,-1.565,4.774,2.682,2.364,2.116,-2.811,1.878,-1.364,-4.603,4.156,-0.445,-4.764,-3.812,0.539,37.036,6.086,0.307
Sundaram Mid Cap Fund Regular Plan - Growth,7.436,2.481,3.004,5.556,-1.072,-0.529,2.758,-0.141,-0.002,5.123,2.06,5.055,-2.965,-2.762,-3.641,5.999,-4.481,-3.547,2.022,2.609,-11.751,-1.329,1.574,3.21,-4.65,-0.097,6.773,-2.548,3.639,-2.823,-9.472,0.183,4.818,4.978,0.545,1.16,5.164,-1.716,-30.118,11.117,3.901,7.031,2.119,8.525,1.646,-0.506,13.119,6.066,3.009,8.611,-0.419,-1.213,4.757,5.565,4.709,2.619,2.302,2.051,-2.871,1.808,-1.438,-4.67,4.075,-0.518,-4.839,-3.886,0.987,35.081,5.923,0.577
Sundaram Mid Cap Fund Regular Plan - Income Distribution cum Capital Withdrawal (IDCW),5.639,2.481,3.004,5.556,-1.568,-1.017,2.262,-0.636,-0.492,4.626,1.597,4.594,-3.393,-3.214,-10.785,5.471,-4.979,-4.061,1.466,2.063,-12.264,-1.956,0.95,2.597,-5.243,-0.744,6.129,-3.139,3.011,-3.427,-10.076,-0.4,4.24,4.395,-0.028,0.578,4.564,-2.29,-30.626,11.119,3.901,7.031,2.119,8.525,1.647,-0.506,13.118,6.067,3.01,8.611,-0.419,-1.213,4.757,-1.638,4.709,2.619,2.302,2.051,-2.871,1.808,-1.438,-4.67,4.075,-0.518,-4.839,-3.886,0.46,37.112,6.092,0.262
Sundaram Small Cap Fund Direct Plan - Growth,7.111,3.779,6.78,6.172,-1.375,3.562,1.215,-1.555,-1.153,9.587,0.729,7.928,-4.253,-3.945,-5.414,6.0,-7.299,-8.942,2.035,0.529,-14.171,-0.776,1.21,3.648,-5.398,0.836,10.745,-3.982,4.13,-3.195,-14.746,0.773,5.339,6.241,-1.671,0.448,7.609,-0.608,-32.494,13.0,2.705,10.583,4.491,9.612,4.427,1.18,13.674,8.623,-0.5,9.196,2.724,4.894,6.27,7.596,5.307,0.362,5.793,1.143,-0.825,4.617,-2.208,-8.345,6.713,-2.225,-5.427,-4.036,1.284,52.474,7.244,0.614
Sundaram Small Cap Fund Direct Plan - Income Distribution cum Capital Withdrawal (IDCW),7.111,1.483,6.78,6.172,-3.328,3.562,1.216,-3.484,-1.153,9.588,-1.12,7.928,-4.254,-3.944,-12.836,6.001,-9.259,-8.942,2.035,-1.879,-14.171,-0.776,-1.645,3.654,-5.398,-1.28,10.745,-3.982,2.129,-3.195,-14.747,-0.914,5.339,6.241,-1.671,0.448,7.609,-0.608,-32.494,13.001,2.706,10.582,4.491,9.612,4.427,1.18,13.674,8.623,-0.501,9.196,2.724,4.893,6.27,-6.563,5.307,0.363,5.793,1.143,-0.825,4.617,-2.208,-8.343,6.714,-2.225,-5.429,-4.038,0.639,56.106,7.49,0.296
