scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
Parag Parikh Tax Saver Fund- Direct Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.016,1.725,3.312,2.744,2.175,1.607,0.64,-2.78,-21.516,13.361,9.71,5.98,9.797,3.647,6.074,-1.061,7.595,5.974,1.543,2.313,2.073,1.213,5.753,2.191,4.708,3.576,4.982,1.356,-1.627,3.237,-0.269,-4.383,4.949,-1.852,-0.703,-3.789,2.034,31.124,5.579,1.263
Mirae Asset Tax Saver Fund-Direct Plan -Growth,8.332,3.806,3.621,3.723,3.175,0.771,4.757,-0.26,-0.635,6.65,-0.571,4.243,2.101,-5.442,-4.216,5.279,-1.968,-1.049,5.673,4.675,-6.958,-1.75,3.827,0.573,-0.616,3.19,6.995,0.428,2.531,-0.683,-6.257,0.913,4.26,6.558,2.101,1.157,0.198,-3.071,-25.685,19.219,4.838,8.185,5.503,8.177,0.732,1.952,11.94,6.023,3.34,6.054,1.19,-0.332,6.541,3.095,2.388,5.266,1.991,3.175,-3.514,1.633,-1.013,-5.846,5.663,-1.985,-3.461,-3.876,1.777,31.526,5.615,1.096
quant Tax Plan - Growth Option - Direct Plan,7.524,2.994,1.368,3.322,1.914,1.986,2.636,1.168,-2.07,4.479,-0.496,2.894,0.492,-3.423,-3.901,2.741,-2.749,-0.723,6.304,4.048,-4.785,-4.022,4.079,0.552,-2.751,-2.101,8.444,-1.476,3.539,-1.46,-8.345,-0.319,6.276,7.053,-0.054,-2.319,1.334,-3.355,-23.273,18.922,6.432,8.492,12.402,5.525,4.712,0.493,9.532,9.703,2.351,8.427,4.73,6.561,8.503,3.601,7.144,-3.057,4.848,2.327,1.218,0.174,1.498,-7.573,11.196,-0.674,-5.542,-5.784,1.874,35.392,5.949,1.091
PGIM India ELSS Tax Saver Fund - Direct Plan - Growth Option,7.89,3.7,4.673,3.476,1.632,0.229,3.485,-0.073,-1.538,4.734,-0.282,4.108,0.884,-4.113,-2.672,5.125,-1.569,-0.693,4.765,1.873,-5.607,-4.962,4.044,0.355,0.424,-1.407,7.709,5.384,3.059,-1.024,-7.05,0.348,5.297,4.829,-0.704,0.452,0.257,-3.892,-24.552,18.739,5.068,6.508,6.183,4.098,-1.575,1.467,12.81,7.995,2.307,5.296,0.847,0.543,7.681,2.317,3.153,3.251,2.983,2.333,-1.376,2.71,1.494,-6.304,7.137,-2.839,-3.918,-3.507,1.576,30.071,5.484,0.996
PGIM India ELSS Tax Saver Fund - Direct Plan - Growth Option,7.89,3.7,4.673,3.476,1.632,0.229,3.485,-0.073,-1.538,4.734,-0.282,4.108,0.884,-4.113,-2.672,5.125,-1.569,-0.693,4.765,1.873,-5.607,-4.962,4.044,0.355,0.424,-1.407,7.709,5.384,3.059,-1.024,-7.05,0.348,5.297,4.829,-0.704,0.452,0.257,-3.892,-24.552,18.739,5.068,6.508,6.183,4.098,-1.575,1.467,12.81,7.995,2.307,5.296,0.847,0.543,7.681,2.317,3.153,3.251,2.983,2.333,-1.376,2.71,1.494,-6.304,7.137,-2.839,-3.918,-3.507,1.576,30.071,5.484,0.996
BANK OF INDIA Tax Advantage Fund-Direct Plan- Growth,8.15,2.488,4.416,3.436,1.399,1.296,5.012,3.741,-0.113,7.163,2.124,5.778,-0.5,-3.271,-2.076,5.429,-3.799,-4.264,5.761,0.825,-14.711,-2.335,2.687,0.843,-3.212,0.236,7.249,-0.53,4.321,-1.732,-7.779,2.741,7.615,4.676,0.539,2.202,3.782,0.53,-21.81,15.494,1.554,4.225,7.618,6.206,3.289,1.792,11.295,6.787,-0.369,6.848,1.732,3.383,4.039,5.755,5.074,3.504,1.228,1.445,-2.013,3.508,-4.31,-5.615,5.219,-1.939,-5.221,-4.592,1.579,30.512,5.524,0.99
Kotak Tax Saver-Scheme-Growth - Direct,8.528,2.917,3.99,3.709,0.57,-1.357,4.265,-0.367,-2.192,6.073,-1.202,3.055,0.035,-4.67,-2.445,3.983,-1.783,-0.712,6.386,3.369,-7.206,-2.86,4.522,0.648,-1.21,0.589,6.496,1.346,3.391,-0.673,-8.142,-0.063,6.055,4.391,1.826,1.161,3.282,-4.367,-26.05,16.546,4.344,6.504,4.589,3.832,2.86,1.532,11.493,5.542,2.379,6.176,2.072,-0.496,5.416,4.041,2.542,3.092,1.624,2.178,-0.857,1.065,0.696,-5.798,7.403,-2.98,-3.587,-3.781,1.42,29.425,5.424,0.907
JM Tax Gain Fund (Direct) - Growth Option,9.51,2.825,5.423,4.219,1.955,-2.279,5.998,1.146,-0.776,2.92,-1.104,3.574,1.317,-4.108,-1.615,3.82,-0.845,-2.419,7.022,1.599,-9.502,-3.117,5.664,0.488,-1.461,0.641,6.79,-0.448,4.136,-0.276,-8.137,2.636,9.848,3.19,-1.394,1.852,1.521,-2.491,-27.405,12.439,7.025,7.232,4.72,6.625,0.094,2.768,14.009,6.628,1.436,5.826,0.03,-1.451,6.033,1.988,4.022,5.466,3.541,3.842,-4.377,1.546,-1.216,-5.121,5.271,-4.572,-1.843,-5.41,1.474,33.267,5.768,0.885
Tata India Tax Savings Fund-Growth-Direct Plan,8.912,2.157,4.486,4.301,0.593,0.467,5.154,0.766,-0.546,4.645,1.285,4.463,-0.998,-4.083,-3.418,5.288,-2.786,-3.096,6.02,4.108,-10.427,-1.372,4.099,1.544,-0.189,-0.337,8.399,-0.294,3.791,-0.001,-7.988,0.671,5.765,4.49,1.961,0.762,0.132,-3.027,-26.09,17.126,4.357,4.806,6.142,5.559,-0.064,1.207,11.88,6.095,3.82,5.422,-0.534,-1.539,6.158,1.669,2.684,4.754,2.521,4.094,-3.951,2.211,0.35,-5.7,6.849,-3.727,-2.461,-4.425,1.438,31.933,5.651,0.882
IDFC Tax Advantage  (ELSS) Fund-Direct Plan-Growth ,8.851,3.799,4.604,3.704,3.381,-0.053,3.999,2.097,-0.581,5.156,0.973,5.147,1.624,-3.551,-3.008,5.541,-3.498,-2.33,2.933,3.425,-8.608,-2.696,2.843,0.525,-3.305,0.918,9.093,-1.193,2.761,-1.334,-10.363,-1.054,5.382,3.635,1.797,0.152,1.954,-4.584,-30.221,19.868,4.117,8.525,6.425,8.089,0.94,-0.694,14.266,7.143,4.028,10.36,0.726,1.838,6.664,4.117,2.777,1.308,4.681,4.395,-4.607,3.997,1.269,-6.636,7.45,-1.14,-4.883,-5.144,1.633,41.451,6.438,0.879
IDFC Tax Advantage  (ELSS) Fund-Direct Plan-Growth ,8.851,3.799,4.604,3.704,3.381,-0.053,3.999,2.097,-0.581,5.156,0.973,5.147,1.624,-3.551,-3.008,5.541,-3.498,-2.33,2.933,3.425,-8.608,-2.696,2.843,0.525,-3.305,0.918,9.093,-1.193,2.761,-1.334,-10.363,-1.054,5.382,3.635,1.797,0.152,1.954,-4.584,-30.221,19.868,4.117,8.525,6.425,8.089,0.94,-0.694,14.266,7.143,4.028,10.36,0.726,1.838,6.664,4.117,2.777,1.308,4.681,4.395,-4.607,3.997,1.269,-6.636,7.45,-1.14,-4.883,-5.144,1.633,41.451,6.438,0.879
