scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
L&T Flexi Bond Fund - Direct Plan- Growth,-0.196,-2.037,1.477,-0.222,1.135,1.05,1.037,0.587,-0.023,0.099,0.266,-0.251,-0.41,0.068,2.258,-1.401,0.129,0.278,1.07,0.073,0.266,0.621,1.691,1.383,0.234,0.741,1.719,-0.778,2.349,0.434,2.146,0.684,-0.254,1.105,0.57,0.122,0.602,1.501,0.507,1.718,1.432,1.192,0.888,-0.269,0.302,1.394,0.474,0.819,-1.109,-1.078,0.627,0.434,0.476,0.122,0.421,0.755,0.303,0.151,0.213,0.008,-0.435,0.297,0.331,0.015,-0.198,0.481,0.461,0.685,0.828,1.929
BANK OF INDIA Flexi Cap Fund Direct Plan -Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.98,6.078,4.029,0.43,12.629,6.636,-0.501,7.117,1.946,3.489,6.034,5.157,5.299,1.593,1.934,3.487,-2.23,4.714,-0.815,-6.135,4.281,-2.127,-4.68,-6.35,2.375,20.578,4.536,1.814
HSBC Flexi Debt Fund - Growth Direct,0.145,-1.927,1.276,-0.124,1.383,1.143,1.285,0.362,-0.364,-0.459,-0.149,-0.629,-1.131,-0.259,2.152,-1.468,-0.111,0.334,1.183,-0.118,0.519,1.062,1.441,1.14,0.078,0.785,1.87,-0.535,2.515,0.857,2.546,0.545,-0.181,0.756,0.579,0.012,0.38,1.541,0.39,0.766,1.445,1.538,0.57,-0.499,0.072,1.569,0.455,0.656,-0.842,-0.799,0.608,0.49,0.41,0.008,0.136,0.875,0.341,-0.087,0.758,-0.278,-0.49,0.802,0.373,-0.83,-0.997,0.411,0.398,0.804,0.897,1.537
Parag Parikh Flexi Cap Fund - Direct Plan - Growth,3.734,3.338,1.099,1.755,2.063,1.25,2.647,1.707,2.241,2.859,0.806,2.512,2.552,-2.397,-4.578,4.294,1.314,0.923,4.115,3.825,-5.045,-4.687,1.319,-0.251,2.321,1.134,2.916,1.517,0.013,1.258,-3.864,0.975,3.523,2.813,2.103,1.393,2.281,-3.81,-20.575,15.949,9.59,6.526,8.315,5.809,1.822,-1.15,9.461,4.504,1.749,3.848,3.022,3.931,4.012,3.89,6.691,4.622,2.659,3.465,-1.375,2.652,-2.342,-5.626,5.963,-4.049,-1.099,-5.274,1.651,21.804,4.669,1.225
quant Flexi Cap Fund - Growth Option-Direct Plan,7.208,2.53,7.428,3.532,3.216,1.034,1.921,-1.141,0.952,2.619,2.171,3.61,-2.064,0.466,-5.278,3.709,-3.648,-4.184,7.108,-0.172,-5.612,-3.292,4.651,0.456,-2.809,-1.55,8.15,-2.036,1.308,-1.412,-8.449,-1.957,4.929,5.73,0.175,-0.936,1.14,-4.444,-19.942,16.269,7.448,6.58,9.868,5.466,6.835,-0.638,8.975,11.298,-0.652,7.465,2.691,5.788,12.248,7.085,5.813,-1.058,4.296,0.71,-1.183,0.509,0.671,-8.511,9.87,-1.99,-5.495,-4.703,1.678,32.853,5.732,1.014
Shriram Flexi Cap Fund - Direct Growth,,,,,,,,,,,,,,,,,,,,,,1.064,2.088,0.728,-1.538,0.002,6.445,-0.461,3.127,-1.108,-8.026,0.957,5.536,5.752,-0.768,0.981,0.264,-1.968,-21.469,13.199,3.63,6.093,5.305,3.591,-0.467,1.297,10.201,6.179,-0.137,2.976,0.96,-1.841,5.362,1.636,2.027,5.127,2.217,4.157,2.866,1.575,0.284,2.38,4.476,-2.182,-2.416,-4.484,1.458,25.796,5.079,0.994
Nippon India Passive Flexicap FoF - Direct Plan - Growth Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.694,7.488,0.996,0.763,6.059,2.91,1.945,5.158,3.32,2.039,-3.519,1.908,-0.509,-5.644,5.474,-0.703,-3.437,-5.67,1.071,14.753,3.841,0.966
PGIM India Flexi Cap Fund - Direct Plan - Growth Option,8.039,3.267,4.833,3.673,1.521,0.158,3.672,-0.452,-2.195,5.32,-1.977,4.481,1.787,-4.143,-3.223,5.09,-2.716,-0.882,3.423,3.022,-7.887,-2.446,3.527,0.53,-1.431,-0.229,8.576,-0.494,3.915,-0.953,-8.522,-0.861,6.799,5.079,-0.34,1.645,2.63,-3.478,-23.78,20.037,7.149,6.894,10.749,2.956,2.077,1.855,13.247,7.039,1.934,4.886,2.171,2.745,5.772,4.487,6.035,3.38,1.809,2.187,-2.675,3.435,-2.094,-7.25,5.416,-4.448,-4.235,-4.875,1.601,33.548,5.792,0.958
Edelweiss Flexi Cap Fund - Direct Plan - Growth Option,8.982,0.855,5.246,4.372,0.898,-1.343,5.02,2.214,-0.593,7.536,0.969,4.237,2.137,-4.618,-1.641,4.495,-3.852,-0.587,5.677,2.149,-7.103,-3.0,3.569,0.606,-0.263,-0.757,6.922,-0.727,4.1,-1.62,-7.747,0.653,5.947,3.629,0.679,0.986,1.518,-2.717,-25.71,15.555,3.489,4.939,6.96,5.385,-0.255,2.066,11.485,6.192,2.846,6.456,0.699,-1.52,5.998,3.519,4.696,3.271,2.087,3.099,-4.126,3.527,-0.332,-5.731,6.147,-3.792,-3.598,-3.84,1.46,29.84,5.463,0.926
JM Flexicap Fund (Direct) - Growth Option,10.633,1.797,5.087,4.063,2.04,-1.177,5.018,1.869,-2.088,2.736,-3.174,3.999,1.556,-4.83,-3.159,3.132,0.809,-1.291,7.366,1.242,-8.958,-3.386,5.238,0.966,-2.972,0.962,6.002,0.641,1.159,-0.739,-2.847,2.385,9.663,2.89,-0.493,1.797,0.339,-2.856,-24.839,13.315,6.008,4.729,2.586,4.694,-2.369,0.366,16.618,6.925,2.907,5.322,1.285,-2.41,4.709,2.728,3.275,6.438,3.069,1.819,-2.975,1.824,0.106,-5.201,5.515,-3.747,-2.322,-1.949,1.422,29.837,5.462,0.902
