scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
Mahindra Manulife Focused Equity Yojana - Direct Plan -Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.45,6.763,4.383,6.468,2.005,0.362,6.474,3.105,3.359,5.017,3.658,2.601,-4.525,1.396,2.177,-5.545,7.125,-2.501,-2.945,-3.595,1.862,15.179,3.896,1.656
Invesco India Focused 20 Equity Fund - Direct Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5,9.064,7.123,3.154,4.38,-0.079,-0.475,5.393,3.687,5.588,4.866,2.092,5.762,3.577,1.392,-2.953,-7.182,4.983,-3.608,-3.9,-4.47,1.804,18.868,4.344,1.439
HSBC Focused Equity Fund - Direct Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.26,2.853,0.812,1.652,12.229,7.998,1.785,3.274,0.758,-1.425,4.931,3.357,3.013,5.915,2.681,2.744,-3.685,3.391,-1.26,-5.887,5.448,-3.442,-4.154,-5.058,1.57,18.372,4.286,1.269
Mirae Asset Focused Fund Direct Plan Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.188,-1.422,-4.599,2.625,5.963,6.421,1.483,1.491,0.409,-3.972,-26.266,17.266,6.041,9.563,7.474,6.418,0.369,2.098,11.824,5.708,3.192,5.573,1.481,-1.416,5.88,4.77,3.822,5.478,2.098,4.809,-2.42,1.194,-2.44,-5.419,3.793,-3.149,-3.118,-3.617,2.042,45.686,6.759,1.047
Union Focused Fund - Direct Plan - Growth Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.896,4.382,4.676,2.37,1.071,0.177,-1.348,-24.176,19.203,5.218,4.251,6.408,4.596,1.054,2.348,9.298,6.419,2.98,4.869,0.606,0.134,3.198,5.229,3.374,5.223,2.064,3.115,-3.286,1.973,-1.797,-5.92,4.469,-1.833,-3.971,-2.304,1.885,39.544,6.288,1.038
IIFL Focused Equity Fund-Direct Plan-Growth,7.937,2.759,0.823,1.657,0.209,1.921,6.157,1.294,-3.371,4.26,-0.536,2.658,-0.866,-4.871,-3.258,5.918,-1.618,-0.889,3.798,10.572,-11.214,-3.265,0.662,2.696,-0.51,2.155,9.064,0.754,5.154,0.513,-5.876,0.38,7.621,4.004,1.895,3.188,2.463,-0.281,-27.341,17.035,3.911,6.723,6.541,5.4,0.461,2.048,13.35,6.047,3.532,2.69,0.973,-0.873,5.109,4.713,5.693,4.477,1.332,3.982,-2.945,2.97,-1.378,-6.133,4.85,-3.677,-4.11,-3.87,1.598,34.273,5.854,0.946
ICICI Prudential Focused Equity Fund - Direct Plan - Growth,4.663,2.589,1.93,0.616,1.917,-1.278,4.943,-1.911,-1.601,6.85,-1.256,4.451,1.025,-3.806,-3.0,4.089,-0.654,1.35,5.303,5.067,-2.293,-5.273,-2.638,2.223,-2.564,1.332,7.133,0.43,0.399,-1.546,-5.911,-0.916,2.591,3.247,-0.349,-0.383,0.352,-4.868,-18.15,18.197,8.361,4.011,6.961,3.919,-2.702,-0.031,11.38,7.582,3.41,5.349,1.182,-1.237,7.125,2.346,3.764,4.869,3.622,3.662,-4.34,1.406,0.567,-6.269,6.325,-2.836,-1.487,-3.444,1.3,24.58,4.958,0.908
Kotak Focused equity Fund- Direct Plan- Growth option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.01,0.739,4.595,3.353,1.426,0.89,1.683,-3.165,-26.4,17.692,3.602,6.954,6.264,2.832,1.658,1.191,11.663,5.015,4.05,6.183,0.9,-2.528,6.13,3.623,2.632,4.896,2.294,3.622,-3.255,1.488,1.086,-5.904,5.323,-2.379,-3.587,-4.651,1.664,43.199,6.573,0.877
Axis Focused 25 Fund - Direct Plan - Growth Option,7.021,3.425,3.871,4.868,0.889,1.553,5.955,0.465,-0.27,3.117,0.224,4.654,1.032,-4.366,-1.362,7.56,-0.475,-0.171,6.869,1.791,-9.889,-4.995,5.257,1.69,-5.055,1.276,5.582,1.739,3.753,-1.018,-5.786,1.74,8.291,4.127,0.393,1.485,2.3,-1.917,-25.612,15.347,4.351,6.272,4.393,5.93,0.215,2.517,15.168,7.21,-1.821,3.808,-0.262,0.573,5.278,2.9,1.945,8.486,2.529,1.702,-3.064,-0.272,-5.509,-3.738,3.968,-3.837,-6.504,-5.835,1.39,32.745,5.722,0.842
Franklin India Focused Equity Fund - Direct - Growth,8.803,2.727,2.149,3.145,1.731,-0.894,4.211,-1.557,-1.766,10.534,-0.23,3.455,0.615,-6.18,-3.464,1.839,1.047,-2.739,6.176,3.371,-7.241,-2.056,1.607,2.953,-1.376,-0.028,9.896,0.721,4.283,-1.925,-8.856,-1.658,4.447,5.444,3.624,-0.589,-0.252,-4.618,-26.315,16.946,5.966,7.994,0.118,7.053,-6.001,4.292,15.178,7.364,6.865,7.473,-1.154,-0.859,9.876,0.871,3.104,3.683,3.238,3.952,-3.986,0.637,2.616,-6.417,5.284,-3.096,-2.172,-3.191,1.465,37.124,6.093,0.833
quant Focused Fund - Growth Option-Direct Plan,3.229,4.278,3.386,0.494,0.443,0.013,2.224,1.721,1.876,4.592,0.137,6.24,-2.323,-2.204,-2.042,3.667,-4.015,-1.15,4.86,2.121,-4.713,-3.754,3.211,0.261,-3.245,-2.375,7.45,-0.554,3.304,-1.681,-7.079,0.236,6.808,6.049,-0.414,-2.5,0.668,-5.546,-21.037,18.719,6.87,2.931,7.236,2.057,0.964,0.809,10.99,8.804,1.045,6.53,6.382,3.523,6.982,-1.544,5.623,-1.219,1.826,1.274,1.818,-1.042,-0.404,-6.595,10.427,0.449,-5.897,-5.589,1.297,29.106,5.395,0.833
IDFC Focused Equity Fund-Direct Plan-Growth ,7.56,3.506,3.762,5.012,3.506,2.281,6.602,2.396,-1.354,3.601,3.558,1.883,1.777,-4.272,-1.597,4.029,-0.756,-1.104,2.219,2.45,-10.503,-3.707,1.885,-0.209,-0.183,-2.048,6.138,0.631,3.525,-2.516,-11.02,1.004,8.465,5.237,2.168,1.721,2.621,-1.878,-25.884,15.093,4.905,5.437,9.351,5.055,1.472,1.082,8.407,3.552,2.801,2.883,-0.748,-2.398,7.427,1.83,1.634,3.745,1.454,4.84,-3.667,3.189,-1.114,-5.261,5.28,-3.687,-4.506,-3.175,1.294,30.399,5.513,0.813
Aditya Birla Sun Life Focused Equity Fund - Growth - Direct Plan,7.579,2.838,2.808,1.854,1.006,0.523,5.284,0.441,-1.92,4.635,-2.852,3.637,2.08,-5.152,-2.843,4.455,-1.553,-0.389,5.82,3.305,-6.065,-2.654,1.683,1.388,-2.573,0.929,7.427,0.352,2.772,-1.293,-6.862,-0.196,4.883,5.073,1.519,1.417,0.553,-3.123,-25.749,17.96,4.926,5.23,6.501,4.637,-1.396,2.405,11.172,7.31,2.069,2.13,0.691,-0.787,5.877,2.402,1.568,7.622,2.091,2.98,-4.273,1.794,-0.873,-5.388,5.698,-3.325,-2.294,-4.048,1.268,29.414,5.423,0.81
Motilal Oswal Focused 25 Fund (MOF25)- Direct Plan Growth Option,8.423,1.04,3.647,5.397,0.288,0.651,4.319,1.122,-2.654,1.672,-0.86,4.211,2.834,-4.514,-2.652,4.805,-0.227,-1.035,5.289,0.123,-7.524,-4.795,6.498,0.09,-2.651,-0.681,6.824,1.31,3.58,-0.811,-7.327,2.366,9.947,2.891,0.792,2.647,0.518,-1.996,-22.588,17.754,3.688,4.753,4.209,3.284,0.186,4.128,11.453,5.595,1.127,2.851,0.557,-1.473,6.467,1.232,-0.048,5.026,1.002,1.161,-4.617,-0.139,-1.617,-6.059,5.715,-2.726,0.402,-4.993,1.21,27.724,5.265,0.796
Tata Focused Equity Fund-Direct Plan-Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.149,-0.545,-2.998,-25.968,16.871,3.836,5.843,6.11,5.973,-1.513,2.159,11.785,6.519,3.064,6.827,0.182,-1.401,6.821,2.26,4.559,5.029,1.369,3.094,-3.754,1.363,0.821,-5.277,6.158,-3.024,-3.68,-4.397,1.588,49.771,7.055,0.78
L&T Focused Equity Fund - Direct Plan - Growth Option,,,,,,,,,,,,,,,,,,,,,,,1.527,0.579,-0.907,-0.167,6.972,0.977,1.837,-1.428,-6.103,1.466,5.26,6.497,0.268,0.62,0.83,-3.147,-21.874,15.699,3.439,3.514,7.422,3.485,3.021,0.16,7.533,5.89,-1.995,6.538,2.742,-0.187,3.463,4.427,1.654,3.183,1.159,0.758,-3.097,2.408,-1.526,-6.808,5.004,-2.014,-2.801,-3.269,1.205,28.936,5.379,0.776
Nippon India Focused Equity Fund - Direct Plan Growth Plan - Growth Option,6.62,3.257,4.172,4.817,0.144,0.973,2.962,-2.06,-0.822,8.253,1.926,4.129,-0.88,-4.923,-4.636,3.128,-2.175,-2.829,5.818,1.736,-9.042,-2.122,2.322,1.669,-2.971,1.302,8.907,-0.154,2.633,-1.706,-9.533,-2.57,6.365,5.15,1.163,2.07,0.299,-3.322,-29.462,21.062,4.376,7.949,3.914,8.941,-2.817,-0.179,14.654,8.054,5.782,11.314,-1.524,-1.079,6.467,1.491,2.996,3.533,4.119,3.723,-5.166,0.055,3.956,-6.549,6.632,-1.118,-3.452,-3.441,1.429,42.114,6.49,0.763
HDFC Focused 30 Fund - Growth Option - Direct Plan,7.445,0.063,4.14,3.656,1.555,-0.979,4.6,-0.807,-2.468,7.226,2.268,4.829,-1.859,-5.334,-3.442,1.804,-3.472,-2.103,3.21,3.211,-5.737,-2.068,-0.812,2.791,-3.912,0.132,9.942,-1.895,3.824,-0.32,-9.051,-2.648,8.287,4.56,-0.836,0.702,-1.986,-5.216,-25.341,17.552,3.623,7.818,3.381,5.499,-3.92,-0.102,12.54,8.927,2.734,8.389,-0.171,-1.612,8.324,1.574,4.122,2.138,4.985,6.214,-4.003,2.322,2.067,-5.736,7.841,-0.158,-0.81,-3.624,1.271,34.675,5.889,0.748
