scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
L&T Nifty 50 Index Fund - Direct Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.415,5.701,6.157,6.314,5.365,-0.451,2.109,12.255,6.886,1.895,3.47,0.718,-1.551,6.563,0.908,0.679,7.521,2.696,2.424,-4.21,1.101,-0.271,-4.297,6.394,-3.174,-2.82,-4.523,2.381,18.42,4.292,1.922
L&T Next Nifty 50 Index Fund - Direct Plan - Growth Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.494,5.791,5.352,4.399,1.569,0.263,0.381,11.977,6.583,-0.176,5.764,0.32,0.233,7.439,2.596,1.933,5.436,1.447,0.249,-1.342,0.609,-1.769,-4.152,4.41,1.903,-8.846,-4.314,1.872,17.538,4.188,1.548
Motilal Oswal S&P 500 Index Fund - Direct Plan Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.787,7.162,1.754,3.533,3.76,-3.586,0.321,9.429,2.93,-1.128,3.103,4.081,6.876,-0.758,4.483,2.542,1.154,-3.362,8.083,-0.831,3.787,-4.606,-2.076,5.541,-4.757,1.441,-6.589,1.632,17.0,4.123,1.371
Edelweiss NIFTY PSU Bond Plus SDL Index Fund 2026 - Direct Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.802,0.395,0.973,0.038,0.608,1.346,0.539,-0.145,0.837,0.225,-0.347,1.018,0.458,-1.28,-1.4,0.553,0.289,0.595,0.772,1.297
Nippon India Nifty Smallcap 250 Index Fund - Direct Plan - Growth Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.787,15.331,8.011,1.82,12.016,0.976,2.517,7.857,6.851,7.458,-3.486,5.933,0.866,-1.141,5.015,-0.765,-10.032,7.623,-1.341,-7.072,-7.062,2.409,41.641,6.453,1.293
IDFC CRISIL Gilt 2027 Index Fund Direct Plan-Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.122,0.516,0.565,0.124,0.577,1.138,0.404,0.612,0.82,-0.139,-0.506,0.718,0.615,-1.382,-0.944,0.618,0.241,0.458,0.677,1.233
IDFC CRISIL Gilt 2028 Index Fund Direct Plan-Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112,0.715,0.443,0.092,0.532,1.312,0.325,0.015,0.876,-0.292,-0.713,0.827,0.439,-1.1,-0.981,0.642,0.203,0.467,0.683,1.03
Nippon India Index Fund - S&P BSE Sensex Plan - Direct Plan Growth Plan - Bonus Option,5.696,3.012,2.169,0.017,4.114,-0.357,4.561,-2.07,-1.857,6.769,-2.269,3.028,6.162,-5.107,-2.955,5.678,0.369,0.727,6.541,3.033,-4.664,-5.646,5.152,0.042,0.549,-1.018,7.768,0.378,1.974,-1.248,-6.428,0.987,4.721,4.886,1.534,1.184,-1.407,-3.913,-25.228,18.713,5.02,6.31,6.519,5.351,-0.514,2.537,12.252,7.186,1.522,2.671,0.35,-2.544,6.771,0.956,0.651,8.275,2.58,2.461,-4.082,0.949,-0.533,-4.327,6.818,-3.69,-2.363,-4.346,1.4,31.293,5.594,0.867
Nippon India Index Fund - S&P BSE Sensex Plan - Direct Plan Growth Plan - Growth Option,5.696,3.012,2.169,0.017,4.114,-0.357,4.561,-2.07,-1.857,6.77,-2.269,3.028,6.161,-5.107,-2.955,5.678,0.369,0.726,6.541,3.032,-4.664,-5.646,5.152,0.042,0.549,-1.019,7.769,0.378,1.974,-1.248,-6.428,0.987,4.721,4.886,1.534,1.184,-1.407,-3.913,-25.229,18.714,5.02,6.31,6.519,5.351,-0.514,2.537,12.252,7.186,1.522,2.671,0.35,-2.544,6.771,0.956,0.651,8.275,2.58,2.461,-4.081,0.949,-0.533,-4.327,6.818,-3.69,-2.363,-4.346,1.4,31.295,5.594,0.867
IDFC Nifty 50 Index Fund-Direct Plan-Growth,6.511,2.691,2.637,0.692,3.298,-0.676,5.444,-1.331,-1.827,5.905,-3.048,3.085,5.555,-4.818,-3.072,5.122,-0.059,0.399,6.605,3.039,-4.835,-5.483,4.715,0.262,-0.089,-0.182,7.368,0.664,1.743,-1.661,-7.111,0.564,5.143,4.759,1.381,1.087,-1.775,-4.28,-25.084,19.436,5.594,6.104,6.344,5.418,-0.309,2.129,12.276,6.896,1.855,3.514,0.737,-1.568,6.556,0.874,0.691,7.471,2.7,2.249,-4.165,1.071,-0.238,-4.246,6.411,-3.17,-2.8,-4.456,1.374,31.236,5.589,0.852
LIC MF Index Fund-Sensex Plan-Direct Plan-Growth,5.691,2.984,2.224,-0.071,4.096,-0.433,4.499,-2.111,-1.937,6.674,-2.354,3.004,6.064,-5.212,-3.164,5.582,0.531,0.635,6.474,3.004,-4.71,-5.672,5.118,0.075,0.533,-1.088,7.69,0.375,1.972,-1.199,-6.496,0.949,4.729,4.857,1.51,1.255,-1.428,-3.929,-25.333,18.879,4.966,6.321,6.508,5.318,-0.486,2.487,12.184,7.142,1.498,2.64,0.288,-2.53,6.749,0.883,0.632,8.271,2.485,2.496,-4.08,1.036,-0.484,-4.344,6.67,-3.727,-2.389,-4.345,1.371,31.429,5.606,0.847
Taurus Nifty 50 Index Fund - Direct Plan - Growth,6.456,3.467,2.675,0.6,3.169,-0.779,5.169,-1.414,-1.954,5.821,-3.134,3.227,5.296,-5.139,-1.156,5.093,-0.113,0.407,6.532,3.239,-4.828,-5.614,4.658,0.116,-0.31,0.085,6.878,0.655,1.592,-2.056,-6.558,0.337,4.843,4.306,1.263,0.837,-3.89,-4.142,-24.245,18.568,6.106,5.692,6.868,4.611,-0.082,1.912,12.125,7.196,2.309,4.206,0.64,-1.548,6.641,0.626,0.978,6.634,2.493,2.332,-4.362,1.02,-0.099,-4.372,5.924,-2.897,-2.828,-4.106,1.333,29.766,5.456,0.846
