scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
Union Midcap Fund - Direct Plan - Growth Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.866,14.695,6.804,4.677,9.399,6.831,5.405,0.313,10.325,8.225,-0.157,10.026,2.672,0.093,4.388,9.425,5.055,2.504,3.59,1.143,-1.06,4.391,-3.731,-6.342,4.151,1.268,-3.035,-5.216,3.454,25.224,5.022,2.383
Baroda BNP Paribas Large and Mid Cap Fund- Direct Plan -Growth Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.499,-0.197,10.97,5.472,2.008,6.399,1.234,-0.609,5.227,3.725,5.141,5.371,4.216,4.106,-3.422,3.844,-2.286,-6.257,6.839,-4.764,-4.701,-3.774,1.82,20.683,4.548,1.386
Mirae Asset Midcap Fund- Direct Growth Fund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.171,0.555,6.047,6.327,1.483,2.067,2.113,-1.711,-27.746,15.474,4.434,8.15,5.449,8.94,1.087,1.332,13.937,6.413,5.834,7.747,1.415,1.759,6.495,5.188,5.089,2.077,2.581,3.661,-3.254,1.409,0.215,-6.046,5.05,-0.759,-4.309,-3.167,2.366,47.286,6.876,1.192
Axis Midcap Fund - Direct Plan - Growth,5.413,3.029,4.912,3.168,-0.496,2.888,3.905,0.616,-0.582,4.953,2.185,4.019,-2.631,-0.281,0.254,5.825,-2.135,-2.289,5.827,6.026,-9.39,-1.009,1.928,3.466,-3.847,2.422,4.252,-0.688,2.608,-0.994,-6.197,2.915,6.712,5.673,0.63,0.63,4.634,-0.738,-20.712,12.718,3.767,3.605,4.38,5.225,3.487,0.363,11.438,5.293,0.018,7.548,1.876,0.378,4.749,5.312,4.66,4.657,1.474,3.325,-2.369,1.492,-3.047,-4.93,4.529,-1.948,-3.953,-4.596,1.611,23.035,4.799,1.163
PGIM India Midcap Opportunities Fund - Direct Plan - Growth Option,7.859,5.036,4.681,3.278,-0.414,-0.156,1.296,-1.74,-0.677,6.276,0.492,5.632,-3.245,-1.917,-3.42,6.866,-3.902,-2.202,2.216,2.956,-12.548,0.825,0.382,0.651,-2.859,0.056,7.436,-2.634,3.9,-2.755,-10.756,-0.235,6.857,5.804,0.369,2.64,6.996,0.195,-25.808,17.756,6.784,7.667,10.02,5.809,5.926,0.041,13.887,7.143,4.377,9.29,1.889,3.071,5.933,5.839,7.514,2.735,3.557,4.083,-3.113,5.056,-1.093,-7.615,5.195,-2.819,-1.62,-4.229,1.826,38.736,6.224,1.016
quant Mid Cap Fund - Growth Option - Direct Plan,3.025,3.026,3.103,1.168,2.627,0.937,0.188,1.563,-0.145,5.313,0.017,3.89,0.415,-2.09,-1.394,3.549,-2.86,-0.461,4.508,3.214,-5.397,-1.457,1.626,0.75,-4.321,-1.536,9.234,-4.667,1.257,-2.902,-8.366,1.29,2.212,9.088,0.893,-1.646,5.843,-3.858,-21.838,18.756,3.968,4.576,7.28,3.411,4.154,0.237,12.732,10.708,-2.605,6.234,6.117,4.699,8.915,5.187,5.303,-1.518,3.27,2.313,2.366,0.009,2.549,-6.475,13.41,-1.273,-5.454,-5.79,1.65,32.715,5.72,0.999
Edelweiss Large & Mid Cap Fund - Direct Plan - Growth Option,7.489,1.686,3.892,2.215,2.959,-0.861,5.332,-0.463,-0.957,6.194,-0.572,3.989,3.619,-4.458,-1.359,5.099,-3.494,-0.655,5.496,2.215,-7.513,-3.692,4.015,0.5,-0.586,-0.697,6.645,-0.873,3.381,-0.319,-7.358,0.367,6.565,4.235,0.784,1.453,2.071,-2.132,-24.833,15.459,3.566,4.38,6.83,5.551,0.689,1.394,10.894,6.307,2.891,7.796,0.865,-1.419,5.757,4.117,4.575,2.421,2.518,2.852,-3.506,2.821,-0.398,-5.767,5.824,-2.494,-3.124,-4.468,1.45,28.088,5.3,0.948
Invesco India Midcap Fund - Direct Plan - Growth Option,8.488,2.861,4.635,4.965,-0.993,-0.742,3.283,0.653,-0.376,6.669,1.928,5.179,-1.908,-4.223,-2.611,5.941,-3.713,-2.073,6.96,5.707,-9.954,0.628,0.644,2.651,-3.563,-0.117,6.714,-2.439,2.153,-1.763,-8.863,2.216,5.12,5.856,0.456,1.966,5.785,0.205,-25.584,14.038,6.12,4.142,5.861,5.076,3.858,-1.545,12.29,5.502,2.769,8.097,-0.013,-0.873,5.985,6.594,5.432,-0.571,4.369,3.615,-1.858,2.724,-1.43,-7.291,5.269,-1.365,-3.342,-5.368,1.528,32.289,5.682,0.932
LIC MF Large & Mid Cap Fund-Direct Plan-Growth,6.706,2.545,5.344,3.536,2.144,-0.332,3.849,-0.038,-1.905,6.116,-0.641,5.624,-1.421,-1.118,-3.348,6.275,-5.201,-2.541,6.054,5.113,-10.135,-0.754,3.095,2.478,-3.976,-0.272,6.259,-0.639,2.667,-0.078,-6.018,2.406,6.298,3.356,1.841,1.621,2.351,-1.284,-26.079,12.866,3.253,5.464,5.075,6.074,2.174,0.872,11.09,6.106,-0.843,5.375,1.321,0.366,4.506,4.222,3.144,5.756,3.016,2.688,-2.156,2.183,-0.099,-5.453,5.05,-1.995,-3.561,-4.577,1.391,28.322,5.322,0.905
Union Large & Midcap Fund - Direct Plan - Growth Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.299,2.485,-1.373,-25.852,18.378,5.897,6.023,6.752,5.46,2.109,0.751,10.728,6.403,-0.158,4.758,0.908,-1.425,5.14,5.536,3.883,5.437,3.683,3.375,-1.317,2.496,-4.927,-5.771,4.348,-0.423,-2.869,-4.777,1.805,49.621,7.044,0.888
