scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
ICICI Prudential Retirement Fund - Pure Debt - Direct Plan - Growth Option,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,1.276,-0.046,1.981,0.71,1.821,0.82,0.477,1.191,0.822,0.595,0.619,1.331,-0.14,0.187,2.297,1.682,1.385,0.325,0.05,1.532,0.92,0.337,-0.377,0.01,0.589,0.785,0.477,0.278,0.28,0.807,0.561,0.169,0.636,-0.102,-0.841,1.302,0.2,0.136,-0.587,0.139,0.602,0.481,0.693,3.009
Aditya Birla Sun Life Retirement Fund-The 50s Plus-Debt Plan-Direct Plan-Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,0.347,-0.137,1.242,0.354,1.093,0.559,0.052,0.76,0.585,0.17,0.432,0.881,0.211,0.907,0.913,0.971,0.618,-0.097,0.189,1.077,0.562,0.457,-0.77,-0.791,0.69,0.661,0.49,0.124,0.518,0.958,0.205,0.103,0.571,0.057,-0.523,0.95,0.369,-0.768,-1.013,0.412,0.36,0.304,0.551,2.263
HDFC Retirement Savings Fund - Hybrid-Debt Plan - Growth Option - Direct Plan,2.106,0.146,1.881,0.438,1.481,0.873,1.934,0.361,-0.086,2.325,-0.179,0.833,-0.338,-0.353,-0.021,0.283,-1.225,-0.583,2.309,0.811,-1.83,0.293,1.146,1.271,-0.005,0.444,2.489,-0.837,2.272,0.211,-0.699,0.408,1.133,1.847,0.537,0.428,1.037,0.408,-4.456,2.142,1.695,1.642,1.426,1.621,0.352,1.123,2.834,2.238,-0.001,1.011,0.563,0.774,2.115,0.849,1.077,0.594,0.887,0.372,1.199,-0.18,-0.787,0.03,0.866,-0.997,-0.821,0.075,0.633,1.412,1.188,1.846
SBI Retirement Benefit Fund - Conservative Plan - Direct Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.073,0.815,0.994,1.137,0.525,0.815,1.263,0.769,0.45,0.457,0.056,-0.159,-0.193,1.395,-1.134,-0.604,-0.261,0.368,0.495,0.704,1.811
Aditya Birla Sun Life Retirement Fund-The 50s Plan-Direct Plan-Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,0.441,-0.13,1.323,0.426,1.11,0.538,-0.037,0.95,0.711,0.082,0.516,1.207,0.136,1.434,1.079,1.192,0.733,-0.148,0.265,0.877,0.617,0.439,-0.52,-0.43,0.538,0.535,0.417,0.106,0.545,0.791,0.259,0.173,0.525,-0.013,-0.387,-0.771,1.374,-1.719,-1.442,-0.508,0.331,0.5,0.707,1.622
Tata Retirement Savings Fund- Conservative Plan-Direct Plan-Growth Option,2.867,0.369,2.01,1.818,0.411,0.869,1.988,1.164,0.027,1.387,0.291,1.601,-0.369,-1.367,0.457,0.72,-0.532,-0.456,2.658,0.441,-3.419,0.41,2.293,1.01,-0.781,0.628,2.959,-0.186,1.368,0.389,-1.335,0.524,2.572,1.808,0.588,0.144,0.819,0.084,-5.236,6.126,1.791,2.38,2.135,0.973,0.812,1.031,2.904,2.272,-0.403,0.912,0.282,0.668,1.766,0.764,0.963,2.151,0.733,0.402,-0.53,0.559,-1.082,-1.317,1.345,-1.307,-1.219,-1.004,0.683,2.534,1.592,1.486
ICICI Prudential Retirement Fund - Hybrid Conservative - Direct Plan - Growth Option,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,2.001,-0.413,1.752,0.211,0.095,0.696,0.253,1.703,1.335,0.226,0.883,-0.167,-5.423,5.138,2.657,2.076,3.613,1.193,-0.555,1.693,2.8,1.804,0.876,-0.18,0.462,0.612,1.011,0.552,0.996,1.787,0.299,0.654,0.356,0.454,-0.696,-0.357,0.982,-0.933,-0.835,-1.456,0.687,2.574,1.604,1.484
SBI Retirement Benefit Fund - Conservative Hybrid Plan - Direct Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.294,0.936,1.318,2.59,1.08,1.436,2.081,1.57,1.356,0.102,0.088,0.092,-1.875,2.304,-2.187,-0.54,-1.037,0.531,1.968,1.403,1.311
SBI Retirement Benefit Fund - Aggressive Hybrid Plan - Direct Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.108,1.528,1.222,5.95,2.082,2.745,3.556,3.314,3.049,-0.795,0.739,0.941,-4.452,5.063,-2.975,0.05,-2.971,1.055,8.22,2.867,1.275
Axis Retirement Savings Fund - Conservative Plan - Direct Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.059,1.008,0.698,-6.332,5.178,1.809,2.575,1.762,1.669,-0.094,2.435,4.352,3.004,0.695,0.804,-0.277,0.302,3.155,1.323,0.962,1.311,2.03,0.87,-0.776,1.953,-1.546,-1.287,2.06,-2.325,-1.933,-1.579,0.77,4.82,2.195,1.215
SBI Retirement Benefit Fund - Aggressive Plan - Direct Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.28,1.772,1.229,7.138,2.422,2.984,4.2,3.698,3.746,-1.252,0.435,1.479,-5.63,5.825,-3.361,-0.17,-3.082,1.185,11.491,3.39,1.211
Nippon India Retirement Fund- Income Generation Scheme- Direct Plan- Growth Plan - Growth Option,1.297,-2.604,1.955,0.482,2.497,2.448,2.045,0.283,-0.723,0.61,-1.124,-0.021,-0.17,-1.242,1.875,-1.425,-0.699,-0.145,1.311,-0.222,-1.012,0.55,3.477,2.244,-1.294,0.038,3.26,-0.529,3.566,1.438,0.897,-1.216,-0.139,0.625,0.572,1.118,-0.361,1.604,-3.341,2.686,2.441,2.167,1.97,0.101,-1.177,1.424,3.044,2.172,-0.107,-0.87,1.059,0.488,1.135,-0.028,0.301,1.927,1.634,-0.077,0.488,-0.455,-1.734,0.947,1.069,-1.522,-2.243,-0.745,0.515,2.299,1.516,1.177
Nippon India Retirement Fund- Income Generation Scheme- Direct Plan-Growth Plan- Bonus Option,1.297,-2.604,1.955,0.482,2.497,2.448,2.045,0.283,-0.723,0.61,-1.124,-0.021,-0.17,-1.242,1.875,-1.425,-0.699,-0.145,1.311,-0.221,-1.012,0.55,3.477,2.244,-1.294,0.038,3.26,-0.529,3.566,1.438,0.897,-1.216,-0.139,0.625,0.572,1.118,-0.361,1.604,-3.341,2.685,2.441,2.167,1.97,0.101,-1.177,1.424,3.044,2.172,-0.107,-0.87,1.059,0.488,1.135,-0.028,0.301,1.927,1.634,-0.077,0.488,-0.455,-1.734,0.948,1.067,-1.522,-2.243,-0.745,0.515,2.299,1.516,1.177
HDFC Retirement Savings Fund - Hybrid-Equity Plan - Growth Option - Direct Plan,5.517,2.142,3.029,2.242,1.111,0.651,4.808,-1.105,-0.93,4.939,-0.619,3.081,1.044,-1.924,-2.059,4.214,-1.666,-1.894,3.707,3.431,-5.526,-0.502,2.198,1.397,-0.261,-0.375,6.448,-1.106,2.784,-0.486,-5.94,0.13,4.114,2.752,0.584,1.001,1.325,-2.179,-19.113,11.001,3.765,6.12,3.313,4.65,0.759,0.379,10.014,6.611,1.449,5.07,0.199,0.362,5.693,2.738,3.221,1.472,1.51,1.237,-0.769,0.514,-1.188,-4.488,4.451,-1.774,-1.215,-1.383,1.222,16.537,4.067,1.041
HDFC Retirement Savings Fund - Equity Plan - Growth Option - Direct Plan,6.794,2.766,2.968,2.678,1.505,0.308,6.67,-1.416,-0.789,5.889,0.724,3.511,1.069,-2.658,-2.833,4.386,-2.839,-2.928,3.969,2.203,-5.588,-1.722,2.954,0.881,-0.943,-0.358,7.488,-2.2,2.711,-0.834,-7.483,0.529,5.191,3.227,0.044,0.994,1.345,-3.164,-24.937,15.573,4.992,7.68,4.094,6.907,0.372,0.175,13.229,5.798,2.97,7.552,0.559,0.826,9.014,4.547,4.679,1.131,3.282,2.388,-2.429,1.435,-0.267,-5.627,5.244,0.564,-2.599,-3.289,1.499,28.099,5.301,0.98
ICICI Prudential Retirement Fund - Pure Equity - Direct Plan - Growth Option,,,,,,,,,,,,,,,,,,,,,,,,,,,4.595,-0.478,2.599,-0.279,-5.789,-0.099,1.813,4.748,0.85,0.843,0.558,-5.587,-25.885,17.053,6.577,4.114,7.574,3.926,-1.988,1.42,11.713,7.225,5.177,2.812,0.228,-1.668,4.685,2.494,6.943,5.197,3.863,3.049,7.219,-0.276,0.822,-5.435,6.294,-3.618,-1.255,-3.177,1.721,41.104,6.411,0.93
Tata Retirement Savings Fund- Moderate Plan -Direct Plan-Growth Option,7.297,3.571,3.288,5.106,-1.152,0.709,3.875,1.894,-0.097,3.517,-0.386,3.774,0.602,-3.661,-1.527,5.291,-1.383,-1.343,5.16,1.072,-9.207,-1.079,4.174,1.121,-2.396,0.391,6.572,-0.414,1.478,-1.775,-5.755,0.864,7.059,4.094,0.548,0.59,1.354,-2.361,-18.785,13.926,3.759,4.259,5.047,3.274,2.105,0.602,6.972,5.921,-0.043,3.064,0.477,-0.23,4.49,2.378,1.94,5.121,1.874,1.367,-2.075,1.287,-2.634,-4.967,4.076,-1.529,-1.988,-3.381,1.169,19.225,4.385,0.923
Tata Retirement Savings Fund- Progressive Plan -Direct Plan-Growth Option,8.997,4.364,3.948,6.381,-1.652,0.762,4.718,2.383,0.056,4.371,-0.62,4.721,0.494,-4.494,-1.992,6.451,-1.764,-1.864,6.187,1.285,-11.429,-1.58,4.864,1.198,-2.955,0.412,7.765,-0.561,1.516,0.035,-6.554,0.95,8.123,4.532,0.578,0.625,1.49,-3.013,-22.259,16.481,4.061,4.622,5.721,3.851,2.495,0.435,7.804,6.675,0.148,3.684,0.37,-0.315,5.097,2.752,2.753,5.299,1.887,1.502,-2.584,1.375,-3.726,-6.127,4.76,-1.718,-2.373,-4.109,1.323,27.08,5.204,0.881
