scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
UTI Small Cap Fund - Direct Plan - Growth Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.606,-0.543,7.963,2.832,2.412,7.344,6.844,5.693,-0.285,3.51,2.746,2.301,4.16,-1.028,-6.064,5.06,-0.272,-5.199,-4.058,1.843,16.572,4.071,1.568
Nippon India Nifty Smallcap 250 Index Fund - Direct Plan - Growth Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.787,15.331,8.011,1.82,12.016,0.976,2.517,7.857,6.851,7.458,-3.486,5.933,0.866,-1.141,5.015,-0.765,-10.032,7.623,-1.341,-7.072,-7.062,2.409,41.641,6.453,1.293
BANK OF INDIA Small Cap Fund Direct Plan Growth,,,,,,,,,,,,,,,,,,,,,,,,0.5,-1.093,1.508,6.634,-2.878,3.244,-1.845,-10.244,1.152,6.289,4.043,-0.948,2.978,10.448,2.128,-25.042,15.695,3.3,5.227,9.108,10.741,6.391,-0.212,11.538,7.152,0.834,11.111,2.926,6.047,6.631,7.853,6.271,-1.213,5.347,0.827,0.932,6.206,-2.574,-7.115,6.806,-3.168,-5.057,-4.355,2.421,47.169,6.868,1.221
Edelweiss Small Cap Fund - Direct Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,3.235,9.509,-2.471,5.477,-3.562,-10.309,2.739,5.643,3.957,-0.693,1.859,8.396,-2.219,-28.002,15.621,4.445,5.512,7.193,8.685,4.609,0.101,13.916,6.42,3.107,12.727,2.373,0.845,7.727,7.187,5.755,-0.022,5.065,1.45,0.602,4.824,-0.987,-6.553,6.177,-0.863,-4.732,-4.86,2.436,52.78,7.265,1.162
Axis Small Cap Fund - Direct Plan - Growth,4.221,3.102,4.346,2.507,-0.544,2.383,1.66,-1.113,0.263,6.674,2.761,4.728,-3.93,-0.338,-2.307,3.401,-2.818,-4.729,3.654,4.677,-9.836,0.074,2.262,3.185,-3.262,1.088,6.133,-0.304,5.81,0.032,-6.354,5.757,5.08,4.991,-0.208,2.388,8.805,0.246,-29.751,12.807,2.46,4.941,5.405,8.438,4.323,1.188,12.298,5.378,1.299,6.503,4.107,3.779,7.037,6.019,6.707,1.809,3.505,1.051,1.331,3.941,-0.833,-5.921,6.137,-1.714,-3.892,-3.54,1.808,33.023,5.747,1.09
Tata Small Cap Fund-Direct Plan-Growth,,,,,,,,,,,,,,,,,,,,,,,0.481,2.988,-3.473,0.398,7.078,-1.587,2.147,-1.659,-8.547,1.449,5.187,3.486,2.024,0.043,7.045,-4.96,-25.701,9.828,5.031,9.44,4.354,8.131,3.339,-1.216,15.273,4.921,0.771,12.014,5.341,2.543,10.178,7.571,8.089,-1.979,3.356,2.597,-0.292,3.672,-2.703,-8.33,3.872,3.166,-3.0,-3.656,2.016,43.898,6.626,1.054
Invesco India Smallcap Fund - Direct Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,0.595,2.358,-4.031,-1.9,10.194,-1.943,2.266,-1.85,-9.991,1.571,6.387,6.594,4.548,2.502,8.59,0.765,-28.815,12.575,3.952,6.547,3.964,8.987,3.333,-2.632,14.89,7.822,2.774,11.073,0.997,0.37,10.494,7.731,8.662,-1.035,2.996,3.093,-0.403,3.417,-2.114,-8.638,7.184,-2.699,-2.751,-5.129,2.12,52.466,7.243,1.014
SBI Small Cap Fund - Direct Plan - Growth,7.004,4.325,3.749,3.952,-0.636,3.939,3.679,1.693,4.666,6.793,10.065,7.637,-2.319,-3.787,-6.614,5.432,-7.279,-6.588,5.786,5.449,-11.711,-1.559,1.313,1.977,-4.684,0.282,9.205,-1.948,2.687,-2.535,-7.224,2.08,7.083,4.178,0.005,-0.288,6.683,-2.36,-26.345,12.849,2.837,7.473,4.238,11.268,2.86,-0.105,15.568,6.827,0.6,9.392,1.836,2.243,6.371,4.051,4.182,-0.415,4.994,2.992,0.232,1.739,-0.822,-5.98,4.623,1.368,-2.266,-5.127,1.782,38.599,6.213,0.994
Kotak-Small Cap Fund - Growth - Direct,8.044,4.541,5.419,4.075,0.098,-0.564,1.565,-1.112,-0.44,5.622,3.111,5.562,-1.839,-2.994,-2.793,5.478,-5.085,-4.744,1.99,2.708,-11.2,-1.455,1.854,2.143,-4.095,0.339,8.278,-2.379,3.328,-1.523,-10.367,1.625,7.95,3.34,0.785,1.87,8.962,-3.826,-31.074,13.407,2.866,10.473,6.036,9.884,5.49,1.315,15.826,5.634,4.366,12.947,3.857,1.862,7.216,6.481,5.844,1.44,5.357,1.407,1.057,1.91,-2.084,-5.673,6.353,-0.574,-5.303,-5.102,1.75,43.887,6.625,0.915
Nippon India Small Cap Fund - Direct Plan Growth Plan - Bonus Option,7.82,2.951,6.026,5.936,-1.096,0.604,4.263,0.737,-0.563,10.311,4.071,6.806,-1.991,-1.374,-5.744,5.771,-6.903,-4.485,3.657,6.327,-12.452,-0.218,0.532,0.888,-4.651,-0.507,7.911,-2.176,3.533,-3.629,-10.804,-0.887,7.06,4.324,-0.264,2.12,5.783,-3.501,-30.825,16.752,3.201,10.315,4.903,11.686,3.674,-1.903,15.061,7.17,1.368,13.51,3.54,3.438,5.723,8.16,6.863,-0.119,4.67,0.489,0.833,6.295,-1.679,-7.885,8.151,0.393,-5.101,-4.055,1.831,49.32,7.023,0.903
