scheme - plan,January-2017,February-2017,March-2017,April-2017,May-2017,June-2017,July-2017,August-2017,September-2017,October-2017,November-2017,December-2017,January-2018,February-2018,March-2018,April-2018,May-2018,June-2018,July-2018,August-2018,September-2018,October-2018,November-2018,December-2018,January-2019,February-2019,March-2019,April-2019,May-2019,June-2019,July-2019,August-2019,September-2019,October-2019,November-2019,December-2019,January-2020,February-2020,March-2020,April-2020,May-2020,June-2020,July-2020,August-2020,September-2020,October-2020,November-2020,December-2020,January-2021,February-2021,March-2021,April-2021,May-2021,June-2021,July-2021,August-2021,September-2021,October-2021,November-2021,December-2021,January-2022,February-2022,March-2022,April-2022,May-2022,June-2022,mean,var,std,sharpe ratio
DSP Value Fund - Direct Plan - Growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.667,1.764,3.391,2.034,3.6,3.909,4.575,2.843,1.944,0.674,0.774,-2.447,4.091,-3.629,-3.523,4.138,-3.156,-2.293,-3.986,0.967,9.614,3.101,1.08
ICICI Prudential Value Discovery Fund - Direct Plan - Growth,4.043,3.53,2.265,1.745,0.351,-0.757,3.995,-1.472,-0.947,5.467,-0.997,4.439,1.565,-3.968,-2.931,3.801,-1.648,0.173,4.483,4.604,-3.768,-4.081,-1.203,1.119,-2.554,0.376,6.511,-0.576,0.705,-0.439,-6.24,-0.975,2.443,3.622,0.191,0.429,0.197,-6.43,-20.704,19.715,8.676,3.288,8.749,3.295,-1.214,0.904,10.898,6.651,3.1,5.449,2.292,0.804,6.261,2.089,2.985,3.46,6.385,1.551,-4.413,1.844,5.059,-3.649,5.456,-0.955,-1.958,-4.312,1.345,25.865,5.086,0.916
Nippon India Value Fund - Direct Plan Growth Plan,6.399,3.676,4.438,5.358,-0.214,-0.563,4.249,-0.162,1.606,6.675,-0.723,5.886,-0.074,-5.319,-3.724,5.608,-3.543,-2.621,4.383,3.793,-9.704,0.087,2.845,1.449,-4.077,0.923,8.407,-1.09,3.55,-1.789,-8.289,-1.131,6.707,4.218,0.079,1.092,0.022,-2.496,-27.56,16.972,5.539,6.541,6.463,6.664,-0.49,0.505,13.207,7.008,2.793,7.278,0.479,-0.167,7.571,3.881,4.521,2.661,3.843,2.824,-4.955,2.27,1.107,-5.539,6.24,-1.922,-4.533,-4.372,1.436,35.427,5.952,0.836
UTI Value Opportunities Fund- Direct Plan - Growth Option,6.362,2.021,2.315,1.994,1.798,-1.544,4.824,-0.303,-1.044,4.908,-1.74,4.521,2.889,-4.056,-2.693,5.491,-0.594,-0.559,5.195,3.711,-6.724,-4.757,2.25,1.027,-1.499,-0.006,7.489,-0.481,1.502,-1.699,-6.772,0.76,4.923,4.74,2.465,1.681,1.915,-3.254,-26.927,17.907,6.265,5.654,5.533,5.296,-0.107,1.405,12.924,6.066,3.71,3.991,0.855,-0.91,6.008,3.651,3.154,4.25,1.207,2.892,-3.976,1.6,0.648,-6.101,5.65,-3.224,-2.055,-4.375,1.334,30.666,5.538,0.834
IDFC Sterling Value Fund-Direct Plan-Growth  ,9.666,5.137,5.682,5.444,1.397,0.451,4.76,3.582,-1.63,5.585,1.391,4.696,-0.394,-2.947,-3.024,5.283,-4.794,-2.628,3.321,2.019,-11.581,-0.598,2.271,1.668,-5.798,1.286,8.441,-2.36,2.415,-2.976,-11.024,-1.692,4.043,4.655,1.052,0.711,3.097,-4.886,-35.744,17.692,4.939,10.36,4.289,11.174,2.128,0.887,15.266,6.56,3.463,13.274,1.627,2.697,6.558,5.618,5.96,-0.576,3.751,3.966,-2.919,6.817,0.412,-7.317,5.939,0.697,-4.82,-5.15,1.656,51.284,7.161,0.801
Nippon India Nifty 50 Value 20 Index Fund - Direct Plan - Growth Option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.002,4.682,-1.706,5.168,3.456,1.921,5.938,3.877,-1.124,-2.37,5.325,-1.421,-4.249,6.259,-4.877,-2.646,-3.205,0.884,14.983,3.871,0.791
Union Value Discovery Fund - Direct Plan - Growth Option,,,,,,,,,,,,,,,,,,,,,,,,2.079,-2.619,0.498,6.343,-0.559,2.07,-1.554,-8.264,-0.405,4.343,6.442,0.838,1.206,-0.642,-5.019,-23.843,21.004,6.336,6.067,6.435,5.626,-2.02,1.218,11.029,6.788,2.868,6.179,-0.284,-2.278,7.356,2.849,3.43,3.65,3.704,3.044,-4.602,2.025,0.461,-5.795,6.769,-2.594,-3.438,-3.438,1.472,41.72,6.459,0.789
HDFC Capital Builder Value Fund - Growth Option - Direct Plan,6.7,4.098,5.267,0.989,0.488,-0.365,5.023,-0.269,-0.354,8.501,0.13,3.98,2.231,-4.194,-3.323,4.24,-2.147,-1.158,5.442,2.578,-6.504,-4.601,4.146,1.177,-2.944,0.387,8.647,-2.129,2.327,-3.784,-8.769,-0.388,4.717,3.893,1.222,0.116,-0.713,-3.831,-27.576,18.438,5.029,6.515,7.436,5.298,0.852,1.206,11.007,6.687,3.786,5.12,0.109,-1.565,7.2,2.801,3.881,4.132,2.655,4.245,-4.196,2.734,0.247,-6.065,5.916,-3.13,-3.644,-4.366,1.297,34.257,5.853,0.768
JM Value Fund (Direct) - Growth Option,12.11,1.543,3.932,5.295,0.129,-2.109,7.915,2.5,-1.273,4.463,-4.062,4.205,1.594,-4.69,-4.672,3.91,-2.526,-1.74,5.911,2.598,-9.262,-2.909,2.77,0.485,-1.78,1.846,8.358,-2.106,2.52,-1.065,-9.149,0.917,10.805,3.873,0.083,0.335,2.293,-3.032,-28.101,14.861,6.601,6.442,4.233,4.985,-1.165,2.175,14.169,6.073,4.167,6.41,0.537,-1.842,5.862,2.958,4.659,2.193,2.968,4.242,-4.393,2.581,-0.008,-5.637,5.203,-4.379,-2.913,-4.199,1.344,37.035,6.086,0.765
Templeton India Value Fund - Direct - Growth,6.352,3.93,3.069,2.909,1.417,-0.986,6.374,0.192,-0.67,4.763,-0.626,3.49,0.589,-4.196,-4.115,5.394,-3.255,-3.489,5.225,2.781,-9.599,-4.412,3.695,1.004,-2.441,1.856,8.194,-2.8,1.144,-2.463,-9.419,-1.829,3.414,6.542,0.691,0.732,-0.205,-6.423,-28.365,17.826,6.792,5.998,4.399,8.634,-2.844,1.657,16.926,5.765,8.718,9.802,-1.324,-2.063,9.209,3.947,2.153,2.712,5.392,4.508,-3.904,-1.018,3.653,-5.705,5.15,-0.398,-2.393,-4.491,1.327,40.754,6.384,0.72
L&T India Value Fund-Direct Plan-Growth,8.61,3.467,2.827,4.738,0.148,0.006,3.624,0.886,-2.473,7.113,-1.96,5.034,1.266,-4.278,-4.323,5.53,-4.77,-3.161,6.017,3.399,-8.265,-2.122,1.963,0.481,-2.793,-0.178,8.181,-1.371,3.504,-1.915,-7.992,-0.281,3.699,5.228,0.853,1.061,1.684,-3.945,-29.898,19.85,5.855,6.868,7.319,5.498,1.643,0.17,12.279,5.45,3.286,6.575,1.141,-0.19,6.161,3.813,4.369,3.022,3.09,4.303,-5.313,3.849,0.698,-6.668,6.381,-2.768,-5.085,-5.487,1.299,39.113,6.254,0.72
IDBI Long Term Value Fund-Direct Plan- Growth,,,,,,,,,,,,,,,,,,,,0.1,0.199,0.746,1.294,0.785,-1.558,0.692,4.519,-1.88,3.164,-1.38,-6.716,0.3,4.061,3.512,0.471,0.282,2.812,-3.645,-25.586,17.717,3.609,5.281,5.229,4.582,0.779,1.449,10.247,4.647,2.796,8.64,0.221,-0.367,6.53,2.135,3.439,3.361,2.251,3.792,-5.068,1.862,1.082,-4.697,5.426,-2.693,-4.267,-4.199,1.191,33.804,5.814,0.71
Edelweiss US Value Equity Offshore Fund - Direct Plan - Growth Option,-0.84,3.005,-5.627,-0.397,0.231,2.113,-0.106,-2.088,4.584,-0.576,2.254,1.274,3.455,-2.588,-2.751,5.625,2.466,2.614,4.493,4.902,2.194,-3.533,-4.434,-10.886,11.07,3.46,-2.434,3.533,-5.047,6.293,0.697,1.054,2.688,2.232,4.132,2.5,-1.304,-11.943,-15.9,16.635,7.166,0.479,2.012,1.298,-1.775,-2.215,11.771,1.033,-1.093,8.134,4.941,5.473,0.392,1.021,0.647,-1.206,-1.159,6.522,-1.954,3.604,-0.836,-1.816,3.098,-2.693,4.117,-5.663,0.975,25.777,5.077,0.665
Quantum Long Term Equity Value Fund - Direct Plan Growth Option,6.475,1.042,1.999,0.722,2.245,-1.836,4.398,-1.262,-0.177,4.461,-2.472,2.823,2.876,-4.194,-3.847,3.947,-1.599,0.229,2.679,3.896,-2.396,-2.566,1.08,1.362,-2.153,0.94,4.584,-0.499,1.421,-2.047,-6.449,-1.432,-0.177,5.468,0.168,0.901,-1.562,-5.805,-25.435,18.515,5.176,4.523,6.861,4.748,0.749,2.43,12.904,4.815,4.626,4.438,1.182,-0.887,7.043,1.38,1.746,3.026,1.423,2.986,-5.587,1.072,0.866,-5.524,6.241,-2.135,-1.428,-3.864,0.987,28.177,5.308,0.644
Indiabulls Value Fund - Direct Plan - Growth Option,7.197,5.345,5.273,4.393,-0.907,-1.492,0.714,-1.31,-0.36,5.241,0.037,5.656,-0.236,-3.851,-4.992,3.268,-5.186,-4.063,2.945,1.238,-7.759,0.346,-0.235,1.001,-5.239,0.757,5.216,-1.36,2.732,-2.215,-9.47,1.164,4.976,3.807,1.572,0.634,1.56,-3.952,-22.845,15.253,3.685,5.238,3.998,8.07,-1.631,1.403,14.314,5.183,0.565,4.161,0.727,0.098,4.873,3.788,2.669,3.983,2.126,4.152,-3.37,0.47,1.445,-6.051,4.511,-2.383,-1.905,-4.303,0.919,28.234,5.314,0.599
